                       	strncasecmp	simple_strncasecmp	stupid_strncasecmp
Length    4, alignment  0/ 0:	95.2031	111.484	147.297
Length    4, alignment  0/ 0:	96.8438	113.922	148.922
Length    4, alignment  0/ 0:	96.0312	112.312	148.109
Length    4, alignment  0/ 0:	94.3906	112.297	148.109
Length    4, alignment  0/ 0:	96.0312	113.109	148.109
Length    8, alignment  0/ 0:	143.234	153	214.031
Length    8, alignment  0/ 0:	154.625	164.391	214.031
Length    8, alignment  0/ 0:	162.766	175.781	225.422
Length    8, alignment  0/ 0:	162.766	176.594	224.609
Length    8, alignment  0/ 0:	152.172	161.953	212.391
Length    8, alignment  0/ 0:	153	161.953	213.219
Length    8, alignment  0/ 0:	151.375	161.938	213.219
Length    8, alignment  0/ 0:	153	161.125	214.031
Length    8, alignment  0/ 0:	151.359	161.125	213.219
Length    8, alignment  0/ 0:	151.375	161.938	209.953
Length    8, alignment  0/ 0:	152.188	161.953	213.219
Length    8, alignment  0/ 0:	152.172	161.953	212.391
Length   16, alignment  0/ 0:	231.109	246.578	362.141
Length   16, alignment  0/ 0:	241.688	258.781	372.719
Length   16, alignment  0/ 0:	249.828	268.562	381.672
Length   16, alignment  0/ 0:	250.641	268.547	380.859
Length   16, alignment  0/ 0:	237.641	257.969	372.719
Length   16, alignment  0/ 0:	240.078	254.719	371.094
Length   16, alignment  0/ 0:	238.438	255.531	369.469
Length   16, alignment  0/ 0:	239.25	254.734	370.281
Length   16, alignment  0/ 0:	237.625	256.344	369.469
Length   16, alignment  0/ 0:	239.266	255.547	371.094
Length   16, alignment  0/ 0:	238.438	255.531	370.281
Length   16, alignment  0/ 0:	238.453	253.906	370.281
Length   32, alignment  0/ 0:	404.453	432.938	540.375
Length   32, alignment  0/ 0:	415.031	444.328	549.312
Length   32, alignment  0/ 0:	422.359	454.906	559.891
Length   32, alignment  0/ 0:	423.984	454.922	558.266
Length   32, alignment  0/ 0:	411.781	441.094	546.875
Length   32, alignment  0/ 0:	412.594	440.266	546.062
Length   32, alignment  0/ 0:	413.406	441.078	546.875
Length   32, alignment  0/ 0:	411.797	443.516	546.875
Length   32, alignment  0/ 0:	412.594	442.703	546.875
Length   32, alignment  0/ 0:	412.594	441.078	546.875
Length   32, alignment  0/ 0:	412.594	443.531	546.875
Length   32, alignment  0/ 0:	412.594	441.891	546.875
Length   64, alignment  0/ 0:	751.141	807.297	892.75
Length   64, alignment  0/ 0:	761.719	817.875	900.875
Length   64, alignment  0/ 0:	769.859	828.453	911.453
Length   64, alignment  0/ 0:	769.031	829.266	913.094
Length   64, alignment  0/ 0:	759.281	815.422	900.062
Length   64, alignment  0/ 0:	758.469	814.609	899.25
Length   64, alignment  0/ 0:	758.469	815.422	899.25
Length   64, alignment  0/ 0:	759.266	815.438	899.25
Length   64, alignment  0/ 0:	758.469	815.422	900.062
Length   64, alignment  0/ 0:	758.469	814.609	900.062
Length   64, alignment  0/ 0:	758.469	815.422	899.25
Length   64, alignment  0/ 0:	759.266	815.422	900.062
Length  128, alignment  0/ 0:	1443.69	1552.73	1619.47
Length  128, alignment  0/ 0:	1455.08	1564.12	1629.23
Length  128, alignment  0/ 0:	1463.2	1576.33	1638.17
Length  128, alignment  0/ 0:	1463.22	1575.52	1637.38
Length  128, alignment  0/ 0:	1452.64	1561.69	1622.72
Length  128, alignment  0/ 0:	1452.62	1560.86	1622.73
Length  128, alignment  0/ 0:	1452.64	1561.69	1625.16
Length  128, alignment  0/ 0:	1453.45	1561.69	1625.98
Length  128, alignment  0/ 0:	1452.64	1561.67	1625.17
Length  128, alignment  0/ 0:	1451.83	1561.69	1625.97
Length  128, alignment  0/ 0:	1452.64	1560.88	1625.97
Length  128, alignment  0/ 0:	1452.64	1561.69	1625.17
Length  256, alignment  0/ 0:	2831.22	3208.02	3032.23
Length  256, alignment  0/ 0:	2842.61	3058.27	3042.81
Length  256, alignment  0/ 0:	2849.92	3069.67	3050.95
Length  256, alignment  0/ 0:	2850.75	3068.03	3050.94
Length  256, alignment  0/ 0:	2838.55	3055.02	3041.19
Length  256, alignment  0/ 0:	2839.34	3054.2	3040.38
Length  256, alignment  0/ 0:	2839.36	3054.2	3039.56
Length  256, alignment  0/ 0:	2839.36	3055.83	3039.55
Length  256, alignment  0/ 0:	2839.36	3055.02	3039.55
Length  256, alignment  0/ 0:	2840.17	3054.19	3039.55
Length  256, alignment  0/ 0:	2840.97	3055	3040.36
Length  256, alignment  0/ 0:	2839.36	3056.64	3040.38
Length  512, alignment  0/ 0:	5603.84	6033.53	5858.56
Length  512, alignment  0/ 0:	5615.23	6045.73	5867.52
Length  512, alignment  0/ 0:	5780.44	6058.77	5877.28
Length  512, alignment  0/ 0:	5623.38	6055.5	5877.28
Length  512, alignment  0/ 0:	5613.61	6042.48	5865.89
Length  512, alignment  0/ 0:	5611.98	6043.3	5865.88
Length  512, alignment  0/ 0:	5613.61	6042.48	5865.89
Length  512, alignment  0/ 0:	5612.78	6042.48	5865.88
Length  512, alignment  0/ 0:	5613.61	6045.73	5866.69
Length  512, alignment  0/ 0:	5613.61	6043.3	5865.89
Length  512, alignment  0/ 0:	5615.23	6191.41	5867.52
Length  512, alignment  0/ 0:	5613.61	6042.48	5866.7
Length 1024, alignment  0/ 0:	11152.3	12007.6	11512
Length 1024, alignment  0/ 0:	11163.7	12018.2	11521.8
Length 1024, alignment  0/ 0:	11170.2	12029.6	11530.8
Length 1024, alignment  0/ 0:	11171.9	12178.5	11533.2
Length 1024, alignment  0/ 0:	11161.3	12015.8	11518.5
Length 1024, alignment  0/ 0:	11161.3	12015	11521
Length 1024, alignment  0/ 0:	11161.3	12015	11519.4
Length 1024, alignment  0/ 0:	11162.1	12161.5	11521
Length 1024, alignment  0/ 0:	11159.7	12017.4	11520.2
Length 1024, alignment  0/ 0:	11167.8	12016.6	11519.4
Length 1024, alignment  0/ 0:	11160.5	12017.4	11519.4
Length 1024, alignment  0/ 0:	11159.7	12015.8	11665.9
Length   16, alignment  1/ 2:	231.938	247.391	354
Length   16, alignment  1/ 2:	241.703	258.781	363.766
Length   16, alignment  1/ 2:	249.031	268.547	373.531
Length   16, alignment  2/ 1:	231.109	245.766	354.812
Length   16, alignment  2/ 1:	241.703	256.344	363.766
Length   16, alignment  2/ 1:	249.844	270.188	374.344
Length   16, alignment  1/ 2:	240.062	255.547	362.953
Length   16, alignment  1/ 2:	238.453	254.734	362.953
Length   16, alignment  2/ 1:	239.25	254.719	362.953
Length   16, alignment  2/ 1:	238.453	254.719	362.953
Length   16, alignment  1/ 2:	240.078	254.719	361.328
Length   16, alignment  1/ 2:	239.266	255.547	362.141
Length   16, alignment  2/ 1:	240.062	255.531	362.953
Length   16, alignment  2/ 1:	237.625	254.719	362.141
Length   32, alignment  2/ 4:	403.641	432.125	524.094
Length   32, alignment  2/ 4:	419.109	444.328	536.297
Length   32, alignment  2/ 4:	423.984	455.719	543.625
Length   32, alignment  4/ 2:	403.641	433.766	524.094
Length   32, alignment  4/ 2:	416.672	445.141	533.859
Length   32, alignment  4/ 2:	423.984	454.922	543.625
Length   32, alignment  2/ 4:	413.406	442.719	531.422
Length   32, alignment  2/ 4:	413.406	441.094	531.422
Length   32, alignment  4/ 2:	411.781	441.891	531.406
Length   32, alignment  4/ 2:	412.594	442.703	531.406
Length   32, alignment  2/ 4:	412.594	441.891	531.406
Length   32, alignment  2/ 4:	413.422	442.719	533.047
Length   32, alignment  4/ 2:	414.234	441.891	531.406
Length   32, alignment  4/ 2:	411.781	441.078	532.234
Length   64, alignment  3/ 6:	751.141	807.297	874.844
Length   64, alignment  3/ 6:	761.719	818.688	883.781
Length   64, alignment  3/ 6:	769.859	828.453	908.203
Length   64, alignment  6/ 3:	751.141	805.656	889.484
Length   64, alignment  6/ 3:	760.906	817.859	899.25
Length   64, alignment  6/ 3:	770.672	829.266	912.266
Length   64, alignment  3/ 6:	760.094	816.25	895.984
Length   64, alignment  3/ 6:	759.281	814.609	896
Length   64, alignment  6/ 3:	759.281	815.438	896
Length   64, alignment  6/ 3:	759.281	815.438	898.438
Length   64, alignment  3/ 6:	759.266	815.438	896.812
