                    	wcschr	simple_STRCHR	stupid_STRCHR
Length    8, alignment in bytes  0:	76.5	77.3125	126.141
Length    9, alignment in bytes  0:	79.75	80.5625	135.906
Length    9, alignment in bytes  0:	78.9375	81.375	135.906
Length   10, alignment in bytes  0:	82.1875	84.625	152.172
Length   10, alignment in bytes  0:	83	84.6406	152.172
Length   11, alignment in bytes  0:	86.25	87.0781	149.734
Length   11, alignment in bytes  0:	86.2656	87.8906	148.109
Length   12, alignment in bytes  0:	90.3281	89.5156	157.062
Length   12, alignment in bytes  0:	89.5312	91.9531	155.438
Length   13, alignment in bytes  0:	92.7656	94.3906	173.328
Length   13, alignment in bytes  0:	92.7656	94.3906	173.344
Length   14, alignment in bytes  0:	96.0312	97.6562	184.734
Length   14, alignment in bytes  0:	96.8438	98.4688	184.734
Length   15, alignment in bytes  0:	99.2812	102.531	190.422
Length   15, alignment in bytes  0:	100.094	101.719	188.812
Length   16, alignment in bytes  0:	101.719	104.172	192.062
Length   16, alignment in bytes  0:	102.531	103.359	192.062
Length   17, alignment in bytes  0:	106.609	107.422	205.891
Length   17, alignment in bytes  0:	106.609	108.234	204.266
Length   18, alignment in bytes  0:	109.047	110.688	212.406
Length   18, alignment in bytes  0:	109.859	110.672	212.406
Length   19, alignment in bytes  0:	112.297	114.75	215.656
Length   19, alignment in bytes  0:	113.109	113.938	217.281
Length   20, alignment in bytes  0:	116.375	117.188	226.234
Length   20, alignment in bytes  0:	116.375	118	226.25
Length   21, alignment in bytes  0:	120.453	120.453	235.188
Length   21, alignment in bytes  0:	119.625	122.062	234.375
Length   22, alignment in bytes  0:	123.688	125.312	241.703
Length   22, alignment in bytes  0:	122.875	125.328	244.141
Length   23, alignment in bytes  0:	127.766	128.578	247.406
Length   23, alignment in bytes  0:	126.141	127.766	248.219
Length   24, alignment in bytes  0:	128.578	131.828	257.172
Length   24, alignment in bytes  0:	130.219	131.031	256.344
Length   25, alignment in bytes  0:	132.656	135.094	265.297
Length   25, alignment in bytes  0:	132.641	135.094	265.312
Length   26, alignment in bytes  0:	135.906	136.719	273.438
Length   26, alignment in bytes  0:	135.906	137.531	272.625
Length   27, alignment in bytes  0:	139.156	141.609	277.5
Length   27, alignment in bytes  0:	139.172	141.609	278.312
Length   28, alignment in bytes  0:	143.234	144.047	284.828
Length   28, alignment in bytes  0:	143.234	144.859	286.453
Length   29, alignment in bytes  0:	145.672	147.297	295.406
Length   29, alignment in bytes  0:	145.672	147.297	294.594
Length   30, alignment in bytes  0:	149.734	152.188	302.734
Length   30, alignment in bytes  0:	148.922	149.75	302.734
Length   31, alignment in bytes  0:	152.188	154.625	307.609
Length   31, alignment in bytes  0:	152.188	154.625	306.797
