                       	bcopy	simple_bcopy
Length   19, alignment  0/32:	90.3281	100.094
Length   19, alignment 32/ 0:	97.6562	100.922
Length   19, alignment  0/19:	91.1406	100.109
Length   19, alignment 19/ 0:	82.1875	100.922
Length   20, alignment  0/32:	94.3906	103.359
Length   20, alignment 32/ 0:	93.5781	102.547
Length   20, alignment  0/20:	92.7812	100.906
Length   20, alignment 20/ 0:	94.4062	104.172
Length   21, alignment  0/32:	92.7656	104.969
Length   21, alignment 32/ 0:	92.7812	105.797
Length   21, alignment  0/21:	91.1562	104.156
Length   21, alignment 21/ 0:	83.8281	107.422
Length   22, alignment  0/32:	102.531	108.234
Length   22, alignment 32/ 0:	92.7656	108.234
Length   22, alignment  0/22:	94.3906	108.234
Length   22, alignment 22/ 0:	84.6406	109.047
Length   23, alignment  0/32:	92.7812	109.859
Length   23, alignment 32/ 0:	91.9531	110.672
Length   23, alignment  0/23:	95.2031	109.875
Length   23, alignment 23/ 0:	83.8125	110.672
Length   24, alignment  0/32:	96.8438	112.297
Length   24, alignment 32/ 0:	104.172	112.297
Length   24, alignment  0/24:	96.8438	111.484
Length   24, alignment 24/ 0:	96.8438	112.312
Length   25, alignment  0/32:	96.8438	115.562
Length   25, alignment 32/ 0:	96.0312	115.562
Length   25, alignment  0/25:	96.0312	114.75
Length   25, alignment 25/ 0:	87.8906	115.562
Length   26, alignment  0/32:	96.8438	118
Length   26, alignment 32/ 0:	96.8438	118
Length   26, alignment  0/26:	99.2969	118.812
Length   26, alignment 26/ 0:	86.2656	118
Length   27, alignment  0/32:	96.0156	118.812
Length   27, alignment 32/ 0:	96.0312	121.266
Length   27, alignment  0/27:	101.719	127.766
Length   27, alignment 27/ 0:	87.8906	119.625
Length   28, alignment  0/32:	100.094	122.062
Length   28, alignment 32/ 0:	100.094	122.875
Length   28, alignment  0/28:	100.094	122.062
Length   28, alignment 28/ 0:	100.109	123.703
Length   29, alignment  0/32:	100.922	125.312
Length   29, alignment 32/ 0:	108.234	124.516
Length   29, alignment  0/29:	99.2812	126.141
Length   29, alignment 29/ 0:	91.9531	126.141
Length   30, alignment  0/32:	100.906	127.766
Length   30, alignment 32/ 0:	100.922	135.906
Length   30, alignment  0/30:	102.547	127.766
Length   30, alignment 30/ 0:	91.1406	129.391
Length   31, alignment  0/32:	100.922	129.406
Length   31, alignment 32/ 0:	99.2969	131.828
Length   31, alignment  0/31:	104.172	129.406
Length   31, alignment 31/ 0:	93.5938	131.031
Length   48, alignment  0/32:	98.4688	173.328
Length   48, alignment 32/ 0:	100.906	173.344
Length   48, alignment  0/ 3:	114.75	171.703
Length   48, alignment  3/ 0:	103.359	173.344
Length   80, alignment  0/32:	107.422	251.469
Length   80, alignment 32/ 0:	109.047	253.906
Length   80, alignment  0/ 5:	132.656	252.266
Length   80, alignment  5/ 0:	118	253.906
Length   96, alignment  0/32:	102.547	292.156
Length   96, alignment 32/ 0:	102.531	301.109
Length   96, alignment  0/ 6:	156.25	292.969
Length   96, alignment  6/ 0:	116.375	293.781
Length  112, alignment  0/32:	116.375	332.844
Length  112, alignment 32/ 0:	132.656	333.672
Length  112, alignment  0/ 7:	153.812	332.031
Length  112, alignment  7/ 0:	139.969	333.656
Length  144, alignment  0/32:	128.578	419.109
Length  144, alignment 32/ 0:	132.656	412.594
Length  144, alignment  0/ 9:	169.266	412.594
Length  144, alignment  9/ 0:	160.328	423.172
Length  160, alignment  0/32:	118	452.484
Length  160, alignment 32/ 0:	122.875	452.469
Length  160, alignment  0/10:	185.547	460.625
Length  160, alignment 10/ 0:	161.141	452.469
Length  176, alignment  0/32:	144.859	493.172
Length  176, alignment 32/ 0:	139.969	501.312
Length  176, alignment  0/11:	186.359	492.344
Length  176, alignment 11/ 0:	179.047	493.156
Length  192, alignment  0/32:	125.328	539.547
Length  192, alignment 32/ 0:	123.688	533.859
Length  192, alignment  0/12:	132.656	533.031
Length  192, alignment 12/ 0:	128.594	542.797
Length  208, alignment  0/32:	145.656	571.281
Length  208, alignment 32/ 0:	147.297	574.531
Length  208, alignment  0/13:	221.359	572.922
Length  208, alignment 13/ 0:	183.922	582.688
Length  224, alignment  0/32:	134.281	611.984
Length  224, alignment 32/ 0:	131.828	611.984
Length  224, alignment  0/14:	231.109	612.797
Length  224, alignment 14/ 0:	183.922	620.938
Length  240, alignment  0/32:	153.797	652.672
Length  240, alignment 32/ 0:	157.062	653.484
Length  240, alignment  0/15:	227.047	652.672
Length  240, alignment 15/ 0:	199.375	653.484
Length  272, alignment  0/32:	162.75	738.938
