                       	memmove	simple_memmove
Length   19, alignment  0/32:	108.234	94.4062
Length   19, alignment 32/ 0:	92.7656	89.5312
Length   19, alignment  0/19:	95.2188	94.4062
Length   19, alignment 19/ 0:	90.3438	91.9531
Length   20, alignment  0/32:	97.6562	96.0156
Length   20, alignment 32/ 0:	88.7031	92.7656
Length   20, alignment  0/20:	97.6562	96.0312
Length   20, alignment 20/ 0:	90.3438	93.5781
Length   21, alignment  0/32:	102.531	99.2812
Length   21, alignment 32/ 0:	91.1406	96.8438
Length   21, alignment  0/21:	99.2812	99.2812
Length   21, alignment 21/ 0:	90.3281	96.0312
Length   22, alignment  0/32:	108.234	100.094
Length   22, alignment 32/ 0:	97.6562	98.4688
Length   22, alignment  0/22:	91.1406	100.922
Length   22, alignment 22/ 0:	88.7031	98.4688
Length   23, alignment  0/32:	113.125	104.172
Length   23, alignment 32/ 0:	92.7812	100.906
Length   23, alignment  0/23:	100.094	102.531
Length   23, alignment 23/ 0:	93.5938	100.906
Length   24, alignment  0/32:	93.5781	106.609
Length   24, alignment 32/ 0:	88.7031	102.531
Length   24, alignment  0/24:	91.1406	106.609
Length   24, alignment 24/ 0:	88.7031	103.344
Length   25, alignment  0/32:	98.4688	117.188
Length   25, alignment 32/ 0:	91.1406	104.969
Length   25, alignment  0/25:	103.359	109.047
Length   25, alignment 25/ 0:	92.7656	105.781
Length   26, alignment  0/32:	103.359	111.484
Length   26, alignment 32/ 0:	90.3438	109.047
Length   26, alignment  0/26:	91.9531	110.688
Length   26, alignment 26/ 0:	90.3281	109.062
Length   27, alignment  0/32:	108.234	113.922
Length   27, alignment 32/ 0:	93.5938	118
Length   27, alignment  0/27:	100.109	114.75
Length   27, alignment 27/ 0:	94.3906	110.688
Length   28, alignment  0/32:	93.5938	116.375
Length   28, alignment 32/ 0:	87.8906	112.312
Length   28, alignment  0/28:	94.4062	116.375
Length   28, alignment 28/ 0:	91.1406	113.125
Length   29, alignment  0/32:	98.4688	118.812
Length   29, alignment 32/ 0:	91.1406	115.562
Length   29, alignment  0/29:	104.156	128.594
Length   29, alignment 29/ 0:	94.4062	116.375
Length   30, alignment  0/32:	104.984	121.25
Length   30, alignment 32/ 0:	89.5156	118
Length   30, alignment  0/30:	98.4688	121.266
Length   30, alignment 30/ 0:	93.5781	118
Length   31, alignment  0/32:	110.688	123.703
Length   31, alignment 32/ 0:	102.547	120.453
Length   31, alignment  0/31:	107.422	122.891
Length   31, alignment 31/ 0:	106.609	120.438
Length   48, alignment  0/32:	117.188	166.828
Length   48, alignment 32/ 0:	88.7031	162.766
Length   48, alignment  0/ 3:	112.297	166.828
Length   48, alignment  3/ 0:	90.3281	164.391
Length   80, alignment  0/32:	118	246.578
Length   80, alignment 32/ 0:	113.109	244.141
Length   80, alignment  0/ 5:	133.453	246.578
Length   80, alignment  5/ 0:	113.938	244.141
Length   96, alignment  0/32:	106.609	286.469
Length   96, alignment 32/ 0:	103.344	283.203
Length   96, alignment  0/ 6:	131.828	286.453
Length   96, alignment  6/ 0:	103.359	284.016
Length  112, alignment  0/32:	132.641	333.672
Length  112, alignment 32/ 0:	104.984	323.078
Length  112, alignment  0/ 7:	134.281	325.516
Length  112, alignment  7/ 0:	107.422	323.891
Length  144, alignment  0/32:	144.859	406.078
Length  144, alignment 32/ 0:	118.828	404.453
Length  144, alignment  0/ 9:	148.109	406.891
Length  144, alignment  9/ 0:	126.141	404.469
Length  160, alignment  0/32:	122.891	445.141
Length  160, alignment 32/ 0:	118	444.328
Length  160, alignment  0/10:	147.297	454.922
Length  160, alignment 10/ 0:	125.328	443.516
Length  176, alignment  0/32:	146.484	485.844
Length  176, alignment 32/ 0:	121.266	493.984
Length  176, alignment  0/11:	326.328	487.469
Length  176, alignment 11/ 0:	131.844	484.203
Length  192, alignment  0/32:	144.859	526.531
Length  192, alignment 32/ 0:	113.109	522.453
Length  192, alignment  0/12:	148.109	525.719
Length  192, alignment 12/ 0:	115.562	523.281
Length  208, alignment  0/32:	149.75	574.547
Length  208, alignment 32/ 0:	134.281	563.141
Length  208, alignment  0/13:	166.016	567.219
Length  208, alignment 13/ 0:	144.859	572.109
Length  224, alignment  0/32:	148.109	606.281
Length  224, alignment 32/ 0:	134.281	603.844
Length  224, alignment  0/14:	174.969	606.281
Length  224, alignment 14/ 0:	143.219	612.797
Length  240, alignment  0/32:	161.953	646.156
Length  240, alignment 32/ 0:	135.906	642.906
Length  240, alignment  0/15:	182.297	646.969
Length  240, alignment 15/ 0:	147.297	653.484
Length  272, alignment  0/32:	168.469	735.672
Length  272, alignment 32/ 0:	148.125	723.469
Length  272, alignment  0/17:	196.125	725.906
Length  272, alignment 17/ 0:	174.156	725.094
Length  288, alignment  0/32:	155.438	774.734
Length  288, alignment 32/ 0:	148.938	772.297
Length  288, alignment  0/18:	194.5	777.188
Length  288, alignment 18/ 0:	166.016	764.156
Length  304, alignment  0/32:	180.656	805.672
Length  304, alignment 32/ 0:	158.688	803.234
Length  304, alignment  0/19:	205.078	806.484
Length  304, alignment 19/ 0:	174.156	810.547
Length  320, alignment  0/32:	173.344	854.484
Length  320, alignment 32/ 0:	140.781	850.422
Length  320, alignment  0/20:	177.406	847.172
Length  320, alignment 20/ 0:	144.859	843.109
Length  336, alignment  0/32:	173.344	887.047
Length  336, alignment 32/ 0:	170.906	882.984
Length  336, alignment  0/21:	201.016	886.234
Length  336, alignment 21/ 0:	178.219	891.922
Length  352, alignment  0/32:	162.766	934.25
Length  352, alignment 32/ 0:	161.125	931
Length  352, alignment  0/22:	211.594	933.438
Length  352, alignment 22/ 0:	180.672	931.797
Length  368, alignment  0/32:	188.797	974.938
Length  368, alignment 32/ 0:	162.766	970.859
Length  368, alignment  0/23:	209.969	975.734
Length  368, alignment 23/ 0:	192.047	964.344
Length  384, alignment  0/32:	187.984	1007.48
Length  384, alignment 32/ 0:	155.438	1004.23
Length  384, alignment  0/24:	185.547	1007.48
Length  384, alignment 24/ 0:	155.438	1003.41
Length  400, alignment  0/32:	189.609	1047.36
Length  400, alignment 32/ 0:	176.594	1043.3
Length  400, alignment  0/25:	227.047	1046.55
Length  400, alignment 25/ 0:	201	1044.11
Length  416, alignment  0/32:	178.219	1084.8
Length  416, alignment 32/ 0:	176.594	1083.98
Length  416, alignment  0/26:	238.453	1086.44
Length  416, alignment 26/ 0:	203.453	1083.98
Length  432, alignment  0/32:	205.891	1127.12
Length  432, alignment 32/ 0:	177.406	1123.86
Length  432, alignment  0/27:	236	1136.88
Length  432, alignment 27/ 0:	209.141	1132.81
Length  448, alignment  0/32:	202.625	1175.12
Length  448, alignment 32/ 0:	170.891	1171.06
Length  448, alignment  0/28:	213.219	1175.12
Length  448, alignment 28/ 0:	176.594	1171.88
Length  464, alignment  0/32:	204.266	1214.19
Length  464, alignment 32/ 0:	190.438	1210.94
Length  464, alignment  0/29:	238.438	1206.06
Length  464, alignment 29/ 0:	224.609	1203.62
Length  480, alignment  0/32:	193.688	1245.94
Length  480, alignment 32/ 0:	191.25	1242.69
Length  480, alignment  0/30:	249.844	1254.88
Length  480, alignment 30/ 0:	217.281	1252.44
Length  496, alignment  0/32:	219.719	1294.75
Length  496, alignment 32/ 0:	192.062	1293.12
Length  496, alignment  0/31:	247.391	1286.62
Length  496, alignment 31/ 0:	228.672	1284.19
Length 1024, alignment  0/ 0:	311.688	2610.67
Length 1024, alignment 32/ 0:	319.828	2611.48
Length 1024, alignment  0/32:	354.812	2616.38
Length 1024, alignment 32/32:	342.609	2612.31
Length 1056, alignment  0/ 0:	332.844	3076.17
Length 1056, alignment 33/ 0:	420.734	2691.23
Length 1056, alignment  0/33:	466.312	2696.12
Length 1056, alignment 33/33:	371.094	2691.25
Length 1088, alignment  0/ 0:	326.328	2771.81
