                       	memmem	simple_memmem
String ZH7BJV7[XOVEIZH[VH6P02AM5, offset 11191:	47610.7	78326.8
String LFDFW>Q9NQEEAKGWJGI5[4YDG, offset 135828:	570356	882249
String 3V3MTJZH0X3PO0C7NPB42H, offset 3422:	7084.16	17303.9
String CXVHDPCRMG[ZGAUVLXD=OL@6<TW, offset 1414:	6639.81	9264.31
String 3, offset 163838:	309558	824157
String V<1@SBBLTWQXY=, offset 2852:	13479.8	18978.7
String EXN=IMAB0GEK0G5VQCKRFZ4[=G=YZ?7, offset 592:	3448.08	4421.38
String ?ZAAU@R5I, offset 82275:	345922	578193
String 1O>LK6QGJKCO@HK, offset 9242:	17868.7	46702.5
String LK1OI?L, offset 173:	887.047	1163.73
String ILF3U216MYXM68S5<>T9T4RNDR[Q1, offset 1161:	5959.47	8266.61
String OE011PKGLUS23PP?ZNEKYFM4, offset 32186:	152480	205324
String NX4F, offset 297:	1431.47	1958.81
String <ZD0<5?2W9, offset 2231:	9406.75	14507.7
String 34RD9HK@NR@TK[?WQ6YAN49W0C9VV, offset 12227:	23758.1	61686.2
String B2QD0CBA>HB03APK, offset 114559:	481158	808745
String [2><, offset 9450:	39725.8	59641.9
String HE3JKFB=CJX=JJAAQ0Q7BFE@, offset 2872:	12663.6	19051.1
String IIPR68NXHF@LR<?AHW8C, offset 291:	1984.05	2101.25
String XXTUYAXYE==6IW, offset 83218:	349752	538569
String 4, offset 163838:	309875	824010
String ?>FMDKSX2K??6U@, offset 19632:	82669.3	126712
String 1RS, offset 55386:	105413	279413
String >DJ1WRAWSP4, offset 2316:	11368	15493.2
String 1, offset 163838:	309475	824426
String 6V8MZ>Z0WXO@ACJQK8, offset 81580:	154827	410813
String 7?RS, offset 9125:	17402.3	45926.1
String 9DV1XQJTD@HWOJH9IW0>A4@OKI, offset 262:	1165.36	1442.88
String L>8YE0FA56, offset 840:	3699.55	5337.73
String N0N5GJ>>ULNA0YH0<@5TCQ28IPWO, offset 1489:	6961.25	9589.03
String 6, offset 163838:	309666	824198
String 2L2RTWM<P4DTYY7, offset 17107:	32732.8	86053.9
String ILF8U4NP58XM4YSN<>TST5RNDR63, offset 1161:	5569.66	8447.27
String VGHAH02G, offset 220:	1220.7	1794.44
String 1S, offset 10768:	20444.3	54143.1
String >2OH2ICN, offset 2797:	11986.5	18689.8
String =H0GXI[H?E780, offset 1340:	6346.03	8898.11
String NPQ=ARZFG<YTLJR8P?I?4LBZ[B, offset 4777:	22507.3	32059.7
String NM>SY69@6R=VX?0Z1YJJ4<Y1?AU[8, offset 9990:	46837.6	65240.9
String 0J, offset 42924:	81899.4	216466
String 9Z2DS5LRLIMVX1[I1O, offset 149264:	282811	751405
String GC7U737[J1, offset 653:	3092.45	4226.08
String 1QYRE<VOS?EG, offset 23507:	44713.5	118401
String P9ZE<7FSUWOXYYIA5@=G, offset 19652:	83026.5	129993
String 0, offset 163838:	309633	824294
String ?TW@QNM0VCH=J>?>9IOS>RLZ1KK5, offset 7084:	34018.5	46325.7
String [NQX?Z[>BW9[CH1LQ, offset 22031:	92949.2	148959
String JX0LF8?G52D, offset 39734:	167494	259285
String Q7JNPMYXMJYSN<>T8TU, offset 1164:	5515.12	7757.97
String BD5, offset 6284:	26477	39370.1
String 5, offset 163838:	309640	824010
String 3, offset 163838:	309456	824418
String 2AAL4?ZDYRVA?VR2, offset 3410:	6905.11	17239.6
String 7FID, offset 11675:	22197.3	58719.1
String G[>AJQNVQMZ?T9M@NI, offset 42179:	177837	291413
String H6NC@PHGU<VB?, offset 307:	1914.06	2288.41
String RVX3SG?AX?PQVM<<?PUH37VSFW, offset 52766:	222530	343420
String <XW>X@BV=G?K>0?PEKV[K, offset 445:	2197.27	2784.02
String F6622>7M1[WRW?I7225DDB11TA, offset 2623:	11687.8	18243
String IPF8D40ZB, offset 147413:	688006	943555
String 5ZHLA55GA6U<63F3L, offset 4162:	8378.91	21002.6
String J=HR?6XYIZYEYM, offset 3137:	15269.4	20632.3
String BU7EF[LSZ3R9V, offset 694:	3334.97	4391.27
String ?M>=XGK=WD30X9WRFLUA7@WNF@Z, offset 8420:	22063	54615.9
String @BAHATTMY9MF3Z7NMZO1ZVJI=>, offset 19111:	90224.6	131694
String 7R6IF, offset 35783:	68320.3	181035
String 6MNUJ@0L7, offset 74878:	142231	377131
String 84JZAV>OX313MNLLQT[59Q6K0TZCKJG, offset 2331:	5188.8	11826.2
String 8MBKMCZB8EI6>@URHDQ03, offset 7707:	15132.7	38802.9
String =35CV, offset 16024:	70615.2	102069
String 0?62IRFQ06Q[5ERD>@K<?O=@=2PL4VG, offset 6419:	12866.2	32356.8
String A5[FSFBM@I, offset 5367:	25107.4	37165.5
String 6?N<24GZE6I9F63=8B@J0W262WLRM, offset 23574:	45418.3	118539
String 7U@11WX6YL[B, offset 9608:	18481.4	48540
String 8, offset 11974:	22656.2	60192.1
String B6H8P03S92XJDQ4CADHKA3HECKW, offset 12033:	56749.7	76345.2
String QO4@53, offset 234:	972.5	1565.75
String 9W7H, offset 12208:	23188.5	61565.8
String CDSSZF=1G, offset 87656:	368140	559738
String 6H, offset 23391:	44302.6	117815
String IDU897U?NB0K[H, offset 38133:	176492	249994
String ?0CVRQ7US>P5CF>I3B4@YAYP9=3C=A, offset 34235:	161017	232957
String PUGO>1D>O, offset 23824:	100331	155998
String 50G<J<7=H8L, offset 75502:	143458	380505
String [?JGOH8QR3?<59, offset 5279:	22496.7	36499
String JAJZNPKOW@8>K0GTOBXH=DQRCJ, offset 16957:	71854.7	110262
String 4?UAZBY42>S8PV<8HM7WK0MVP4, offset 11234:	22006	56525.1
String 1>JE, offset 252:	681.969	1368.83
String BZGEKMGJVQCKR5Z@[=G7YZ?WC[, offset 599:	3344.72	4004.72
String QE>98<F9NLAV, offset 387:	1598.3	2661.14
String N8Q, offset 100454:	469266	637744
String GU73L3@4ZE4FPHN85KW, offset 157:	1341.95	1238.59
String 12S<2X4XSU, offset 873:	2002.77	4514.97
String CZY3ZUS43>I9=K@ISO=I36, offset 40421:	170623	259520
String 6, offset 163838:	309623	824090
String @6WXE24KDQE, offset 378:	1633.3	2687.98
String JSVGHAHB3G4VQ6ZLQO37, offset 218:	1515.3	1371.25
String B@00I?@3IIPRCZN10F@LR<2AH, offset 283:	2054.05	1891.28
String SKGH1@OKMBVW4AHYJ9PK6>LHWSPN, offset 8781:	41577.1	56954.8
String 39M, offset 362:	882.156	1939.3
String KEITXD3ZCEDI[LAMO@DDKR, offset 3833:	18249.5	24945.5
String Y2JED, offset 252:	1196.3	1661.78
String Z84T9LI[LITBW7E, offset 8279:	38845.2	60166
String HQQ>?FVLWYJK21ZBOVMKDMXG, offset 1356:	7096.36	8955.08
String D8B76TU4C80LVF[1, offset 402:	2227.38	2719.73
String JPYC<I9@GRBT, offset 2079:	9042.97	14388
String 164UBDS5ZZ8K48C@OKM90WFA, offset 8771:	17145.2	44329.4
String R6YZARJ=3, offset 682:	3129.08	4191.08
String B21W, offset 96391:	438503	699002
String 3YLKFUVBWK<Z977U1, offset 2221:	4662.27	11267.9
String C480II, offset 16809:	78961.6	106807
String 9, offset 163838:	309665	824226
String 9, offset 158428:	299599	796923
String 5>XP[CHK, offset 87751:	166340	441773
String @WOQ40, offset 201:	781.25	1323.25
String O1, offset 203:	1024.58	1507.16
String H>OSSIR@SPE<514KDLMJG?QGYRRPG, offset 12410:	58496.9	80474.4
String YSN6>, offset 1174:	5076.5	7465.83
String U?KR307ZWAM?<471=J1I, offset 15053:	70953.8	95983.1
String 8, offset 163838:	309470	824456
String Q8>, offset 1357:	5617.67	9133.3
String CO0@WESGILGBGC2?TWS?RP13DN, offset 1459:	7675.78	10205.1
String 8, offset 163838:	309912	824554
String S2[=RJN3P, offset 59445:	278134	381882
String P@WDZU8RFB, offset 10793:	45473.6	70913.1
String Q1X1K0?GOKQYNCNA0E, offset 1259:	5975.75	9337.58
String K5BKGU9G[40NA66=?, offset 16881:	71057.1	110601
String HQS0B2, offset 8752:	36853.8	55765.8
String 8IJP4=M6ZJ, offset 2364:	4811.2	11996.3
String WQGTTFKDSTDGZ8L, offset 11854:	50208.3	78092.4
String >PJ1CATZS0JAE0OHB@ZPMTD, offset 83036:	349163	541739
String 6, offset 163838:	309555	824201
String @NI3RS@X2?, offset 157733:	661365	1.01125e+06
String <GEBUKM[YB8@M4<1PAG=IN<ZO3TF4<, offset 38478:	162311	248496
String 5N5LIH27MW<=8YQCZ0I, offset 4601:	9275.72	23208.8
String NX0E, offset 4183:	17670.9	31319.2
String S12Q=L@P15SJ, offset 16988:	78829.8	108977
String 2X?2XWE0, offset 99377:	188808	500197
String 7, offset 10659:	20172.5	53584
String 4Z9XFPHNWL1W4I?6DCQ5460U8WYQG=4, offset 164:	1040.86	958.656
String TIEJ4YKMD3P4QU5JA, offset 1080:	4990.23	7087.39
String VYWLSALY@[?RQB3K, offset 129860:	545204	835951
String Z7R4VG=W09ITYGR2=6?, offset 702:	3376.45	4993.48
String 3, offset 163838:	309858	824041
String ODWZD=JZ9TQDP2LHZ@CM, offset 11939:	50710.5	79748.5
String 59UL89GPUTTHWVLR4=@1A2Q9ALA<@, offset 48985:	93944.5	247222
String [HUJCU0NMF8Y[H@JP>6A, offset 3565:	15453.3	22809.2
String QD73PD=IG, offset 96572:	405231	625215
String ?1Z0GVL9[R@?B=, offset 7543:	35367.8	52945.1
String 7, offset 163838:	309629	824132
