                       	memmem	simple_memmem
String abcabc0, offset 35:	358.062	315.766
String abcabc0, offset 42:	369.469	341.797
String abcabc0, offset 49:	376.797	377.594
String abcabc0, offset 56:	383.297	407.719
String abcabc0, offset 63:	419.109	454.094
String abcabc0, offset 70:	420.734	478.516
String abcabc0, offset 77:	448.391	514.328
String abcabc0, offset 84:	463.859	547.688
String abcabc0, offset 91:	486.656	590.828
String abcabc0, offset 98:	492.359	622.562
String abcabc0, offset 105:	509.438	664.875
String abcabc0, offset 112:	507.812	695.797
String abcabc0, offset 119:	541.188	732.422
String NNRU4PI6P<5FJZJWL130ZETW, offset 2685:	11868.5	17752.3
String HTXA6FB0O4SV<QW3CM[PWH2WMZF4IY, offset 79898:	373934	519071
String 6, offset 163838:	309816	824008
String [T4EJE89MDSP1Q9MJ4W?5@X77CROZ2, offset 1079:	5235.19	6859.55
String I1BCBA[EIFMFHQ@XFJV[U>Q3F7, offset 999:	5161.12	7558.59
String 9, offset 163838:	309319	824235
String 7, offset 807:	1623.55	4134.92
String G<SYZM886>3J?@><7HDHYUA>=07EYBQ, offset 18632:	78772.8	119863
String F?02JRNBMYMI<TIZN[NA?VAES, offset 2731:	13202.3	19196.8
String 4, offset 163838:	309486	824099
String 1GLDC@6[?ZDXW@APOVAZG68WL@@MZE2, offset 137:	985.516	829.266
String WVU[0AH07J, offset 1381:	6120.59	9450.67
String 0UYV, offset 49301:	93758.1	248829
String YR5DM[FIQDFCZ=EOBQSWY, offset 931:	4624.03	5799.16
String 6, offset 163838:	309709	824009
String 8, offset 163838:	309482	824002
String 7BE4[2UF5MDRT1T, offset 7449:	14648.4	37515.5
String DXW@APO2AZ, offset 147:	862.641	1057.95
String QM3J@OE3PY413DBMG, offset 3775:	16021.3	25967.6
String FBD9RJ, offset 4458:	20939.1	29204.1
String QXVG<8VKH, offset 91649:	385341	588660
String 1, offset 2166:	4178.06	10953.8
String 51TN, offset 9384:	17868.7	47222.5
String SLU8@<77JUVP6, offset 11601:	49073.1	74357.1
String 0, offset 163838:	309941	824717
String 4, offset 163838:	309500	824546
String BT98HTDMY[, offset 1755:	7259.11	11558.4
String =C3TYG61=@?KNN89GQ=Q9MHOY>XSIZ, offset 710:	2469.06	4914.56
String JRN3MYMI2TIZN[N9?, offset 2735:	12996.4	18853.4
String Y6, offset 18239:	76463.2	132769
String E=<X7S5<FAOI4, offset 2503:	10891.1	17428.4
String 52BS3CUPU3KU@W2, offset 11268:	21685.4	56692.7
String Z6, offset 22605:	94917.8	145793
String N4G4=QQMH48>2SIZOKA<C>GY@8=6, offset 724:	4276.53	4932.45
String 2, offset 611:	1253.27	3148.61
String 6[GPB, offset 41469:	78995	209428
String DCZCEDI2, offset 3838:	16341.1	25628.2
String F2LVAHH5, offset 59813:	278885	383497
String 6KJI04X9PW40HJ1IPRIT=>=V3>, offset 2393:	5187.98	12141.9
String AYESVW[9AU9O, offset 43093:	181488	283328
String N1PJ@V0, offset 1961:	8447.27	12572.4
String JAPZ@SHK7, offset 5306:	22454.4	34508.5
String Y>WH@OQ7<<KG, offset 5489:	23278	35475.3
String 8YK9Y4AX, offset 3077:	6075.84	15564.8
String >Y9, offset 841:	3669.42	5407.72
String @QPQGLZPSF5T[=PJ[RNLP[@<BD, offset 6803:	31783	47198.9
String 5, offset 163838:	309875	823989
String 0, offset 163838:	309561	824285
String BO>@>1HVD9K=P4B, offset 1113:	5754.39	6923.83
String X2R, offset 5662:	24010.4	35725.1
String AS7947JGV@, offset 84947:	393213	602621
String N3USCOC@WE, offset 1455:	7247.72	9981.28
String 5, offset 163838:	309484	824466
String F0MWMCH, offset 119294:	558087	767751
String QQ@GR57X?<ZTYJJX8YC?AU[>WG, offset 9995:	46678.1	68037.9
String Q9U<[0SRMH>K@Q2LXTSQLE@Z2<L, offset 46965:	197969	305583
String 1, offset 163838:	309581	824030
String 0TSTU424R[QXX?18I5B6MV4KR, offset 1178:	2867.03	6044.11
String 7F3OJV?004YJ@37=B4[S5R, offset 71437:	136090	359885
String 39UVL, offset 1426:	2918.3	7279.45
String 8=Y, offset 4750:	9152.83	23951.8
String VGHAHB4GFVQ>1LQ, offset 220:	1388.34	1800.12
String <PFR0P=8FD5K, offset 1049:	4487.31	6446.94
String @0SDV?GEHT>E<EC8NK6M4V>O, offset 3857:	18262.5	25266.1
String K[[FRKMV=EFLXBJBGCU[7, offset 51868:	218853	341400
String 5, offset 45105:	85660	227462
String KDJ>=PADGH6RTYG?YF, offset 90440:	420902	588295
String KNN==39, offset 1989:	8474.12	12737.6
String 0, offset 163838:	310164	826427
String UP86DSC2<400WWQ4Y>=<[96KVJJX0L0, offset 28985:	135381	184060
String 2, offset 163838:	309737	826543
String V5, offset 134:	744.625	1085.61
String LB=@H>OZUI7S0SE>2KMT[26<U=F>C, offset 154088:	717678	997188
