                       	wmemcmp	simple_wmemcmp
Length 1024, alignment  8/48:	4105.62	4315.59
Length 1024, alignment  0/ 0:	4100.75	4313.16
Length 1024, alignment  0/ 0:	4099.92	4311.53
Length  256, alignment  0/ 0:	1063.64	1111.66
Length  256, alignment  0/ 0:	1059.58	1111.66
Length  256, alignment  0/ 0:	1059.58	1110.83
Length  512, alignment  0/ 0:	2076.83	2179.36
Length  512, alignment  0/ 0:	2073.56	2178.55
Length  512, alignment  0/ 0:	2072.75	2229
Length 1024, alignment  0/ 0:	4104.83	4313.97
Length 1024, alignment  0/ 0:	4100.75	4311.52
Length 1024, alignment  0/ 0:	4101.56	4445.8
Length   16, alignment  4/ 8:	112.297	111.5
Length   16, alignment  4/ 8:	104.984	111.484
Length   16, alignment  4/ 8:	104.984	109.875
Length   32, alignment  8/16:	176.594	178.234
Length   32, alignment  8/16:	172.516	177.406
Length   32, alignment  8/16:	171.703	178.219
Length   64, alignment 12/24:	303.547	310.875
Length   64, alignment 12/24:	300.297	310.875
Length   64, alignment 12/24:	297.844	310.062
Length  128, alignment 16/32:	555.828	579.422
Length  128, alignment 16/32:	552.578	576.984
Length  128, alignment 16/32:	552.578	579.438
Length  256, alignment 20/40:	1063.64	1115.72
Length  256, alignment 20/40:	1059.58	1111.66
Length  256, alignment 20/40:	1058.75	1110.03
Length  512, alignment 24/48:	2076.81	2180.17
Length  512, alignment 24/48:	2072.75	2390.95
Length  512, alignment 24/48:	2075.2	2176.92
Length 1024, alignment 28/56:	4106.44	4366.05
Length 1024, alignment 28/56:	4100.75	4313.95
Length 1024, alignment 28/56:	4099.94	4324.53
