                       	strtok	oldstrtok
Length   28/4, alignment  3/ 0, fail:	623.375	1132
Length   28/4, alignment  3/ 3, found:	612.797	1131.19
Length   28/4, alignment  3/ 3, fail:	629.875	1122.23
Length   28/4, alignment  3/ 9, found:	621.75	1123.86
Length   28/4, alignment  3/ 9, fail:	622.547	1127.11
Length   28/4, alignment  3/15, found:	614.422	1132
Length   28/4, alignment  3/15, fail:	620.922	1122.23
Length   28/4, alignment  9/ 0, found:	623.375	1124.69
Length   28/4, alignment  9/ 0, fail:	621.75	1142.58
Length   28/4, alignment  9/ 3, found:	614.422	1130.38
Length   28/4, alignment  9/ 3, fail:	620.938	1135.25
Length   28/4, alignment  9/ 9, found:	623.375	1123.86
Length   28/4, alignment  9/ 9, fail:	620.922	1144.2
Length   28/4, alignment  9/15, found:	614.422	1131.19
Length   28/4, alignment  9/15, fail:	621.75	1135.25
Length   28/4, alignment 15/ 0, found:	623.375	1118.97
Length   28/4, alignment 15/ 0, fail:	624.188	1140.95
Length   28/4, alignment 15/ 3, found:	613.609	1118.97
Length   28/4, alignment 15/ 3, fail:	631.516	1132
Length   28/4, alignment 15/ 9, found:	613.609	1126.31
Length   28/4, alignment 15/ 9, fail:	620.938	1141.77
Length   28/4, alignment 15/15, found:	612.797	1126.3
Length   28/4, alignment 15/15, fail:	628.25	1131.19
Length   32/4, alignment  0/ 0, found:	622.562	1159.67
Length   32/4, alignment  0/ 0, fail:	629.891	1157.22
Length   32/4, alignment  0/ 3, found:	622.562	1149.91
Length   32/4, alignment  0/ 3, fail:	638.828	1147.45
Length   32/4, alignment  0/ 9, found:	622.562	1158.86
Length   32/4, alignment  0/ 9, fail:	631.516	1154.78
Length   32/4, alignment  0/15, found:	623.375	1152.34
Length   32/4, alignment  0/15, fail:	638.016	1146.64
Length   32/4, alignment  3/ 0, found:	621.75	1153.98
Length   32/4, alignment  3/ 0, fail:	622.562	1129.56
Length   32/4, alignment  3/ 3, found:	631.516	1145.03
Length   32/4, alignment  3/ 3, fail:	629.078	1123.05
Length   32/4, alignment  3/ 9, found:	623.375	1151.53
Length   32/4, alignment  3/ 9, fail:	620.938	1131.19
Length   32/4, alignment  3/15, found:	631.516	1145.02
Length   32/4, alignment  3/15, fail:	629.875	1122.23
Length   32/4, alignment  9/ 0, found:	621.734	1158.03
Length   32/4, alignment  9/ 0, fail:	620.922	1145.03
Length   32/4, alignment  9/ 3, found:	630.703	1149.89
Length   32/4, alignment  9/ 3, fail:	630.688	1136.88
Length   32/4, alignment  9/ 9, found:	622.562	1158.86
Length   32/4, alignment  9/ 9, fail:	621.75	1145.02
Length   32/4, alignment  9/15, found:	629.875	1149.08
Length   32/4, alignment  9/15, fail:	621.75	1144.2
Length   32/4, alignment 15/ 0, found:	623.359	1135.25
Length   32/4, alignment 15/ 0, fail:	620.938	1140.14
Length   32/4, alignment 15/ 3, found:	631.516	1126.3
Length   32/4, alignment 15/ 3, fail:	620.922	1140.94
Length   32/4, alignment 15/ 9, found:	622.562	1135.25
Length   32/4, alignment 15/ 9, fail:	620.109	1139.31
Length   32/4, alignment 15/15, found:	631.516	1127.12
Length   32/4, alignment 15/15, fail:	621.75	1140.95
Length   36/4, alignment  0/ 0, found:	633.141	1171.06
Length   36/4, alignment  0/ 0, fail:	639.641	1160.48
Length   36/4, alignment  0/ 3, found:	639.656	1161.3
Length   36/4, alignment  0/ 3, fail:	639.656	1158.86
Length   36/4, alignment  0/ 9, found:	633.141	1169.44
Length   36/4, alignment  0/ 9, fail:	639.656	1151.53
Length   36/4, alignment  0/15, found:	640.469	1161.3
Length   36/4, alignment  0/15, fail:	639.656	1162.92
Length   36/4, alignment  3/ 0, found:	633.141	1163.73
Length   36/4, alignment  3/ 0, fail:	638.828	1127.92
Length   36/4, alignment  3/ 3, found:	632.328	1162.11
Length   36/4, alignment  3/ 3, fail:	629.062	1136.88
Length   36/4, alignment  3/ 9, found:	634.766	1152.34
Length   36/4, alignment  3/ 9, fail:	638.016	1127.92
Length   36/4, alignment  3/15, found:	631.516	1159.67
Length   36/4, alignment  3/15, fail:	630.703	1136.06
Length   36/4, alignment  9/ 0, found:	640.453	1156.42
Length   36/4, alignment  9/ 0, fail:	638.844	1140.95
Length   36/4, alignment  9/ 3, found:	632.328	1166.17
Length   36/4, alignment  9/ 3, fail:	629.875	1149.09
Length   36/4, alignment  9/ 9, found:	640.469	1154.78
Length   36/4, alignment  9/ 9, fail:	630.703	1147.45
Length   36/4, alignment  9/15, found:	630.703	1167.8
Length   36/4, alignment  9/15, fail:	629.062	1149.08
Length   36/4, alignment 15/ 0, found:	843.922	1140.95
Length   36/4, alignment 15/ 0, fail:	629.891	1145.03
Length   36/4, alignment 15/ 3, found:	631.5	1151.53
Length   36/4, alignment 15/ 3, fail:	638.828	1134.44
Length   36/4, alignment 15/ 9, found:	631.5	1148.28
Length   36/4, alignment 15/ 9, fail:	629.062	1145.83
Length   36/4, alignment 15/15, found:	631.516	1148.28
Length   36/4, alignment 15/15, fail:	637.203	1136.89
Length   40/4, alignment  0/ 0, found:	642.891	1182.45
Length   40/4, alignment  0/ 0, fail:	639.656	1162.11
Length   40/4, alignment  0/ 3, found:	642.078	1176.77
Length   40/4, alignment  0/ 3, fail:	646.969	1153.97
Length   40/4, alignment  0/ 9, found:	641.281	1184.09
Length   40/4, alignment  0/ 9, fail:	639.656	1162.11
Length   40/4, alignment  0/15, found:	661.625	1175.12
Length   40/4, alignment  0/15, fail:	639.641	1160.47
Length   40/4, alignment  3/ 0, found:	640.453	1176.75
Length   40/4, alignment  3/ 0, fail:	630.703	1127.92
Length   40/4, alignment  3/ 3, found:	650.219	1168.62
Length   40/4, alignment  3/ 3, fail:	630.688	1136.06
Length   40/4, alignment  3/ 9, found:	641.281	1176.77
Length   40/4, alignment  3/ 9, fail:	640.453	1128.75
Length   40/4, alignment  3/15, found:	651.031	1168.62
Length   40/4, alignment  3/15, fail:	630.703	1136.88
Length   40/4, alignment  9/ 0, found:	641.281	1181.64
Length   40/4, alignment  9/ 0, fail:	640.469	1143.39
Length   40/4, alignment  9/ 3, found:	640.453	1181.64
Length   40/4, alignment  9/ 3, fail:	630.703	1149.91
Length   40/4, alignment  9/ 9, found:	639.641	1172.7
Length   40/4, alignment  9/ 9, fail:	638.016	1141.77
Length   40/4, alignment  9/15, found:	641.281	1180.83
Length   40/4, alignment  9/15, fail:	629.875	1147.45
Length   40/4, alignment 15/ 0, found:	642.078	1152.34
Length   40/4, alignment 15/ 0, fail:	638.828	1135.25
Length   40/4, alignment 15/ 3, found:	641.281	1158.05
Length   40/4, alignment 15/ 3, fail:	630.688	1145.02
Length   40/4, alignment 15/ 9, found:	650.219	1150.72
Length   40/4, alignment 15/ 9, fail:	629.891	1145.84
Length   40/4, alignment 15/15, found:	640.469	1159.67
Length   40/4, alignment 15/15, fail:	631.516	1145.02
Length   44/4, alignment  0/ 0, found:	660.812	1184.91
Length   44/4, alignment  0/ 0, fail:	640.469	1161.3
Length   44/4, alignment  0/ 3, found:	649.406	1192.22
Length   44/4, alignment  0/ 3, fail:	649.406	1153.16
Length   44/4, alignment  0/ 9, found:	659.188	1193.84
Length   44/4, alignment  0/ 9, fail:	640.469	1162.11
Length   44/4, alignment  0/15, found:	649.422	1193.05
Length   44/4, alignment  0/15, fail:	649.422	1153.16
Length   44/4, alignment  3/ 0, found:	651.047	1187.34
Length   44/4, alignment  3/ 0, fail:	630.703	1137.69
Length   44/4, alignment  3/ 3, found:	651.859	1176.75
Length   44/4, alignment  3/ 3, fail:	638.016	1128.73
Length   44/4, alignment  3/ 9, found:	649.422	1186.52
Length   44/4, alignment  3/ 9, fail:	629.891	1135.25
Length   44/4, alignment  3/15, found:	658.375	1178.39
Length   44/4, alignment  3/15, fail:	630.688	1136.06
Length   44/4, alignment  9/ 0, found:	650.219	1191.41
Length   44/4, alignment  9/ 0, fail:	629.891	1140.95
Length   44/4, alignment  9/ 3, found:	659.188	1181.64
Length   44/4, alignment  9/ 3, fail:	630.703	1151.53
Length   44/4, alignment  9/ 9, found:	650.219	1190.59
Length   44/4, alignment  9/ 9, fail:	639.641	1140.94
Length   44/4, alignment  9/15, found:	659.172	1372.88
Length   44/4, alignment  9/15, fail:	631.5	1151.53
Length   44/4, alignment 15/ 0, found:	670.562	1165.36
Length   44/4, alignment 15/ 0, fail:	631.516	1145.02
Length   44/4, alignment 15/ 3, found:	650.219	1172.69
Length   44/4, alignment 15/ 3, fail:	631.516	1136.89
Length   44/4, alignment 15/ 9, found:	660.812	1163.75
Length   44/4, alignment 15/ 9, fail:	630.703	1145.02
Length   44/4, alignment 15/15, found:	651.047	1172.69
Length   44/4, alignment 15/15, fail:	641.266	1136.06
Length   48/4, alignment  0/ 0, found:	668.953	1207.69
Length   48/4, alignment  0/ 0, fail:	641.266	1162.11
Length   48/4, alignment  0/ 3, found:	660	1197.92
Length   48/4, alignment  0/ 3, fail:	648.594	1152.34
Length   48/4, alignment  0/ 9, found:	660	1206.88
Length   48/4, alignment  0/ 9, fail:	641.266	1161.3
Length   48/4, alignment  0/15, found:	666.5	1197.92
Length   48/4, alignment  0/15, fail:	640.469	1161.3
Length   48/4, alignment  3/ 0, found:	660	1200.36
Length   48/4, alignment  3/ 0, fail:	629.875	1127.11
Length   48/4, alignment  3/ 3, found:	668.141	1191.41
Length   48/4, alignment  3/ 3, fail:	630.703	1138.52
Length   48/4, alignment  3/ 9, found:	661.625	1199.55
Length   48/4, alignment  3/ 9, fail:	638.828	1127.92
Length   48/4, alignment  3/15, found:	669.766	1199.53
Length   48/4, alignment  3/15, fail:	629.875	1136.88
Length   48/4, alignment  9/ 0, found:	660	1204.42
Length   48/4, alignment  9/ 0, fail:	639.641	1140.95
Length   48/4, alignment  9/ 3, found:	659.984	1204.44
Length   48/4, alignment  9/ 3, fail:	630.688	1150.7
Length   48/4, alignment  9/ 9, found:	667.312	1196.28
Length   48/4, alignment  9/ 9, fail:	638.016	1140.14
Length   48/4, alignment  9/15, found:	659.188	1204.42
Length   48/4, alignment  9/15, fail:	630.688	1150.7
Length   48/4, alignment 15/ 0, found:	668.953	1172.69
Length   48/4, alignment 15/ 0, fail:	629.891	1145.83
Length   48/4, alignment 15/ 3, found:	660	1182.45
Length   48/4, alignment 15/ 3, fail:	630.703	1136.88
Length   48/4, alignment 15/ 9, found:	668.125	1172.69
Length   48/4, alignment 15/ 9, fail:	629.891	1142.58
Length   48/4, alignment 15/15, found:	659.188	1183.27
Length   48/4, alignment 15/15, fail:	639.641	1136.88
Length   52/4, alignment  0/ 0, found:	668.938	1215.81
Length   52/4, alignment  0/ 0, fail:	640.469	1158.86
Length   52/4, alignment  0/ 3, found:	670.578	1208.5
Length   52/4, alignment  0/ 3, fail:	650.219	1152.34
Length   52/4, alignment  0/ 9, found:	669.766	1217.44
Length   52/4, alignment  0/ 9, fail:	639.656	1160.48
Length   52/4, alignment  0/15, found:	678.703	1206.86
Length   52/4, alignment  0/15, fail:	640.469	1160.48
Length   52/4, alignment  3/ 0, found:	668.953	1208.5
Length   52/4, alignment  3/ 0, fail:	640.453	1127.11
Length   52/4, alignment  3/ 3, found:	688.484	1210.12
Length   52/4, alignment  3/ 3, fail:	631.516	1136.06
Length   52/4, alignment  3/ 9, found:	668.953	1200.36
Length   52/4, alignment  3/ 9, fail:	640.469	1127.12
Length   52/4, alignment  3/15, found:	668.938	1210.12
Length   52/4, alignment  3/15, fail:	630.688	1134.44
Length   52/4, alignment  9/ 0, found:	677.906	1206.06
Length   52/4, alignment  9/ 0, fail:	629.078	1149.09
Length   52/4, alignment  9/ 3, found:	668.125	1214.2
Length   52/4, alignment  9/ 3, fail:	629.078	1139.33
Length   52/4, alignment  9/ 9, found:	677.078	1203.62
Length   52/4, alignment  9/ 9, fail:	631.5	1150.7
Length   52/4, alignment  9/15, found:	668.953	1205.23
Length   52/4, alignment  9/15, fail:	641.281	1140.14
Length   52/4, alignment 15/ 0, found:	668.141	1196.3
Length   52/4, alignment 15/ 0, fail:	630.688	1144.2
Length   52/4, alignment 15/ 3, found:	677.891	1187.34
Length   52/4, alignment 15/ 3, fail:	630.703	1144.2
Length   52/4, alignment 15/ 9, found:	669.766	1196.3
Length   52/4, alignment 15/ 9, fail:	629.062	1136.06
Length   52/4, alignment 15/15, found:	678.703	1187.34
Length   52/4, alignment 15/15, fail:	630.688	1145.02
Length   56/4, alignment  0/ 0, found:	687.656	1236.17
Length   56/4, alignment  0/ 0, fail:	646.969	1150.72
Length   56/4, alignment  0/ 3, found:	686.859	1235.36
Length   56/4, alignment  0/ 3, fail:	641.281	1164.55
Length   56/4, alignment  0/ 9, found:	697.438	1226.39
Length   56/4, alignment  0/ 9, fail:	639.641	1161.28
Length   56/4, alignment  0/15, found:	686.859	1236.17
Length   56/4, alignment  0/15, fail:	647.797	1153.16
Length   56/4, alignment  3/ 0, found:	688.469	1228.03
Length   56/4, alignment  3/ 0, fail:	629.891	1137.7
Length   56/4, alignment  3/ 3, found:	688.469	1219.08
Length   56/4, alignment  3/ 3, fail:	639.656	1127.92
Length   56/4, alignment  3/ 9, found:	687.672	1228.84
Length   56/4, alignment  3/ 9, fail:	629.875	1136.88
Length   56/4, alignment  3/15, found:	696.609	1225.58
Length   56/4, alignment  3/15, fail:	629.891	1138.52
Length   56/4, alignment  9/ 0, found:	690.094	1239.42
Length   56/4, alignment  9/ 0, fail:	639.656	1140.14
Length   56/4, alignment  9/ 3, found:	688.469	1233.72
Length   56/4, alignment  9/ 3, fail:	629.875	1147.47
Length   56/4, alignment  9/ 9, found:	687.656	1225.59
Length   56/4, alignment  9/ 9, fail:	639.656	1141.77
Length   56/4, alignment  9/15, found:	687.656	1233.72
Length   56/4, alignment  9/15, fail:	631.5	1150.7
Length   56/4, alignment 15/ 0, found:	695.812	1204.42
Length   56/4, alignment 15/ 0, fail:	629.875	1145.83
Length   56/4, alignment 15/ 3, found:	687.656	1215
Length   56/4, alignment 15/ 3, fail:	652.672	1137.69
Length   56/4, alignment 15/ 9, found:	689.281	1213.38
Length   56/4, alignment 15/ 9, fail:	631.516	1142.58
Length   56/4, alignment 15/15, found:	688.469	1210.12
Length   56/4, alignment 15/15, fail:	639.656	1134.44
Length   60/4, alignment  0/ 0, found:	699.062	1250
Length   60/4, alignment  0/ 0, fail:	641.281	1161.3
Length   60/4, alignment  0/ 3, found:	709.641	1241.86
Length   60/4, alignment  0/ 3, fail:	639.656	1162.11
Length   60/4, alignment  0/ 9, found:	699.875	1250
Length   60/4, alignment  0/ 9, fail:	648.594	1152.34
Length   60/4, alignment  0/15, found:	699.875	1248.38
Length   60/4, alignment  0/15, fail:	639.641	1158.84
Length   60/4, alignment  3/ 0, found:	709.641	1234.53
Length   60/4, alignment  3/ 0, fail:	629.875	1143.39
Length   60/4, alignment  3/ 3, found:	698.234	1243.48
Length   60/4, alignment  3/ 3, fail:	630.703	1127.11
Length   60/4, alignment  3/ 9, found:	708.828	1243.48
Length   60/4, alignment  3/ 9, fail:	631.516	1136.06
Length   60/4, alignment  3/15, found:	699.875	1245.12
Length   60/4, alignment  3/15, fail:	638.828	1127.11
Length   60/4, alignment  9/ 0, found:	699.875	1249.19
Length   60/4, alignment  9/ 0, fail:	631.516	1148.28
Length   60/4, alignment  9/ 3, found:	904.141	1240.23
Length   60/4, alignment  9/ 3, fail:	631.516	1148.27
Length   60/4, alignment  9/ 9, found:	699.047	1249.19
Length   60/4, alignment  9/ 9, fail:	640.469	1139.33
Length   60/4, alignment  9/15, found:	699.875	1247.55
Length   60/4, alignment  9/15, fail:	631.5	1148.27
Length   60/4, alignment 15/ 0, found:	708	1231.28
Length   60/4, alignment 15/ 0, fail:	630.688	1145.02
Length   60/4, alignment 15/ 3, found:	700.688	1233.73
Length   60/4, alignment 15/ 3, fail:	639.656	1136.89
Length   60/4, alignment 15/ 9, found:	708	1232.09
Length   60/4, alignment 15/ 9, fail:	631.5	1143.39
Length   60/4, alignment 15/15, found:	699.875	1223.95
Length   60/4, alignment 15/15, fail:	640.453	1135.25
Length   10/5, alignment  0/ 0, found:	583.484	1080.73
Length   10/5, alignment  0/ 0, fail:	617.672	1116.53
Length   10/5, alignment  0/ 3, found:	581.047	1069.33
Length   10/5, alignment  0/ 3, fail:	625.812	1107.58
Length   10/5, alignment  0/ 9, found:	581.875	1076.66
Length   10/5, alignment  0/ 9, fail:	616.859	1117.36
Length   10/5, alignment  0/15, found:	580.234	1078.3
Length   10/5, alignment  0/15, fail:	626.625	1106.78
Length   10/5, alignment  3/ 0, found:	589.203	1069.33
Length   10/5, alignment  3/ 0, fail:	625.812	1126.3
Length   10/5, alignment  3/ 3, found:	581.062	1079.92
Length   10/5, alignment  3/ 3, fail:	625	1126.31
Length   10/5, alignment  3/ 9, found:	589.188	1069.33
Length   10/5, alignment  3/ 9, fail:	626.625	1127.11
Length   10/5, alignment  3/15, found:	580.25	1075.84
Length   10/5, alignment  3/15, fail:	627.438	1124.67
Length   10/5, alignment  9/ 0, found:	588.375	1069.34
Length   10/5, alignment  9/ 0, fail:	626.625	1107.59
Length   10/5, alignment  9/ 3, found:	581.859	1077.48
Length   10/5, alignment  9/ 3, fail:	616.047	1114.09
Length   10/5, alignment  9/ 9, found:	581.062	1069.33
Length   10/5, alignment  9/ 9, fail:	625	1106.77
Length   10/5, alignment  9/15, found:	580.25	1078.28
Length   10/5, alignment  9/15, fail:	616.047	1116.53
Length   10/5, alignment 15/ 0, found:	580.234	1077.48
Length   10/5, alignment 15/ 0, fail:	633.953	1116.53
Length   10/5, alignment 15/ 3, found:	589.203	1069.34
Length   10/5, alignment 15/ 3, fail:	625.812	1126.3
Length   10/5, alignment 15/ 9, found:	581.859	1078.28
Length   10/5, alignment 15/ 9, fail:	626.641	1116.55
Length   10/5, alignment 15/15, found:	590.016	1068.52
Length   10/5, alignment 15/15, fail:	625	1125.5
Length   15/5, alignment  0/ 0, found:	604.656	1113.28
Length   15/5, alignment  0/ 0, fail:	625	1150.72
Length   15/5, alignment  0/ 3, found:	612.797	1104.33
Length   15/5, alignment  0/ 3, fail:	633.141	1228.84
Length   15/5, alignment  0/ 9, found:	616.859	1105.14
Length   15/5, alignment  0/ 9, fail:	625.812	1148.27
Length   15/5, alignment  0/15, found:	606.281	1113.28
Length   15/5, alignment  0/15, fail:	625.812	1147.45
Length   15/5, alignment  3/ 0, found:	614.422	1104.33
Length   15/5, alignment  3/ 0, fail:	633.953	1153.16
Length   15/5, alignment  3/ 3, found:	604.656	1114.09
Length   15/5, alignment  3/ 3, fail:	633.953	1151.53
Length   15/5, alignment  3/ 9, found:	613.609	1101.89
Length   15/5, alignment  3/ 9, fail:	633.953	1153.16
Length   15/5, alignment  3/15, found:	604.641	1110.84
Length   15/5, alignment  3/15, fail:	634.766	1153.17
Length   15/5, alignment  9/ 0, found:	613.609	1103.52
Length   15/5, alignment  9/ 0, fail:	637.203	1373.69
Length   15/5, alignment  9/ 3, found:	605.469	1113.28
Length   15/5, alignment  9/ 3, fail:	642.094	1157.23
Length   15/5, alignment  9/ 9, found:	614.422	1103.52
Length   15/5, alignment  9/ 9, fail:	634.766	1163.75
Length   15/5, alignment  9/15, found:	604.656	1113.28
Length   15/5, alignment  9/15, fail:	642.094	1155.59
Length   15/5, alignment 15/ 0, found:	614.422	1103.52
Length   15/5, alignment 15/ 0, fail:	633.953	1158.86
Length   15/5, alignment 15/ 3, found:	604.656	1112.47
Length   15/5, alignment 15/ 3, fail:	642.906	1147.45
Length   15/5, alignment 15/ 9, found:	613.609	1104.33
Length   15/5, alignment 15/ 9, fail:	634.766	1157.23
Length   15/5, alignment 15/15, found:	604.656	1111.66
Length   15/5, alignment 15/15, fail:	645.344	1149.91
Length   20/5, alignment  0/ 0, found:	632.312	1144.2
Length   20/5, alignment  0/ 0, fail:	638.828	1166.17
Length   20/5, alignment  0/ 3, found:	613.609	1145.02
Length   20/5, alignment  0/ 3, fail:	646.969	1159.67
Length   20/5, alignment  0/ 9, found:	613.594	1144.2
Length   20/5, alignment  0/ 9, fail:	638.828	1166.98
Length   20/5, alignment  0/15, found:	612.781	1136.89
Length   20/5, alignment  0/15, fail:	648.594	1158.86
Length   20/5, alignment  3/ 0, found:	622.547	1162.11
Length   20/5, alignment  3/ 0, fail:	638.031	1151.53
Length   20/5, alignment  3/ 3, found:	622.562	1153.98
Length   20/5, alignment  3/ 3, fail:	646.969	1143.39
Length   20/5, alignment  3/ 9, found:	622.562	1162.92
Length   20/5, alignment  3/ 9, fail:	639.641	1153.97
Length   20/5, alignment  3/15, found:	629.875	1153.16
Length   20/5, alignment  3/15, fail:	647.781	1153.16
Length   20/5, alignment  9/ 0, found:	613.609	1144.2
Length   20/5, alignment  9/ 0, fail:	638.844	1165.36
Length   20/5, alignment  9/ 3, found:	621.75	1137.7
Length   20/5, alignment  9/ 3, fail:	638.828	1165.38
Length   20/5, alignment  9/ 9, found:	612.797	1145.83
Length   20/5, alignment  9/ 9, fail:	638.844	1164.55
Length   20/5, alignment  9/15, found:	622.562	1138.52
Length   20/5, alignment  9/15, fail:	638.016	1164.56
Length   20/5, alignment 15/ 0, found:	622.562	1147.47
Length   20/5, alignment 15/ 0, fail:	639.641	1152.34
Length   20/5, alignment 15/ 3, found:	633.125	1148.27
Length   20/5, alignment 15/ 3, fail:	639.641	1160.47
Length   20/5, alignment 15/ 9, found:	624.188	1148.28
Length   20/5, alignment 15/ 9, fail:	646.969	1153.17
Length   20/5, alignment 15/15, found:	622.562	1145.83
Length   20/5, alignment 15/15, fail:	638.031	1158.84
Length   25/5, alignment  0/ 0, found:	605.469	1093.75
Length   25/5, alignment  0/ 0, fail:	653.484	1165.36
Length   25/5, alignment  0/ 3, found:	605.469	1103.52
Length   25/5, alignment  0/ 3, fail:	642.078	1172.69
Length   25/5, alignment  0/ 9, found:	604.656	1093.75
Length   25/5, alignment  0/ 9, fail:	652.672	1163.73
Length   25/5, alignment  0/15, found:	605.469	1103.52
Length   25/5, alignment  0/15, fail:	642.906	1173.52
Length   25/5, alignment  3/ 0, found:	614.422	1103.52
Length   25/5, alignment  3/ 0, fail:	653.484	1148.27
Length   25/5, alignment  3/ 3, found:	615.234	1114.09
Length   25/5, alignment  3/ 3, fail:	643.719	1158.05
Length   25/5, alignment  3/ 9, found:	613.609	1103.52
Length   25/5, alignment  3/ 9, fail:	654.297	1148.28
Length   25/5, alignment  3/15, found:	614.422	1112.47
Length   25/5, alignment  3/15, fail:	643.703	1157.23
Length   25/5, alignment  9/ 0, found:	612.797	1094.56
Length   25/5, alignment  9/ 0, fail:	836.594	1171.06
Length   25/5, alignment  9/ 3, found:	605.469	1115.73
Length   25/5, alignment  9/ 3, fail:	642.906	1161.3
Length   25/5, alignment  9/ 9, found:	614.422	1094.56
Length   25/5, alignment  9/ 9, fail:	643.719	1169.44
Length   25/5, alignment  9/15, found:	606.281	1103.52
Length   25/5, alignment  9/15, fail:	643.703	1161.28
Length   25/5, alignment 15/ 0, found:	622.562	1104.33
Length   25/5, alignment 15/ 0, fail:	643.719	1165.38
Length   25/5, alignment 15/ 3, found:	614.422	1113.28
Length   25/5, alignment 15/ 3, fail:	643.719	1156.41
Length   25/5, alignment 15/ 9, found:	621.75	1103.52
Length   25/5, alignment 15/ 9, fail:	642.906	1165.36
Length   25/5, alignment 15/15, found:	612.797	1115.72
Length   25/5, alignment 15/15, fail:	652.672	1158.03
Length   30/5, alignment  0/ 0, found:	624.188	1126.3
Length   30/5, alignment  0/ 0, fail:	642.906	1173.5
Length   30/5, alignment  0/ 3, found:	613.609	1135.25
Length   30/5, alignment  0/ 3, fail:	652.656	1164.55
Length   30/5, alignment  0/ 9, found:	613.609	1134.44
Length   30/5, alignment  0/ 9, fail:	643.719	1171.88
Length   30/5, alignment  0/15, found:	613.609	1125.48
Length   30/5, alignment  0/15, fail:	651.047	1163.73
Length   30/5, alignment  3/ 0, found:	622.562	1141.77
Length   30/5, alignment  3/ 0, fail:	644.531	1166.17
Length   30/5, alignment  3/ 3, found:	621.734	1136.89
Length   30/5, alignment  3/ 3, fail:	652.656	1149.09
Length   30/5, alignment  3/ 9, found:	623.375	1145.84
Length   30/5, alignment  3/ 9, fail:	643.719	1158.05
Length   30/5, alignment  3/15, found:	630.703	1135.25
Length   30/5, alignment  3/15, fail:	651.031	1158.86
Length   30/5, alignment  9/ 0, found:	613.609	1134.44
Length   30/5, alignment  9/ 0, fail:	643.719	1169.44
Length   30/5, alignment  9/ 3, found:	623.375	1125.5
Length   30/5, alignment  9/ 3, fail:	644.531	1168.62
Length   30/5, alignment  9/ 9, found:	614.422	1135.25
Length   30/5, alignment  9/ 9, fail:	642.906	1161.3
Length   30/5, alignment  9/15, found:	621.75	1125.5
Length   30/5, alignment  9/15, fail:	642.906	1168.61
Length   30/5, alignment 15/ 0, found:	621.734	1142.58
Length   30/5, alignment 15/ 0, fail:	642.906	1157.23
Length   30/5, alignment 15/ 3, found:	630.703	1135.27
Length   30/5, alignment 15/ 3, fail:	642.891	1164.55
Length   30/5, alignment 15/ 9, found:	622.547	1151.53
Length   30/5, alignment 15/ 9, fail:	653.484	1158.05
Length   30/5, alignment 15/15, found:	623.375	1152.34
Length   30/5, alignment 15/15, fail:	643.719	1166.98
Length   35/5, alignment  0/ 0, found:	622.562	1156.41
Length   35/5, alignment  0/ 0, fail:	656.75	1165.36
Length   35/5, alignment  0/ 3, found:	622.562	1156.42
Length   35/5, alignment  0/ 3, fail:	646.969	1172.69
Length   35/5, alignment  0/ 9, found:	623.375	1147.47
Length   35/5, alignment  0/ 9, fail:	668.125	1163.73
Length   35/5, alignment  0/15, found:	624.188	1157.23
Length   35/5, alignment  0/15, fail:	647.797	1162.92
Length   35/5, alignment  3/ 0, found:	641.281	1161.3
Length   35/5, alignment  3/ 0, fail:	647.797	1157.23
Length   35/5, alignment  3/ 3, found:	632.328	1170.25
Length   35/5, alignment  3/ 3, fail:	655.125	1148.28
Length   35/5, alignment  3/ 9, found:	642.094	1161.3
Length   35/5, alignment  3/ 9, fail:	648.609	1155.61
Length   35/5, alignment  3/15, found:	630.703	1170.25
Length   35/5, alignment  3/15, fail:	656.75	1147.45
Length   35/5, alignment  9/ 0, found:	634.766	1173.5
Length   35/5, alignment  9/ 0, fail:	648.594	1169.42
Length   35/5, alignment  9/ 3, found:	642.094	1163.73
Length   35/5, alignment  9/ 3, fail:	647.781	1169.44
Length   35/5, alignment  9/ 9, found:	631.516	1175.94
Length   35/5, alignment  9/ 9, fail:	649.422	1161.3
Length   35/5, alignment  9/15, found:	640.453	1165.36
Length   35/5, alignment  9/15, fail:	648.594	1169.44
Length   35/5, alignment 15/ 0, found:	632.328	1152.34
Length   35/5, alignment 15/ 0, fail:	655.922	1157.23
Length   35/5, alignment 15/ 3, found:	631.516	1151.53
Length   35/5, alignment 15/ 3, fail:	648.594	1165.36
Length   35/5, alignment 15/ 9, found:	631.516	1152.34
Length   35/5, alignment 15/ 9, fail:	655.922	1156.41
Length   35/5, alignment 15/15, found:	632.328	1153.97
Length   35/5, alignment 15/15, fail:	647.797	1165.38
Length   40/5, alignment  0/ 0, found:	642.094	1178.39
Length   40/5, alignment  0/ 0, fail:	661.625	1169.44
Length   40/5, alignment  0/ 3, found:	640.453	1187.33
Length   40/5, alignment  0/ 3, fail:	652.672	1178.38
Length   40/5, alignment  0/ 9, found:	649.422	1178.39
Length   40/5, alignment  0/ 9, fail:	652.672	1177.58
Length   40/5, alignment  0/15, found:	640.469	1186.53
Length   40/5, alignment  0/15, fail:	659.984	1168.61
Length   40/5, alignment  3/ 0, found:	649.422	1179.2
Length   40/5, alignment  3/ 0, fail:	652.672	1162.11
Length   40/5, alignment  3/ 3, found:	640.469	1179.2
Length   40/5, alignment  3/ 3, fail:	661.625	1153.98
