                       	memcmp	simple_memcmp
Length  128, alignment  0/ 0:	136.719	581.047
Length 1024, alignment  0/ 0:	511.875	4314.77
Length 1024, alignment  2/12:	914.703	4313.95
Length 1024, alignment  0/ 0:	507	4314.77
Length 1024, alignment  0/ 0:	507	4313.97
Length  256, alignment  0/ 0:	190.422	1115.73
Length  256, alignment  0/ 0:	187.172	1114.11
Length  256, alignment  0/ 0:	187.172	1114.91
Length 2048, alignment  0/ 0:	938.328	8581.55
Length 2048, alignment  1/14:	1715.48	8582.36
Length 2048, alignment  0/ 0:	934.234	8582.36
Length 2048, alignment  0/ 0:	933.438	8580.73
Length  512, alignment  0/ 0:	297.047	2425.12
Length  512, alignment  0/ 0:	295.406	2181.81
Length  512, alignment  0/ 0:	292.969	2181.81
Length 4096, alignment  0/ 0:	1791.98	17119.1
Length 4096, alignment  0/16:	1826.17	17325
Length 4096, alignment  0/ 0:	1789.55	17118.3
Length 4096, alignment  0/ 0:	1787.11	17116.7
Length 1024, alignment  0/ 0:	510.25	4315.58
Length 1024, alignment  0/ 0:	507.812	4315.59
Length 1024, alignment  0/ 0:	507	4314.78
Length   16, alignment  1/ 2:	91.9531	115.562
Length   16, alignment  1/ 2:	91.9531	114.75
Length   16, alignment  1/ 2:	91.9688	114.75
Length   32, alignment  2/ 4:	86.2656	183.109
Length   32, alignment  2/ 4:	84.625	181.484
Length   32, alignment  2/ 4:	84.6406	179.859
Length   64, alignment  3/ 6:	137.531	314.125
Length   64, alignment  3/ 6:	135.094	314.125
Length   64, alignment  3/ 6:	135.094	313.312
Length  128, alignment  4/ 8:	153.797	581.859
Length  128, alignment  4/ 8:	150.547	581.062
Length  128, alignment  4/ 8:	151.359	581.062
Length  256, alignment  5/10:	314.125	1115.72
Length  256, alignment  5/10:	313.312	1114.09
Length  256, alignment  5/10:	313.312	1114.09
Length  512, alignment  6/12:	513.516	2181.8
Length  512, alignment  6/12:	504.547	2180.98
Length  512, alignment  6/12:	504.547	2180.98
Length 1024, alignment  7/14:	913.906	4314.78
Length 1024, alignment  7/14:	913.906	4314.78
Length 1024, alignment  7/14:	913.094	4313.97
