                        	memset	builtin_memset	simple_memset
Length 2720, alignment 21, c 195:	629.891	629.891	4594.72
Length 2848, alignment  0, c 195:	648.609	660.812	4807.12
Length 2848, alignment 25, c 195:	655.922	655.938	4807.12
Length 2976, alignment  0, c 195:	683.594	677.906	5026.86
Length 2976, alignment 29, c 195:	690.922	681.969	5039.06
Length 3104, alignment  0, c 195:	710.453	703.938	5240.08
Length 3104, alignment 33, c 195:	716.953	708.812	5241.7
Length 3232, alignment  0, c 195:	738.109	730.797	5678.72
Length 3232, alignment 37, c 195:	737.297	745.453	5454.92
Length 3360, alignment  0, c 195:	756.016	757.656	5668.14
Length 3360, alignment 41, c 195:	770.672	764.156	5666.5
Length 3488, alignment  0, c 195:	783.688	793.453	5880.53
Length 3488, alignment 45, c 195:	799.156	790.203	5879.72
Length 3616, alignment  0, c 195:	808.906	819.5	6096.19
Length 3616, alignment 49, c 195:	815.438	825.203	6094.56
Length 3744, alignment  0, c 195:	843.094	837.406	6316.73
Length 3744, alignment 53, c 195:	843.094	843.094	6313.47
Length 3872, alignment  0, c 195:	863.453	875.641	6521
Length 3872, alignment 57, c 195:	869.141	878.906	6533.2
Length 4000, alignment  0, c 195:	889.484	900.875	6740.73
Length 4000, alignment 61, c 195:	896.812	896.812	6744.8
Length 4128, alignment  0, c 195:	916.344	918.781	6954.75
Length 4128, alignment  1, c 195:	931.812	922.844	6945.8
Length 4256, alignment  0, c 195:	943.188	952.969	7408.83
Length 4256, alignment  5, c 195:	964.344	959.469	7170.41
Length 4384, alignment  0, c 195:	970.875	970.859	7382.81
Length 4384, alignment  9, c 195:	985.516	983.891	7380.38
Length 4512, alignment  0, c 195:	1004.23	998.547	7596.03
Length 4512, alignment 13, c 195:	1002.59	1013.19	7596.03
Length 4640, alignment  0, c 195:	1031.91	1032.72	7822.27
Length 4640, alignment 17, c 195:	1039.22	1040.05	7808.42
Length 4768, alignment  0, c 195:	1057.94	1051.42	8020.83
Length 4768, alignment 21, c 195:	1065.27	1056.31	8022.45
Length 4896, alignment  0, c 195:	1085.61	1078.3	8234.05
Length 4896, alignment 25, c 195:	1092.12	1092.94	8235.69
Length 5024, alignment  0, c 195:	1111.66	1112.47	8448.89
Length 5024, alignment 29, c 195:	1110.03	1118.16	8456.22
Length 5152, alignment  0, c 195:	1140.12	1368	8663.73
Length 5152, alignment 33, c 195:	1136.89	1136.88	8680.02
Length 5280, alignment  0, c 195:	1165.36	1166.19	8874.52
Length 5280, alignment 37, c 195:	1162.92	1163.75	8881.84
Length 5408, alignment  0, c 195:	1190.59	1193.03	9095.05
Length 5408, alignment 41, c 195:	1197.11	1189.78	9088.55
Length 5536, alignment  0, c 195:	1209.31	1210.94	9301.75
Length 5536, alignment 45, c 195:	1216.62	1225.59	9308.27
Length 5664, alignment  0, c 195:	1236.17	1247.55	9520.67
Length 5664, alignment 49, c 195:	1243.5	1253.27	9520.67
Length 5792, alignment  0, c 195:	1263.02	1272.8	9736.33
Length 5792, alignment 53, c 195:	1270.34	1270.34	9945.48
Length 5920, alignment  0, c 195:	1298.83	1300.47	9960.11
Length 5920, alignment 57, c 195:	1304.52	1306.16	9949.55
Length 6048, alignment  0, c 195:	1315.92	1318.36	10160.3
Length 6048, alignment 61, c 195:	1331.39	1332.2	10162.8
Length 6176, alignment  0, c 195:	1343.59	1352.53	10381.7
Length 6176, alignment  1, c 195:	1358.23	1359.05	10377.6
Length 6304, alignment  0, c 195:	1370.44	1371.27	10588.4
Length 6304, alignment  5, c 195:	1376.12	1384.27	10595.7
Length 6432, alignment  0, c 195:	1404.62	1406.25	10821.1
Length 6432, alignment  9, c 195:	1412.77	1412.75	10809.7
Length 6560, alignment  0, c 195:	1430.66	1433.92	11196.3
Length 6560, alignment 13, c 195:	1438.8	1438.8	11022.9
Length 6688, alignment  0, c 195:	1459.16	1459.14	11234.5
Length 6688, alignment 17, c 195:	1465.66	1464.84	11228
Length 6816, alignment  0, c 195:	1477.05	1477.05	11447.8
Length 6816, alignment 21, c 195:	1491.7	1491.7	11447.8
Length 6944, alignment  0, c 195:	1509.59	1513.67	11674
Length 6944, alignment 25, c 195:	1517.73	1518.55	11661
Length 7072, alignment  0, c 195:	1538.08	1538.89	11875.8
Length 7072, alignment 29, c 195:	1543.78	1544.59	12053.2
Length 7200, alignment  0, c 195:	1555.98	1558.42	12089
Length 7200, alignment 33, c 195:	1570.64	1572.27	12089
Length 7328, alignment  0, c 195:	1590.98	1593.42	12308.8
Length 7328, alignment 37, c 195:	1599.11	1599.94	12318.5
Length 7456, alignment  0, c 195:	1619.47	1621.09	12522
Length 7456, alignment 41, c 195:	1624.36	1624.34	12522
Length 7584, alignment  0, c 195:	1643.89	1645.52	12736
Length 7584, alignment 45, c 195:	1651.2	1652.02	12728.7
Length 7712, alignment  0, c 195:	1663.41	1672.36	13464.4
Length 7712, alignment 49, c 195:	1680.5	1678.88	12941.1
Length 7840, alignment  0, c 195:	1689.45	1700.03	13173
Length 7840, alignment 53, c 195:	1704.91	1706.55	13162.4
Length 7968, alignment  0, c 195:	1716.31	1726.06	13376.5
Length 7968, alignment 57, c 195:	1730.14	1730.95	13374.8
Length 8096, alignment  0, c 195:	1751.3	1753.75	13590.5
Length 8096, alignment 61, c 195:	1759.44	1758.62	13588.9
