                        	memset	builtin_memset	simple_memset
Length   14, alignment  1, c -65:	63.4688	59.4062	68.3594
Length 1024, alignment  3, c -65:	275.875	276.688	1761.08
Length   64, alignment  4, c -65:	69.9844	68.3594	152.984
Length   25, alignment  2, c -65:	57.7812	60.2344	87.8906
Length    1, alignment  0, c  0:	54.5312	56.1562	35.7969
Length    2, alignment  0, c  0:	54.5156	56.1562	38.25
Length    4, alignment  0, c  0:	53.7188	56.1562	43.125
Length    8, alignment  0, c  0:	53.7031	56.1562	50.4531
Length   16, alignment  0, c  0:	53.7188	55.3438	79.75
Length   32, alignment  0, c  0:	55.3438	55.3438	99.2812
Length   64, alignment  0, c  0:	61.0312	61.8438	152.188
Length  128, alignment  0, c  0:	74.875	74.0469	258.781
Length  256, alignment  0, c  0:	109.062	111.5	472
Length  512, alignment  0, c  0:	162.75	164.391	899.25
Length 1024, alignment  0, c  0:	269.375	270.172	1760.25
Length 2048, alignment  0, c  0:	483.406	485.031	3475.75
Length 4096, alignment  0, c  0:	917.969	910.641	6895.34
Length 8192, alignment  0, c  0:	1762.7	1772.47	13918.5
Length 16384, alignment  0, c  0:	3501.8	3489.58	27465.8
Length 32768, alignment  0, c  0:	6920.58	6916.5	54875.5
Length 65536, alignment  0, c  0:	14067.4	13819.2	109766
Length 131072, alignment  0, c  0:	27774.2	27582.2	219643
Length    1, alignment  1, c  0:	55.3438	55.3438	35.8125
Length    2, alignment  2, c  0:	58.5938	59.4062	39.875
Length    3, alignment  3, c  0:	55.3438	56.1406	40.6875
Length    3, alignment  0, c  0:	53.7188	56.1562	40.6875
Length    4, alignment  4, c  0:	53.7031	53.7188	43.9375
Length    5, alignment  5, c  0:	64.2969	63.4844	43.9375
Length    5, alignment  0, c  0:	54.5312	56.1406	43.1406
Length    6, alignment  6, c  0:	58.5938	60.2188	47.2031
Length    6, alignment  0, c  0:	52.8906	55.3438	47.2031
Length    7, alignment  7, c  0:	54.5156	64.2969	48.0156
Length    7, alignment  0, c  0:	53.7031	55.3438	48.0156
Length    8, alignment  8, c  0:	54.5156	56.9688	50.4688
Length    9, alignment  9, c  0:	62.6719	65.1094	52.0781
Length    9, alignment  0, c  0:	64.2812	56.1562	50.4688
Length   10, alignment 10, c  0:	57.7812	61.0312	73.25
Length   10, alignment  0, c  0:	53.7188	56.1562	61.8438
Length   11, alignment 11, c  0:	55.3438	55.3438	63.4844
