                    	strrchr	simple_strrchr
Length    4, alignment in bytes  0:	52.0938	45.5781
Length    4, alignment in bytes  0:	52.9062	43.9531
Length    5, alignment in bytes  0:	58.5938	48.8281
Length    5, alignment in bytes  0:	56.9688	46.3906
Length    6, alignment in bytes  0:	57.7812	51.2656
Length    6, alignment in bytes  0:	57.7812	49.6406
Length    7, alignment in bytes  0:	57.7656	55.3281
Length    7, alignment in bytes  0:	57.7812	52.8906
Length    8, alignment in bytes  0:	56.9688	57.7812
Length    8, alignment in bytes  0:	56.9688	56.9531
Length    9, alignment in bytes  0:	64.2969	60.2188
Length    9, alignment in bytes  0:	64.2969	61.0469
Length   10, alignment in bytes  0:	63.4688	63.4688
Length   10, alignment in bytes  0:	63.4844	63.4844
Length   11, alignment in bytes  0:	63.4844	76.5
Length   11, alignment in bytes  0:	63.4688	77.2969
Length   12, alignment in bytes  0:	63.4844	82.2031
Length   12, alignment in bytes  0:	62.6562	83
Length   13, alignment in bytes  0:	67.5469	85.4531
Length   13, alignment in bytes  0:	67.5469	84.6406
Length   14, alignment in bytes  0:	66.7188	88.7031
Length   14, alignment in bytes  0:	68.3594	89.5156
Length   15, alignment in bytes  0:	66.7344	91.9688
Length   15, alignment in bytes  0:	66.7344	91.9531
Length   16, alignment in bytes  0:	67.5469	96.0156
Length   16, alignment in bytes  0:	66.7344	96.0312
Length   17, alignment in bytes  0:	76.5	98.4688
Length   17, alignment in bytes  0:	74.0625	99.2812
Length   18, alignment in bytes  0:	74.0625	101.734
Length   18, alignment in bytes  0:	74.875	103.359
Length   19, alignment in bytes  0:	75.6719	104.984
Length   19, alignment in bytes  0:	75.6875	105.781
Length   20, alignment in bytes  0:	75.6875	109.875
Length   20, alignment in bytes  0:	76.4844	109.047
Length   21, alignment in bytes  0:	78.9531	113.109
Length   21, alignment in bytes  0:	76.5	112.297
Length   22, alignment in bytes  0:	77.3125	114.75
Length   22, alignment in bytes  0:	77.3125	116.375
Length   23, alignment in bytes  0:	77.3125	119.625
Length   23, alignment in bytes  0:	78.125	119.625
Length   24, alignment in bytes  0:	77.3125	121.25
Length   24, alignment in bytes  0:	77.3125	122.078
Length   25, alignment in bytes  0:	84.6406	126.141
Length   25, alignment in bytes  0:	85.4375	126.141
Length   26, alignment in bytes  0:	85.4531	127.766
