                    	strchrnul	simple_STRCHRNUL	stupid_STRCHRNUL
Length   64, alignment in bytes  2:	211.578	205.078	458.984
Length   64, alignment in bytes  2:	210.781	205.078	459.797
Length   64, alignment in bytes  3:	205.891	205.078	457.359
Length   64, alignment in bytes  3:	205.078	205.078	458.172
Length   64, alignment in bytes  4:	196.938	205.078	454.922
Length   64, alignment in bytes  4:	196.125	205.078	455.734
Length   64, alignment in bytes  5:	206.703	205.078	451.672
Length   64, alignment in bytes  5:	206.703	205.078	451.656
Length   64, alignment in bytes  6:	210.781	204.266	442.703
Length   64, alignment in bytes  6:	210.766	205.891	442.703
Length   64, alignment in bytes  7:	205.906	205.078	438.641
Length   64, alignment in bytes  7:	205.078	205.078	445.969
Length    0, alignment in bytes  0:	54.5312	31.7344	59.4062
Length    0, alignment in bytes  0:	53.7188	33.3594	58.5938
Length    1, alignment in bytes  0:	59.4062	35	67.5469
Length    1, alignment in bytes  0:	59.4062	35.8125	65.9219
Length    2, alignment in bytes  0:	61.8438	40.6875	74.0469
Length    2, alignment in bytes  0:	61.8438	40.6875	73.25
Length    3, alignment in bytes  0:	65.1094	42.3125	79.75
Length    3, alignment in bytes  0:	65.1094	42.3125	78.125
Length    4, alignment in bytes  0:	61.8438	45.5781	85.4375
Length    4, alignment in bytes  0:	61.8594	44.7656	83.8281
Length    5, alignment in bytes  0:	68.3594	48.0156	103.344
Length    5, alignment in bytes  0:	68.3594	47.2031	104.172
Length    6, alignment in bytes  0:	70.7969	49.6406	111.5
Length    6, alignment in bytes  0:	70.7969	48.8281	109.859
Length    7, alignment in bytes  0:	72.4375	52.8906	126.125
Length    7, alignment in bytes  0:	72.4219	51.2812	117.188
Length    8, alignment in bytes  0:	72.4219	56.1562	135.094
Length    8, alignment in bytes  0:	70	53.7031	123.688
Length    9, alignment in bytes  0:	76.5	57.7812	129.391
Length    9, alignment in bytes  0:	76.5	56.9688	130.203
Length   10, alignment in bytes  0:	79.75	69.9844	147.297
Length   10, alignment in bytes  0:	78.9531	70	148.922
Length   11, alignment in bytes  0:	81.375	72.4375	157.062
Length   11, alignment in bytes  0:	80.5625	72.4219	157.891
Length   12, alignment in bytes  0:	81.3906	74.875	165.203
Length   12, alignment in bytes  0:	78.9375	75.6875	165.203
Length   13, alignment in bytes  0:	83.8125	77.3125	172.531
Length   13, alignment in bytes  0:	84.6406	77.3125	171.719
Length   14, alignment in bytes  0:	88.7031	80.5781	179.859
Length   14, alignment in bytes  0:	88.7031	81.375	179.844
Length   15, alignment in bytes  0:	91.9531	82.2031	187.188
Length   15, alignment in bytes  0:	89.5312	83	187.172
Length   16, alignment in bytes  0:	87.8906	85.4531	200.188
Length   16, alignment in bytes  0:	87.0781	86.2656	199.375
Length   17, alignment in bytes  0:	94.4062	87.8906	205.078
Length   17, alignment in bytes  0:	92.7812	87.8906	204.266
Length   18, alignment in bytes  0:	98.4688	91.1406	209.969
Length   18, alignment in bytes  0:	97.6562	89.5156	209.141
Length   19, alignment in bytes  0:	99.2812	92.7812	214.031
Length   19, alignment in bytes  0:	97.6562	92.7656	214.031
Length   20, alignment in bytes  0:	98.4688	95.2031	219.719
Length   20, alignment in bytes  0:	96.0156	96.0312	218.906
Length   21, alignment in bytes  0:	103.359	96.8438	225.422
Length   21, alignment in bytes  0:	101.719	98.4688	224.609
Length   22, alignment in bytes  0:	114.75	100.906	230.297
Length   22, alignment in bytes  0:	114.734	100.094	229.484
Length   23, alignment in bytes  0:	108.234	102.531	234.375
Length   23, alignment in bytes  0:	106.609	102.547	235.188
Length   24, alignment in bytes  0:	112.312	105.797	244.141
Length   24, alignment in bytes  0:	111.484	105.797	243.312
Length   25, alignment in bytes  0:	110.672	108.234	247.391
Length   25, alignment in bytes  0:	109.047	107.422	248.219
Length   26, alignment in bytes  0:	124.516	109.859	253.094
Length   26, alignment in bytes  0:	124.516	109.859	253.906
Length   27, alignment in bytes  0:	125.328	111.484	257.969
Length   27, alignment in bytes  0:	123.703	113.109	258.781
Length   28, alignment in bytes  0:	122.891	114.734	264.484
Length   28, alignment in bytes  0:	122.062	115.562	263.672
Length   29, alignment in bytes  0:	125.328	118.812	268.562
Length   29, alignment in bytes  0:	125.328	118	268.562
Length   30, alignment in bytes  0:	133.469	120.453	274.25
Length   30, alignment in bytes  0:	134.266	119.625	273.438
Length   31, alignment in bytes  0:	135.094	123.703	277.5
Length   31, alignment in bytes  0:	134.281	122.891	278.312
