                            	wcsncat	stupid_wcsncat
Length  512/   1, alignment  4/ 6, N    8:	76.5	86.2656
Length  512/  10, alignment  6/ 6, N    8:	129.391	139.156
Length 1024/   1, alignment  7/ 6, N    8:	77.3125	85.4531
Length 1024/   1, alignment  6/ 7, N    8:	76.5	86.2656
Length 1024/  10, alignment  7/ 7, N    8:	128.578	139.156
Length    2/   2, alignment  0/ 2, N   32:	58.5938	57.7812
Length    4/   4, alignment  0/ 0, N   32:	77.3125	76.5
Length    4/   4, alignment  4/ 0, N   32:	78.125	75.6719
Length    8/   8, alignment  0/ 0, N   32:	121.25	131.031
Length    8/   8, alignment  0/ 0, N   32:	119.625	131.828
Length   16/  16, alignment  0/ 0, N   32:	202.625	203.453
Length   16/  16, alignment  7/ 2, N   32:	202.625	204.266
Length   16/   4, alignment  0/ 0, N   32:	135.094	137.531
Length   16/   4, alignment  7/ 2, N   32:	134.281	135.094
Length   32/  32, alignment  0/ 0, N   32:	345.062	349.125
Length   32/  32, alignment  6/ 4, N   32:	345.859	348.312
Length   32/   8, alignment  0/ 0, N   32:	224.609	227.047
Length   32/   8, alignment  6/ 4, N   32:	225.422	227.875
Length   64/  64, alignment  0/ 0, N   32:	505.375	508.625
Length   64/  64, alignment  5/ 6, N   32:	505.375	508.641
Length   64/  16, alignment  0/ 0, N   32:	265.297	269.375
Length   64/  16, alignment  5/ 6, N   32:	264.484	268.562
Length  128/ 128, alignment  0/ 0, N   32:	825.188	829.266
Length  128/ 128, alignment  4/ 0, N   32:	826	829.266
Length  128/  32, alignment  0/ 0, N   32:	345.047	349.125
Length  128/  32, alignment  4/ 0, N   32:	345.875	349.109
Length  256/ 256, alignment  0/ 0, N   32:	1464.84	1468.09
Length  256/ 256, alignment  3/ 2, N   32:	1464.84	1468.91
Length  256/  64, alignment  0/ 0, N   32:	505.375	508.625
Length  256/  64, alignment  3/ 2, N   32:	504.562	508.625
Length  512/ 512, alignment  0/ 0, N   32:	2744.97	2749.03
Length  512/ 512, alignment  2/ 4, N   32:	2745.77	2749.02
Length  512/ 128, alignment  0/ 0, N   32:	825.203	828.453
Length  512/ 128, alignment  2/ 4, N   32:	825.203	829.266
Length 1024/ 256, alignment  0/ 0, N   32:	1465.67	1468.92
Length 1024/ 256, alignment  1/ 6, N   32:	1465.66	1469.73
Length   16/   1, alignment  1/ 2, N   32:	120.438	120.438
Length   16/   1, alignment  2/ 1, N   32:	119.641	120.453
Length   16/  10, alignment  1/ 1, N   32:	172.531	174.156
Length   32/   1, alignment  2/ 4, N   32:	182.281	185.547
Length   32/   1, alignment  4/ 2, N   32:	187.984	186.359
Length   32/  10, alignment  2/ 2, N   32:	236.812	239.25
Length   64/   1, alignment  3/ 6, N   32:	183.922	186.359
Length   64/   1, alignment  6/ 3, N   32:	182.297	186.359
Length   64/  10, alignment  3/ 3, N   32:	236	239.266
Length  128/   1, alignment  4/ 0, N   32:	183.094	186.359
Length  128/   1, alignment  0/ 4, N   32:	183.109	185.547
Length  128/  10, alignment  4/ 4, N   32:	235.188	239.266
Length  256/   1, alignment  5/ 2, N   32:	183.922	185.547
Length  256/   1, alignment  2/ 5, N   32:	181.484	185.547
Length  256/  10, alignment  5/ 5, N   32:	236	239.25
Length  512/   1, alignment  6/ 4, N   32:	183.922	187.172
Length  512/   1, alignment  4/ 6, N   32:	183.109	186.359
Length  512/  10, alignment  6/ 6, N   32:	235.188	239.266
Length 1024/   1, alignment  7/ 6, N   32:	183.094	186.359
Length 1024/   1, alignment  6/ 7, N   32:	183.922	186.359
Length 1024/  10, alignment  7/ 7, N   32:	236	240.062
Length    2/   2, alignment  0/ 2, N  128:	58.5938	57.7812
Length    4/   4, alignment  0/ 0, N  128:	77.3125	76.5
Length    4/   4, alignment  4/ 0, N  128:	77.3125	74.8594
Length    8/   8, alignment  0/ 0, N  128:	120.438	131.016
Length    8/   8, alignment  0/ 0, N  128:	120.438	131.016
Length   16/  16, alignment  0/ 0, N  128:	201.812	205.078
Length   16/  16, alignment  7/ 2, N  128:	201.812	203.453
Length   16/   4, alignment  0/ 0, N  128:	135.094	135.891
Length   16/   4, alignment  7/ 2, N  128:	135.094	136.719
Length   32/  32, alignment  0/ 0, N  128:	343.422	351.562
Length   32/  32, alignment  6/ 4, N  128:	342.609	350.75
Length   32/   8, alignment  0/ 0, N  128:	222.984	230.297
Length   32/   8, alignment  6/ 4, N  128:	222.969	231.109
Length   64/  64, alignment  0/ 0, N  128:	621.734	644.531
Length   64/  64, alignment  5/ 6, N  128:	622.547	644.531
Length   64/  16, alignment  0/ 0, N  128:	383.297	405.266
Length   64/  16, alignment  5/ 6, N  128:	383.297	405.281
Length  128/ 128, alignment  0/ 0, N  128:	1185.72	1229.66
Length  128/ 128, alignment  4/ 0, N  128:	1185.7	1229.66
Length  128/  32, alignment  0/ 0, N  128:	704.75	749.516
Length  128/  32, alignment  4/ 0, N  128:	706.375	749.516
Length  256/ 256, alignment  0/ 0, N  128:	1825.36	1868.48
Length  256/ 256, alignment  3/ 2, N  128:	1825.36	1869.31
Length  256/  64, alignment  0/ 0, N  128:	865.875	909.844
Length  256/  64, alignment  3/ 2, N  128:	865.062	909.844
Length  512/ 512, alignment  0/ 0, N  128:	3114.42	3149.41
Length  512/ 512, alignment  2/ 4, N  128:	3105.47	3149.42
Length  512/ 128, alignment  0/ 0, N  128:	1184.89	1229.66
Length  512/ 128, alignment  2/ 4, N  128:	1184.89	1228.84
Length 1024/ 256, alignment  0/ 0, N  128:	1825.36	1869.3
Length 1024/ 256, alignment  1/ 6, N  128:	1825.36	1869.3
Length   16/   1, alignment  1/ 2, N  128:	119.625	119.641
Length   16/   1, alignment  2/ 1, N  128:	119.625	119.641
Length   16/  10, alignment  1/ 1, N  128:	172.531	174.156
Length   32/   1, alignment  2/ 4, N  128:	179.031	186.359
Length   32/   1, alignment  4/ 2, N  128:	179.047	187.188
Length   32/  10, alignment  2/ 2, N  128:	232.75	240.875
Length   64/   1, alignment  3/ 6, N  128:	300.297	320.641
Length   64/   1, alignment  6/ 3, N  128:	299.484	320.625
Length   64/  10, alignment  3/ 3, N  128:	353.188	375.984
Length  128/   1, alignment  4/ 0, N  128:	542.812	586.75
Length  128/   1, alignment  0/ 4, N  128:	542.797	585.938
Length  128/  10, alignment  4/ 4, N  128:	595.703	638.828
Length  256/   1, alignment  5/ 2, N  128:	542.797	586.75
Length  256/   1, alignment  2/ 5, N  128:	542.797	585.938
Length  256/  10, alignment  5/ 5, N  128:	594.891	638.828
Length  512/   1, alignment  6/ 4, N  128:	542	585.938
Length  512/   1, alignment  4/ 6, N  128:	542.797	586.75
Length  512/  10, alignment  6/ 6, N  128:	594.891	638.844
Length 1024/   1, alignment  7/ 6, N  128:	543.609	586.75
Length 1024/   1, alignment  6/ 7, N  128:	542.812	585.938
Length 1024/  10, alignment  7/ 7, N  128:	595.703	639.641
Length    2/   2, alignment  0/ 2, N  512:	58.5938	61.8438
Length    4/   4, alignment  0/ 0, N  512:	78.9375	78.9375
Length    4/   4, alignment  4/ 0, N  512:	77.3125	84.6406
Length    8/   8, alignment  0/ 0, N  512:	135.906	130.203
Length    8/   8, alignment  0/ 0, N  512:	129.391	131.016
Length   16/  16, alignment  0/ 0, N  512:	202.625	204.266
Length   16/  16, alignment  7/ 2, N  512:	202.625	203.453
Length   16/   4, alignment  0/ 0, N  512:	135.094	144.844
Length   16/   4, alignment  7/ 2, N  512:	135.094	145.672
Length   32/  32, alignment  0/ 0, N  512:	342.609	350.75
Length   32/  32, alignment  6/ 4, N  512:	342.609	350.75
Length   32/   8, alignment  0/ 0, N  512:	223.797	231.125
Length   32/   8, alignment  6/ 4, N  512:	222.156	231.109
Length   64/  64, alignment  0/ 0, N  512:	622.547	643.719
Length   64/  64, alignment  5/ 6, N  512:	621.75	645.344
Length   64/  16, alignment  0/ 0, N  512:	382.484	403.656
