                       	__strcpy_chk	normal_strcpy	simple_strcpy_chk
Length  512, alignment  2/ 4:	700.672	651.047	1772.47
Length 1024, alignment  1/ 6:	1264.66	1178.38	3478.19
Length   16, alignment  1/ 2:	152.188	103.359	108.234
Length   16, alignment  1/ 1:	168.453	102.547	109.047
Length   16, alignment  1/ 1:	175.781	100.922	109.047
Length   32, alignment  2/ 4:	157.062	127.766	162.766
Length   32, alignment  4/ 2:	169.266	118	163.578
Length   32, alignment  2/ 2:	183.094	116.375	161.938
Length   32, alignment  2/ 2:	183.109	113.938	161.938
Length   64, alignment  3/ 6:	222.172	172.531	277.5
Length   64, alignment  6/ 3:	186.375	163.578	269.375
Length   64, alignment  3/ 3:	193.688	152.172	269.359
Length   64, alignment  3/ 3:	193.672	151.359	269.359
Length  128, alignment  4/ 0:	234.375	202.641	482.594
Length  128, alignment  0/ 4:	243.328	201.828	482.578
Length  128, alignment  4/ 4:	236.812	193.688	481.766
Length  128, alignment  4/ 4:	236.016	192.859	482.578
Length  256, alignment  5/ 2:	417.484	369.469	909.016
Length  256, alignment  2/ 5:	433.766	371.094	917.969
Length  256, alignment  5/ 5:	370.281	301.922	909.844
Length  256, alignment  5/ 5:	377.609	301.922	909.844
Length  512, alignment  6/ 4:	661.609	638.844	1770.83
Length  512, alignment  4/ 6:	686.047	626.625	1770.02
Length  512, alignment  6/ 6:	579.422	515.141	1771.64
Length  512, alignment  6/ 6:	572.922	515.125	1771.64
Length 1024, alignment  7/ 6:	1230.47	1163.73	3476.56
Length 1024, alignment  6/ 7:	1169.42	1162.92	3487.95
Length 1024, alignment  7/ 7:	942.391	940.75	3483.08
Length 1024, alignment  7/ 7:	941.578	949.703	3484.7
