                                	strcspn	simple_strcspn	stupid_strcspn
Length   13, alignment  0, rej len  6:	315.75	479.328	703.938
Length   14, alignment  0, rej len  6:	315.75	524.078	773.109
Length   15, alignment  0, rej len  6:	316.578	543.625	778.812
Length   16, alignment  0, rej len  6:	327.141	579.438	839.031
Length   17, alignment  0, rej len  6:	325.531	636.391	908.203
Length   18, alignment  0, rej len  6:	324.703	641.281	913.078
Length   19, alignment  0, rej len  6:	325.516	682.766	970.062
Length   20, alignment  0, rej len  6:	335.281	722.656	1026.2
Length   21, alignment  0, rej len  6:	333.656	749.516	1053.06
Length   22, alignment  0, rej len  6:	335.281	774.75	1068.53
Length   23, alignment  0, rej len  6:	335.297	820.312	1124.67
Length   24, alignment  0, rej len  6:	448.406	851.234	1287.44
Length   25, alignment  0, rej len  6:	343.422	874.844	1199.55
Length   26, alignment  0, rej len  6:	343.422	929.359	1279.3
Length   27, alignment  0, rej len  6:	343.422	963.531	1330.56
Length   28, alignment  0, rej len  6:	359.703	974.125	1340.33
Length   29, alignment  0, rej len  6:	354.016	1013.19	1398.94
Length   30, alignment  0, rej len  6:	352.375	1044.92	1426.59
Length   31, alignment  0, rej len  6:	352.375	1081.55	1482.75
Length   32, alignment  0, rej len  6:	361.328	1118.97	1533.2
Length   33, alignment  0, rej len  6:	362.141	1143.39	1561.69
Length   34, alignment  0, rej len  6:	362.969	1186.52	1619.47
Length   35, alignment  0, rej len  6:	362.141	1219.89	1665.05
Length   36, alignment  0, rej len  6:	371.094	1270.34	1721.19
Length   37, alignment  0, rej len  6:	371.094	1289.88	1760.25
Length   38, alignment  0, rej len  6:	372.719	1339.52	1812.34
Length   39, alignment  0, rej len  6:	371.906	1337.89	1818.84
Length   40, alignment  0, rej len  6:	389.797	1372.08	1844.06
Length   41, alignment  0, rej len  6:	389.812	1436.36	1924.64
Length   42, alignment  0, rej len  6:	388.188	1440.42	1925.45
Length   43, alignment  0, rej len  6:	389.812	1478.69	1991.38
Length   44, alignment  0, rej len  6:	401.203	1530.77	2065.42
Length   45, alignment  0, rej len  6:	401.203	1551.09	2307.95
Length   46, alignment  0, rej len  6:	401.203	1573.89	2111.83
