                       	__stpcpy_chk	normal_stpcpy	simple_stpcpy_chk
Length    0, alignment  0/ 0:	64.2969	49.6406	39.0625
Length    0, alignment  0/ 0:	63.4844	48.8281	38.25
Length    0, alignment  0/ 0:	63.4688	48.8281	38.25
Length    1, alignment  0/ 0:	67.5469	52.9062	43.1406
Length    1, alignment  0/ 0:	67.5312	52.0938	43.9531
Length    1, alignment  0/ 1:	66.7344	53.7031	44.7656
Length    1, alignment  1/ 0:	66.7344	52.8906	43.125
Length    2, alignment  0/ 0:	71.625	57.7812	50.4531
Length    2, alignment  0/ 0:	70.7969	56.1562	50.4688
Length    2, alignment  0/ 2:	70	56.1562	49.6406
Length    2, alignment  2/ 0:	69.9844	56.9688	49.6406
Length    3, alignment  0/ 0:	102.547	61.0469	56.9688
Length    3, alignment  0/ 0:	102.547	60.2344	55.3438
Length    3, alignment  0/ 3:	86.2656	60.2188	56.1406
Length    3, alignment  3/ 0:	91.9531	60.2344	56.1562
Length    4, alignment  0/ 0:	108.234	64.2969	57.7812
Length    4, alignment  0/ 0:	105.797	64.2969	56.9688
Length    4, alignment  0/ 4:	106.609	64.2812	57.7812
Length    4, alignment  4/ 0:	107.422	63.4688	56.9688
Length    5, alignment  0/ 0:	107.422	65.9219	68.3594
Length    5, alignment  0/ 0:	109.047	66.7344	69.9844
Length    5, alignment  0/ 5:	93.5781	66.7344	69.1719
Length    5, alignment  5/ 0:	95.2188	66.7344	69.9844
Length    6, alignment  0/ 0:	109.875	68.3594	74.0625
Length    6, alignment  0/ 0:	109.047	69.1875	74.0625
Length    6, alignment  0/ 6:	105.797	69.1719	73.2344
Length    6, alignment  6/ 0:	97.6562	68.3594	73.2344
Length    7, alignment  0/ 0:	113.938	75.6875	77.3125
Length    7, alignment  0/ 0:	113.109	74.8594	78.125
Length    7, alignment  0/ 7:	108.234	75.6719	76.5
Length    7, alignment  7/ 0:	105.781	74.875	77.3125
Length    8, alignment  0/ 0:	116.375	80.5625	80.5625
Length    8, alignment  0/ 0:	115.562	79.75	81.3906
Length    8, alignment  0/ 0:	114.75	80.5625	80.5625
Length    8, alignment  0/ 0:	114.734	80.5781	81.375
Length    9, alignment  0/ 0:	118.812	83	84.6406
Length    9, alignment  0/ 0:	115.562	83.8125	84.625
Length    9, alignment  0/ 1:	112.297	83.0156	85.4375
Length    9, alignment  1/ 0:	108.234	83.8125	84.625
Length   10, alignment  0/ 0:	130.219	85.4375	87.0781
Length   10, alignment  0/ 0:	129.391	85.4375	87.0781
Length   10, alignment  0/ 2:	129.406	84.6406	87.0781
Length   10, alignment  2/ 0:	120.438	86.25	87.8906
Length   11, alignment  0/ 0:	136.719	87.8906	91.1406
Length   11, alignment  0/ 0:	136.719	87.8906	91.9531
Length   11, alignment  0/ 3:	139.156	87.8906	91.1406
Length   11, alignment  3/ 0:	129.391	88.7031	91.9531
Length   12, alignment  0/ 0:	139.969	90.3281	95.2188
Length   12, alignment  0/ 0:	139.969	90.3438	94.3906
Length   12, alignment  0/ 4:	139.156	89.5156	94.4062
Length   12, alignment  4/ 0:	145.672	97.6562	94.3906
Length   13, alignment  0/ 0:	142.422	92.7812	98.4688
Length   13, alignment  0/ 0:	142.422	92.7656	98.4844
Length   13, alignment  0/ 5:	138.359	92.7812	98.4688
Length   13, alignment  5/ 0:	132.656	104.984	96.8281
Length   14, alignment  0/ 0:	144.859	95.2031	100.922
Length   14, alignment  0/ 0:	144.047	96.0156	100.906
Length   14, alignment  0/ 6:	144.859	95.2031	100.906
Length   14, alignment  6/ 0:	119.625	102.547	102.547
Length   15, alignment  0/ 0:	149.734	97.6562	103.344
Length   15, alignment  0/ 0:	149.734	96.8438	104.984
Length   15, alignment  0/ 7:	156.25	97.6562	104.984
Length   15, alignment  7/ 0:	126.141	103.359	104.172
Length   16, alignment  0/ 0:	159.5	106.609	107.422
Length   16, alignment  7/ 2:	131.016	110.672	108.234
Length   32, alignment  0/ 0:	153	121.266	161.141
Length   32, alignment  6/ 4:	142.422	124.516	160.328
Length   64, alignment  0/ 0:	179.859	155.438	267.734
Length   64, alignment  5/ 6:	208.344	166.016	267.75
Length  128, alignment  0/ 0:	243.328	209.953	480.969
Length  128, alignment  4/ 0:	234.375	200.203	481.766
Length  256, alignment  0/ 0:	344.234	315.75	907.391
Length  256, alignment  3/ 2:	437.016	376.797	907.391
Length  512, alignment  0/ 0:	554.203	528.156	1761.06
Length  512, alignment  2/ 4:	705.562	641.281	1761.08
Length 1024, alignment  0/ 0:	952.969	954.594	3468.42
Length 1024, alignment  1/ 6:	1251.64	1175.14	3467.61
Length   16, alignment  1/ 2:	153	109.875	108.234
Length   16, alignment  2/ 1:	158.703	111.5	107.422
Length   16, alignment  1/ 1:	165.203	107.422	108.234
Length   16, alignment  1/ 1:	164.375	107.422	107.422
Length   32, alignment  2/ 4:	160.312	131.828	161.141
Length   32, alignment  4/ 2:	171.719	124.5	161.125
Length   32, alignment  2/ 2:	184.734	130.203	160.312
Length   32, alignment  2/ 2:	183.906	131.031	161.141
Length   64, alignment  3/ 6:	226.25	175.781	267.734
Length   64, alignment  6/ 3:	187.172	165.203	267.75
Length   64, alignment  3/ 3:	193.688	155.438	267.734
Length   64, alignment  3/ 3:	193.688	155.438	267.734
Length  128, alignment  4/ 0:	236	199.375	480.156
Length  128, alignment  0/ 4:	245.766	209.969	482.578
Length  128, alignment  4/ 4:	238.438	200.203	480.953
Length  128, alignment  4/ 4:	239.25	200.203	480.953
Length  256, alignment  5/ 2:	424.797	367.016	907.391
Length  256, alignment  2/ 5:	431.312	374.359	909.016
