                            	strncat	stupid_strncat
Length  256/   1, alignment  5/ 2, N    8:	134.281	87.8906
Length  256/   1, alignment  2/ 5, N    8:	156.25	87.8906
Length  256/  10, alignment  5/ 5, N    8:	161.953	142.422
Length  512/   1, alignment  6/ 4, N    8:	123.688	87.8906
Length  512/   1, alignment  4/ 6, N    8:	125.328	87.8906
Length  512/  10, alignment  6/ 6, N    8:	148.922	144.047
Length 1024/   1, alignment  7/ 6, N    8:	131.844	88.7031
Length 1024/   1, alignment  6/ 7, N    8:	156.25	88.7031
Length 1024/  10, alignment  7/ 7, N    8:	147.297	142.406
Length    2/   2, alignment  0/ 2, N   32:	96.8438	59.4062
Length    4/   4, alignment  0/ 0, N   32:	131.828	85.4375
Length    4/   4, alignment  4/ 0, N   32:	131.031	85.4531
Length    8/   8, alignment  0/ 0, N   32:	149.75	135.094
Length    8/   8, alignment  0/ 0, N   32:	148.109	134.281
Length   16/  16, alignment  0/ 0, N   32:	207.531	207.516
Length   16/  16, alignment  7/ 2, N   32:	205.078	208.344
Length   16/   4, alignment  0/ 0, N   32:	161.125	136.719
Length   16/   4, alignment  7/ 2, N   32:	158.703	144.047
Length   32/  32, alignment  0/ 0, N   32:	220.547	352.375
Length   32/  32, alignment  6/ 4, N   32:	236.812	353.188
Length   32/   8, alignment  0/ 0, N   32:	188.812	230.312
Length   32/   8, alignment  6/ 4, N   32:	203.453	231.125
Length   64/  64, alignment  0/ 0, N   32:	240.078	520.031
Length   64/  64, alignment  5/ 6, N   32:	258.781	513.516
Length   64/  16, alignment  0/ 0, N   32:	211.594	283.203
Length   64/  16, alignment  5/ 6, N   32:	231.109	273.438
Length  128/ 128, alignment  0/ 0, N   32:	281.562	839.844
Length  128/ 128, alignment  4/ 0, N   32:	283.203	832.531
Length  128/  32, alignment  0/ 0, N   32:	220.531	353.188
Length  128/  32, alignment  4/ 0, N   32:	220.531	353.188
Length  256/ 256, alignment  0/ 0, N   32:	349.125	1479.5
Length  256/ 256, alignment  3/ 2, N   32:	377.609	1481.12
Length  256/  64, alignment  0/ 0, N   32:	246.594	512.703
Length  256/  64, alignment  3/ 2, N   32:	278.328	513.516
Length  512/ 512, alignment  0/ 0, N   32:	489.906	2762.03
Length  512/ 512, alignment  2/ 4, N   32:	493.172	2761.22
