                       	strcmp	simple_strcmp	stupid_strcmp
Length   16, alignment  0/ 0:	104.156	109.062	318.203
Length   16, alignment  0/ 3:	104.156	108.234	310.875
Length   16, alignment  3/ 4:	103.359	108.234	301.109
Length   32, alignment  0/ 0:	160.312	182.297	480.969
Length   32, alignment  0/ 0:	161.141	181.484	480.953
Length   32, alignment  0/ 0:	157.875	175.781	471.188
Length   32, alignment  0/ 0:	157.891	174.969	472
Length   32, alignment  0/ 0:	157.875	175.781	473.641
Length   32, alignment  0/ 0:	157.875	174.969	471.188
Length   32, alignment  0/ 4:	157.891	175.781	462.234
Length   32, alignment  4/ 5:	157.875	174.969	448.391
Length   64, alignment  0/ 0:	266.109	315.75	787.75
Length   64, alignment  0/ 0:	266.125	315.75	787.75
Length   64, alignment  0/ 0:	265.312	308.422	778.797
Length   64, alignment  0/ 0:	264.484	309.25	778.812
Length   64, alignment  0/ 0:	264.5	309.25	777.984
Length   64, alignment  0/ 0:	264.484	310.062	778.812
Length   64, alignment  0/ 5:	263.672	309.234	765.797
Length   64, alignment  5/ 6:	263.672	309.234	745.453
Length  128, alignment  0/ 0:	479.328	582.688	1402.17
Length  128, alignment  0/ 0:	480.953	582.688	1403.8
Length  128, alignment  0/ 0:	478.516	574.547	1381.02
Length  128, alignment  0/ 0:	477.703	575.359	1394.05
Length  128, alignment  0/ 0:	476.891	575.344	1394.86
Length  128, alignment  0/ 0:	478.516	575.359	1394.86
Length  128, alignment  0/ 6:	477.703	576.172	1382.64
Length  128, alignment  6/ 7:	478.516	575.359	1358.23
Length  256, alignment  0/ 0:	906.578	1114.09	2305.52
Length  256, alignment  0/ 0:	906.578	1115.73	2306.31
Length  256, alignment  0/ 0:	904.141	1109.22	2296.55
Length  256, alignment  0/ 0:	904.125	1108.41	2297.36
Length  256, alignment  0/ 0:	904.141	1109.22	2297.36
Length  256, alignment  0/ 0:	904.953	1108.41	2298.17
Length  256, alignment  0/ 7:	904.141	1109.22	2283.53
Length  256, alignment  7/ 8:	904.141	1107.59	2447.92
Length  512, alignment  0/ 0:	1761.08	2183.42	4065.75
Length  512, alignment  0/ 0:	1761.08	2181.81	4065.75
Length  512, alignment  0/ 0:	1759.44	2175.3	4057.62
Length  512, alignment  0/ 0:	1760.25	2175.28	4058.42
Length  512, alignment  0/ 0:	1757.81	2175.28	4056.8
Length  512, alignment  0/ 0:	1758.64	2174.48	4058.42
Length  512, alignment  0/ 8:	1758.62	2176.09	4067.38
Length  512, alignment  8/ 9:	1757	2174.47	4075.52
Length 1024, alignment  0/ 0:	3467.61	4315.59	7585.45
Length 1024, alignment  0/ 0:	3466.8	4315.59	7587.89
Length 1024, alignment  0/ 0:	3465.98	4309.89	7578.12
Length 1024, alignment  0/ 0:	3464.36	4309.08	7578.12
Length 1024, alignment  0/ 0:	3465.16	4309.91	7775.06
Length 1024, alignment  0/ 0:	3465.98	4311.53	7579.75
Length 1024, alignment  0/ 9:	3465.98	4309.91	7586.27
Length 1024, alignment  9/10:	3465.17	4309.89	7592.78
Length   16, alignment  1/ 2:	106.609	116.375	320.625
Length   16, alignment  2/ 1:	105.797	115.562	319.828
Length   16, alignment  1/ 2:	104.984	109.047	311.672
Length   16, alignment  2/ 1:	104.984	109.047	312.5
Length   16, alignment  1/ 2:	104.172	107.422	310.875
Length   16, alignment  2/ 1:	105.781	109.859	310.875
Length   32, alignment  2/ 4:	159.5	181.484	465.484
Length   32, alignment  4/ 2:	160.328	181.469	465.5
Length   32, alignment  2/ 4:	157.875	175.781	457.359
Length   32, alignment  4/ 2:	157.875	174.156	457.359
Length   32, alignment  2/ 4:	157.875	174.969	455.734
Length   32, alignment  4/ 2:	157.875	174.969	457.359
Length   64, alignment  3/ 6:	266.922	314.938	769.859
Length   64, alignment  6/ 3:	266.922	316.562	786.141
Length   64, alignment  3/ 6:	265.297	309.25	776.375
Length   64, alignment  6/ 3:	264.484	309.234	760.094
