                       	strstr	simple_strstr	stupid_strstr
Length   24/4, alignment  0/ 9, found:	322.266	342.609	340.172
Length   24/4, alignment  0/ 9, fail:	332.031	353.188	368.656
Length   24/4, alignment  0/15, found:	322.266	367.016	336.094
Length   24/4, alignment  0/15, fail:	332.031	369.469	380.859
Length   24/4, alignment  3/ 0, found:	323.078	335.281	335.281
Length   24/4, alignment  3/ 0, fail:	335.297	345.859	373.531
Length   24/4, alignment  3/ 3, found:	321.453	360.516	328.766
Length   24/4, alignment  3/ 3, fail:	335.281	368.656	373.531
Length   24/4, alignment  3/ 9, found:	321.453	334.484	334.469
Length   24/4, alignment  3/ 9, fail:	334.469	348.312	377.594
Length   24/4, alignment  3/15, found:	321.453	360.516	337.719
Length   24/4, alignment  3/15, fail:	335.297	371.094	378.406
Length   24/4, alignment  9/ 0, found:	331.219	345.047	345.859
Length   24/4, alignment  9/ 0, fail:	343.422	356.438	387.375
Length   24/4, alignment  9/ 3, found:	331.219	367.031	345.047
Length   24/4, alignment  9/ 3, fail:	345.047	378.422	386.562
Length   24/4, alignment  9/ 9, found:	332.031	344.234	344.234
Length   24/4, alignment  9/ 9, fail:	344.234	360.516	388.172
Length   24/4, alignment  9/15, found:	331.219	380.047	345.047
Length   24/4, alignment  9/15, fail:	345.047	380.047	384.938
Length   24/4, alignment 15/ 0, found:	331.219	345.047	318.203
Length   24/4, alignment 15/ 0, fail:	331.219	345.047	343.422
Length   24/4, alignment 15/ 3, found:	340.984	369.469	319
Length   24/4, alignment 15/ 3, fail:	331.219	369.469	344.234
Length   24/4, alignment 15/ 9, found:	340.172	344.25	307.609
Length   24/4, alignment 15/ 9, fail:	332.031	346.688	346.672
Length   24/4, alignment 15/15, found:	334.484	382.5	328.781
Length   24/4, alignment 15/15, fail:	330.391	370.281	345.859
Length   28/4, alignment  0/ 0, found:	331.219	342.609	379.234
Length   28/4, alignment  0/ 0, fail:	351.562	366.219	421.547
Length   28/4, alignment  0/ 3, found:	331.219	364.578	380.047
Length   28/4, alignment  0/ 3, fail:	353.203	396.328	417.484
Length   28/4, alignment  0/ 9, found:	332.031	354.812	377.609
Length   28/4, alignment  0/ 9, fail:	354.828	375.984	408.531
Length   28/4, alignment  0/15, found:	330.391	376.797	376.797
Length   28/4, alignment  0/15, fail:	352.375	399.578	421.547
Length   28/4, alignment  3/ 0, found:	328.766	343.422	370.281
Length   28/4, alignment  3/ 0, fail:	354.812	366.203	401.203
Length   28/4, alignment  3/ 3, found:	330.406	376.797	372.719
Length   28/4, alignment  3/ 3, fail:	353.203	390.625	393.891
Length   28/4, alignment  3/ 9, found:	331.219	355.625	362.141
Length   28/4, alignment  3/ 9, fail:	357.266	367.844	391.438
Length   28/4, alignment  3/15, found:	329.594	367.828	361.328
Length   28/4, alignment  3/15, fail:	354.812	392.25	402.844
Length   28/4, alignment  9/ 0, found:	343.422	351.562	370.281
Length   28/4, alignment  9/ 0, fail:	366.219	385.734	411.797
Length   28/4, alignment  9/ 3, found:	340.984	381.672	369.469
Length   28/4, alignment  9/ 3, fail:	366.219	406.906	407.719
Length   28/4, alignment  9/ 9, found:	341.797	359.703	370.281
Length   28/4, alignment  9/ 9, fail:	363.766	384.938	411.781
Length   28/4, alignment  9/15, found:	340.172	385.734	367.828
Length   28/4, alignment  9/15, fail:	363.766	410.156	407.703
Length   28/4, alignment 15/ 0, found:	332.844	345.047	345.859
Length   28/4, alignment 15/ 0, fail:	349.938	363.766	374.344
Length   28/4, alignment 15/ 3, found:	332.031	370.281	346.672
Length   28/4, alignment 15/ 3, fail:	353.188	397.125	567.219
Length   28/4, alignment 15/ 9, found:	348.312	358.078	346.688
Length   28/4, alignment 15/ 9, fail:	360.516	375.156	373.531
Length   28/4, alignment 15/15, found:	340.984	371.094	346.672
Length   28/4, alignment 15/15, fail:	361.328	389.812	372.719
Length   32/4, alignment  0/ 0, found:	339.344	343.422	415.844
Length   32/4, alignment  0/ 0, fail:	380.859	384.922	450.844
Length   32/4, alignment  0/ 3, found:	340.172	363.766	409.344
Length   32/4, alignment  0/ 3, fail:	373.531	407.719	454.109
Length   32/4, alignment  0/ 9, found:	331.219	342.609	407.703
Length   32/4, alignment  0/ 9, fail:	374.359	402.016	453.297
Length   32/4, alignment  0/15, found:	332.031	376.797	416.656
Length   32/4, alignment  0/15, fail:	374.359	408.531	459.797
Length   32/4, alignment  3/ 0, found:	331.219	343.422	406.906
Length   32/4, alignment  3/ 0, fail:	374.359	387.375	450.844
Length   32/4, alignment  3/ 3, found:	332.031	367.828	406.906
Length   32/4, alignment  3/ 3, fail:	376.797	410.156	444.328
Length   32/4, alignment  3/ 9, found:	330.406	341.797	401.203
Length   32/4, alignment  3/ 9, fail:	376.797	396.328	446.781
Length   32/4, alignment  3/15, found:	329.594	379.219	401.203
Length   32/4, alignment  3/15, fail:	377.609	420.75	445.141
Length   32/4, alignment  9/ 0, found:	340.156	360.516	403.656
Length   32/4, alignment  9/ 0, fail:	385.734	397.141	449.219
Length   32/4, alignment  9/ 3, found:	339.359	372.719	408.531
Length   32/4, alignment  9/ 3, fail:	393.875	419.922	445.156
Length   32/4, alignment  9/ 9, found:	351.562	353.188	404.453
Length   32/4, alignment  9/ 9, fail:	393.062	397.125	449.219
Length   32/4, alignment  9/15, found:	340.984	375.984	402.828
Length   32/4, alignment  9/15, fail:	384.922	419.922	449.219
Length   32/4, alignment 15/ 0, found:	349.109	353.188	380.047
Length   32/4, alignment 15/ 0, fail:	370.281	384.109	406.078
Length   32/4, alignment 15/ 3, found:	349.922	376.781	380.047
Length   32/4, alignment 15/ 3, fail:	370.281	407.719	417.484
Length   32/4, alignment 15/ 9, found:	339.359	351.562	398.766
Length   32/4, alignment 15/ 9, fail:	371.906	384.109	415.859
Length   32/4, alignment 15/15, found:	349.125	379.234	388.188
Length   32/4, alignment 15/15, fail:	372.734	410.156	406.094
Length   36/4, alignment  0/ 0, found:	349.125	349.938	441.891
Length   36/4, alignment  0/ 0, fail:	393.875	415.047	491.547
Length   36/4, alignment  0/ 3, found:	337.719	379.234	441.891
Length   36/4, alignment  0/ 3, fail:	392.25	428.875	493.156
Length   36/4, alignment  0/ 9, found:	347.5	349.125	442.719
Length   36/4, alignment  0/ 9, fail:	403.656	406.891	492.344
Length   36/4, alignment  0/15, found:	340.172	375.156	441.078
Length   36/4, alignment  0/15, fail:	395.5	429.688	489.906
Length   36/4, alignment  3/ 0, found:	338.547	349.125	435.375
Length   36/4, alignment  3/ 0, fail:	394.688	406.094	493.984
Length   36/4, alignment  3/ 3, found:	337.734	373.531	443.531
Length   36/4, alignment  3/ 3, fail:	393.875	430.5	482.594
Length   36/4, alignment  3/ 9, found:	338.547	349.938	437.812
Length   36/4, alignment  3/ 9, fail:	395.516	417.484	485.031
Length   36/4, alignment  3/15, found:	338.547	384.922	433.75
Length   36/4, alignment  3/15, fail:	394.703	439.453	483.391
Length   36/4, alignment  9/ 0, found:	346.688	360.5	438.641
Length   36/4, alignment  9/ 0, fail:	412.594	417.484	488.281
Length   36/4, alignment  9/ 3, found:	355.625	381.672	441.078
Length   36/4, alignment  9/ 3, fail:	406.078	438.641	489.094
Length   36/4, alignment  9/ 9, found:	346.688	358.891	438.641
Length   36/4, alignment  9/ 9, fail:	405.266	417.484	496.422
Length   36/4, alignment  9/15, found:	347.5	394.688	444.344
Length   36/4, alignment  9/15, fail:	404.453	439.453	486.656
Length   36/4, alignment 15/ 0, found:	344.25	354	432.141
Length   36/4, alignment 15/ 0, fail:	391.453	412.594	493.969
Length   36/4, alignment 15/ 3, found:	339.359	385.75	428.062
Length   36/4, alignment 15/ 3, fail:	390.625	427.25	493.156
Length   36/4, alignment 15/ 9, found:	348.297	353.188	427.234
Length   36/4, alignment 15/ 9, fail:	399.578	403.641	493.156
Length   36/4, alignment 15/15, found:	349.125	377.594	429.688
Length   36/4, alignment 15/15, fail:	390.625	428.062	493.156
Length   40/4, alignment  0/ 0, found:	337.734	351.562	481.781
Length   40/4, alignment  0/ 0, fail:	415.047	426.438	542.812
Length   40/4, alignment  0/ 3, found:	340.984	371.906	490.719
Length   40/4, alignment  0/ 3, fail:	415.047	448.406	533.031
Length   40/4, alignment  0/ 9, found:	338.531	358.891	480.953
Length   40/4, alignment  0/ 9, fail:	415.047	433.766	534.672
Length   40/4, alignment  0/15, found:	339.344	374.344	660.812
Length   40/4, alignment  0/15, fail:	415.031	450.031	534.672
Length   40/4, alignment  3/ 0, found:	337.734	349.938	481.766
Length   40/4, alignment  3/ 0, fail:	415.844	427.25	536.297
Length   40/4, alignment  3/ 3, found:	337.734	375.984	482.594
Length   40/4, alignment  3/ 3, fail:	415.844	457.359	527.344
Length   40/4, alignment  3/ 9, found:	337.734	357.25	472.828
Length   40/4, alignment  3/ 9, fail:	413.406	426.422	528.156
Length   40/4, alignment  3/15, found:	346.672	375.984	472.812
Length   40/4, alignment  3/15, fail:	423.172	452.469	527.344
Length   40/4, alignment  9/ 0, found:	348.312	358.891	475.266
Length   40/4, alignment  9/ 0, fail:	424.797	446.781	541.172
Length   40/4, alignment  9/ 3, found:	347.5	390.625	486.656
Length   40/4, alignment  9/ 3, fail:	424.797	467.125	531.422
Length   40/4, alignment  9/ 9, found:	346.688	367.031	477.688
Length   40/4, alignment  9/ 9, fail:	424.797	437.828	530.594
Length   40/4, alignment  9/15, found:	356.453	383.312	476.891
Length   40/4, alignment  9/15, fail:	444.344	460.609	533.047
Length   40/4, alignment 15/ 0, found:	348.312	359.703	460.609
Length   40/4, alignment 15/ 0, fail:	412.609	423.188	512.703
Length   40/4, alignment 15/ 3, found:	356.438	394.703	459.797
Length   40/4, alignment 15/ 3, fail:	411.797	448.406	515.953
Length   40/4, alignment 15/ 9, found:	346.672	367.016	461.422
Length   40/4, alignment 15/ 9, fail:	411.781	432.953	515.141
Length   40/4, alignment 15/15, found:	349.922	396.328	459.797
Length   40/4, alignment 15/15, fail:	420.734	447.594	513.516
Length   44/4, alignment  0/ 0, found:	346.688	356.438	515.125
Length   44/4, alignment  0/ 0, fail:	435.391	448.406	580.25
Length   44/4, alignment  0/ 3, found:	346.688	379.234	524.094
Length   44/4, alignment  0/ 3, fail:	433.766	476.078	567.219
Length   44/4, alignment  0/ 9, found:	344.234	366.203	513.516
Length   44/4, alignment  0/ 9, fail:	442.719	445.953	568.031
Length   44/4, alignment  0/15, found:	356.438	381.672	513.5
Length   44/4, alignment  0/15, fail:	436.203	479.344	574.547
Length   44/4, alignment  3/ 0, found:	345.859	368.656	513.516
Length   44/4, alignment  3/ 0, fail:	433.766	456.531	582.672
Length   44/4, alignment  3/ 3, found:	346.688	389.812	508.625
Length   44/4, alignment  3/ 3, fail:	435.375	468.75	560.703
Length   44/4, alignment  3/ 9, found:	354.812	358.891	506.172
Length   44/4, alignment  3/ 9, fail:	445.156	447.594	561.531
Length   44/4, alignment  3/15, found:	345.047	384.109	514.328
Length   44/4, alignment  3/15, fail:	433.75	471.203	568.844
Length   44/4, alignment  9/ 0, found:	356.453	376.781	511.062
Length   44/4, alignment  9/ 0, fail:	445.156	467.125	568.031
Length   44/4, alignment  9/ 3, found:	355.625	388.188	511.062
Length   44/4, alignment  9/ 3, fail:	453.281	477.703	564.781
Length   44/4, alignment  9/ 9, found:	356.438	367.031	513.516
Length   44/4, alignment  9/ 9, fail:	445.969	457.359	573.734
Length   44/4, alignment  9/15, found:	354.016	391.453	519.203
Length   44/4, alignment  9/15, fail:	443.531	498.859	564.766
Length   44/4, alignment 15/ 0, found:	347.5	379.234	489.906
Length   44/4, alignment 15/ 0, fail:	438.641	445.969	541.984
Length   44/4, alignment 15/ 3, found:	357.266	386.547	487.469
Length   44/4, alignment 15/ 3, fail:	430.5	467.125	549.312
Length   44/4, alignment 15/ 9, found:	346.688	360.516	496.422
Length   44/4, alignment 15/ 9, fail:	431.328	444.328	550.125
Length   44/4, alignment 15/15, found:	356.438	397.125	489.094
Length   44/4, alignment 15/15, fail:	429.688	476.891	542
Length   48/4, alignment  0/ 0, found:	345.062	358.078	559.906
Length   48/4, alignment  0/ 0, fail:	462.25	466.312	625
Length   48/4, alignment  0/ 3, found:	345.047	379.234	566.406
Length   48/4, alignment  0/ 3, fail:	454.922	488.281	611.984
Length   48/4, alignment  0/ 9, found:	346.688	357.266	557.453
Length   48/4, alignment  0/ 9, fail:	454.094	474.438	603.031
Length   48/4, alignment  0/15, found:	354	380.047	557.453
Length   48/4, alignment  0/15, fail:	461.422	488.281	606.281
Length   48/4, alignment  3/ 0, found:	347.5	357.25	560.703
Length   48/4, alignment  3/ 0, fail:	455.734	467.125	626.625
Length   48/4, alignment  3/ 3, found:	344.25	388.984	550.953
Length   48/4, alignment  3/ 3, fail:	452.484	498.859	596.531
Length   48/4, alignment  3/ 9, found:	353.203	357.266	548.516
Length   48/4, alignment  3/ 9, fail:	458.156	468.75	607.922
Length   48/4, alignment  3/15, found:	345.859	383.297	568.844
Length   48/4, alignment  3/15, fail:	454.906	502.938	597.344
Length   48/4, alignment  9/ 0, found:	356.453	367.016	553.391
Length   48/4, alignment  9/ 0, fail:	472.828	476.891	603.844
Length   48/4, alignment  9/ 3, found:	355.625	388.984	553.391
Length   48/4, alignment  9/ 3, fail:	466.312	498.859	610.359
Length   48/4, alignment  9/ 9, found:	354	367.016	551.75
Length   48/4, alignment  9/ 9, fail:	464.688	485.031	601.406
Length   48/4, alignment  9/15, found:	366.203	391.438	559.906
Length   48/4, alignment  9/15, fail:	473.641	500.484	611.172
Length   48/4, alignment 15/ 0, found:	354.812	378.422	531.406
Length   48/4, alignment 15/ 0, fail:	450.047	465.5	576.172
Length   48/4, alignment 15/ 3, found:	356.438	410.969	522.453
Length   48/4, alignment 15/ 3, fail:	450.031	486.656	573.734
Length   48/4, alignment 15/ 9, found:	361.328	367.844	523.281
Length   48/4, alignment 15/ 9, fail:	450.844	464.672	576.172
Length   48/4, alignment 15/15, found:	355.641	393.062	531.422
Length   48/4, alignment 15/15, fail:	451.656	488.281	579.438
Length   52/4, alignment  0/ 0, found:	354.016	375.969	590.016
Length   52/4, alignment  0/ 0, fail:	474.453	486.656	675.453
Length   52/4, alignment  0/ 3, found:	360.516	385.734	589.188
Length   52/4, alignment  0/ 3, fail:	474.453	507.812	689.281
Length   52/4, alignment  0/ 9, found:	354.016	374.344	594.078
Length   52/4, alignment  0/ 9, fail:	472.812	486.656	673.016
Length   52/4, alignment  0/15, found:	361.328	387.375	594.062
Length   52/4, alignment  0/15, fail:	474.453	510.25	703.125
Length   52/4, alignment  3/ 0, found:	354.812	364.578	580.234
Length   52/4, alignment  3/ 0, fail:	473.641	493.984	712.078
Length   52/4, alignment  3/ 3, found:	363.766	389.812	583.5
Length   52/4, alignment  3/ 3, fail:	482.594	510.25	717.766
Length   52/4, alignment  3/ 9, found:	352.375	365.391	590.016
Length   52/4, alignment  3/ 9, fail:	474.438	495.609	709.641
Length   52/4, alignment  3/15, found:	353.188	402.016	580.25
Length   52/4, alignment  3/15, fail:	482.594	513.516	667.312
Length   52/4, alignment  9/ 0, found:	362.953	374.344	596.516
Length   52/4, alignment  9/ 0, fail:	484.219	498.859	671.375
Length   52/4, alignment  9/ 3, found:	364.594	404.469	592.438
Length   52/4, alignment  9/ 3, fail:	492.344	519.203	672.203
Length   52/4, alignment  9/ 9, found:	362.141	375.172	596.516
Length   52/4, alignment  9/ 9, fail:	485.828	496.422	670.578
Length   52/4, alignment  9/15, found:	361.328	408.531	588.375
Length   52/4, alignment  9/15, fail:	483.406	520.016	712.891
Length   52/4, alignment 15/ 0, found:	354	367.844	560.719
Length   52/4, alignment 15/ 0, fail:	471.188	483.406	644.531
Length   52/4, alignment 15/ 3, found:	356.438	392.25	559.906
Length   52/4, alignment 15/ 3, fail:	471.203	514.328	634.766
Length   52/4, alignment 15/ 9, found:	366.203	367.016	559.906
Length   52/4, alignment 15/ 9, fail:	472.812	483.391	644.531
Length   52/4, alignment 15/15, found:	356.438	395.516	567.219
Length   52/4, alignment 15/15, fail:	471.188	517.578	635.578
Length   56/4, alignment  0/ 0, found:	356.453	366.219	624.188
Length   56/4, alignment  0/ 0, fail:	502.922	505.359	714.516
Length   56/4, alignment  0/ 3, found:	353.203	387.375	631.516
Length   56/4, alignment  0/ 3, fail:	493.984	528.969	717.781
Length   56/4, alignment  0/ 9, found:	362.953	365.391	621.75
Length   56/4, alignment  0/ 9, fail:	502.938	504.562	715.328
Length   56/4, alignment  0/15, found:	354	388.172	632.328
Length   56/4, alignment  0/15, fail:	494.797	529.781	716.953
Length   56/4, alignment  3/ 0, found:	353.188	373.531	614.422
Length   56/4, alignment  3/ 0, fail:	503.734	515.953	707.203
Length   56/4, alignment  3/ 3, found:	353.188	400.391	622.562
Length   56/4, alignment  3/ 3, fail:	493.156	540.375	707.203
Length   56/4, alignment  3/ 9, found:	354	383.297	613.609
Length   56/4, alignment  3/ 9, fail:	503.734	517.578	708
Length   56/4, alignment  3/15, found:	354	772.297	618.484
Length   56/4, alignment  3/15, fail:	495.609	543.625	710.438
Length   56/4, alignment  9/ 0, found:	371.906	386.547	620.125
Length   56/4, alignment  9/ 0, fail:	507.812	517.578	721.844
Length   56/4, alignment  9/ 3, found:	364.578	397.141	620.109
Length   56/4, alignment  9/ 3, fail:	504.562	538.75	715.344
Length   56/4, alignment  9/ 9, found:	362.953	372.719	619.297
Length   56/4, alignment  9/ 9, fail:	505.375	517.578	720.219
Length   56/4, alignment  9/15, found:	364.594	407.719	618.5
Length   56/4, alignment  9/15, fail:	507	542	715.328
Length   56/4, alignment 15/ 0, found:	362.141	386.547	594.062
Length   56/4, alignment 15/ 0, fail:	491.531	504.562	680.328
Length   56/4, alignment 15/ 3, found:	362.969	399.562	592.453
Length   56/4, alignment 15/ 3, fail:	491.547	528.156	673.016
Length   56/4, alignment 15/ 9, found:	370.266	385.75	591.641
Length   56/4, alignment 15/ 9, fail:	491.547	504.562	682.781
Length   56/4, alignment 15/15, found:	363.766	402.031	592.438
Length   56/4, alignment 15/15, fail:	495.609	547.703	672.203
Length   60/4, alignment  0/ 0, found:	369.469	385.75	655.109
Length   60/4, alignment  0/ 0, fail:	512.688	537.109	762.531
Length   60/4, alignment  0/ 3, found:	360.516	393.062	655.109
Length   60/4, alignment  0/ 3, fail:	513.516	547.688	751.141
Length   60/4, alignment  0/ 9, found:	361.328	383.297	655.922
Length   60/4, alignment  0/ 9, fail:	516.766	527.344	750.312
Length   60/4, alignment  0/15, found:	361.328	395.5	655.109
Length   60/4, alignment  0/15, fail:	520.828	550.141	760.906
Length   60/4, alignment  3/ 0, found:	362.969	372.719	654.297
Length   60/4, alignment  3/ 0, fail:	515.953	534.672	744.625
Length   60/4, alignment  3/ 3, found:	373.531	396.312	646.172
Length   60/4, alignment  3/ 3, fail:	515.141	550.125	747.062
Length   60/4, alignment  3/ 9, found:	368.656	372.719	659.172
Length   60/4, alignment  3/ 9, fail:	516.766	536.297	740.562
Length   60/4, alignment  3/15, found:	369.453	397.938	645.344
Length   60/4, alignment  3/15, fail:	514.312	551.766	751.953
Length   60/4, alignment  9/ 0, found:	369.469	393.062	655.938
Length   60/4, alignment  9/ 0, fail:	524.906	537.109	745.438
Length   60/4, alignment  9/ 3, found:	370.281	402.016	663.234
Length   60/4, alignment  9/ 3, fail:	524.906	557.453	749.516
Length   60/4, alignment  9/ 9, found:	369.469	396.328	653.484
Length   60/4, alignment  9/ 9, fail:	534.672	537.922	769.047
Length   60/4, alignment  9/15, found:	370.281	405.266	663.25
Length   60/4, alignment  9/15, fail:	523.281	568.031	747.891
Length   60/4, alignment 15/ 0, found:	371.906	374.359	630.703
Length   60/4, alignment 15/ 0, fail:	511.062	524.094	719.391
Length   60/4, alignment 15/ 3, found:	372.719	399.578	638.844
Length   60/4, alignment 15/ 3, fail:	511.891	566.406	712.078
Length   60/4, alignment 15/ 9, found:	372.719	384.109	630.703
Length   60/4, alignment 15/ 9, fail:	511.062	524.094	719.406
Length   60/4, alignment 15/15, found:	363.766	410.969	649.422
Length   60/4, alignment 15/15, fail:	511.062	556.641	731.609
Length   10/5, alignment  0/ 0, found:	350.75	353.188	206.703
Length   10/5, alignment  0/ 0, fail:	136.719	135.906	211.594
Length   10/5, alignment  0/ 3, found:	340.984	376.797	208.344
Length   10/5, alignment  0/ 3, fail:	136.719	136.719	203.438
Length   10/5, alignment  0/ 9, found:	340.172	350.75	208.328
Length   10/5, alignment  0/ 9, fail:	136.719	136.719	201.828
Length   10/5, alignment  0/15, found:	349.125	369.453	205.891
Length   10/5, alignment  0/15, fail:	137.547	143.219	213.219
Length   10/5, alignment  3/ 0, found:	322.266	339.359	209.141
Length   10/5, alignment  3/ 0, fail:	135.906	135.906	202.641
Length   10/5, alignment  3/ 3, found:	322.266	351.562	208.328
Length   10/5, alignment  3/ 3, fail:	144.844	135.906	202.625
Length   10/5, alignment  3/ 9, found:	324.703	345.062	205.078
Length   10/5, alignment  3/ 9, fail:	136.719	146.484	210.781
Length   10/5, alignment  3/15, found:	321.453	353.188	208.328
Length   10/5, alignment  3/15, fail:	135.906	136.719	207.516
Length   10/5, alignment  9/ 0, found:	345.875	351.562	205.891
Length   10/5, alignment  9/ 0, fail:	136.719	142.406	203.453
Length   10/5, alignment  9/ 3, found:	336.094	363.766	209.141
Length   10/5, alignment  9/ 3, fail:	137.531	135.906	203.453
Length   10/5, alignment  9/ 9, found:	336.094	495.609	206.703
Length   10/5, alignment  9/ 9, fail:	137.547	135.094	205.078
Length   10/5, alignment  9/15, found:	335.281	363.766	207.516
Length   10/5, alignment  9/15, fail:	136.719	135.078	204.266
Length   10/5, alignment 15/ 0, found:	321.453	333.656	205.891
Length   10/5, alignment 15/ 0, fail:	136.719	135.906	185.547
Length   10/5, alignment 15/ 3, found:	329.578	347.5	191.234
Length   10/5, alignment 15/ 3, fail:	135.891	135.094	195.312
Length   10/5, alignment 15/ 9, found:	325.531	342.625	191.25
Length   10/5, alignment 15/ 9, fail:	137.531	134.281	183.922
Length   10/5, alignment 15/15, found:	322.266	347.484	191.234
Length   10/5, alignment 15/15, fail:	136.719	134.281	184.734
Length   15/5, alignment  0/ 0, found:	354	355.641	268.562
Length   15/5, alignment  0/ 0, fail:	159.5	159.5	263.672
Length   15/5, alignment  0/ 3, found:	346.672	371.094	279.938
Length   15/5, alignment  0/ 3, fail:	159.5	159.5	284.016
Length   15/5, alignment  0/ 9, found:	345.859	355.625	267.734
Length   15/5, alignment  0/ 9, fail:	159.5	158.688	265.297
Length   15/5, alignment  0/15, found:	361.328	375.969	267.75
Length   15/5, alignment  0/15, fail:	161.938	159.5	265.312
Length   15/5, alignment  3/ 0, found:	348.312	378.422	262.844
Length   15/5, alignment  3/ 0, fail:	165.203	164.391	262.859
Length   15/5, alignment  3/ 3, found:	346.688	372.734	270.188
Length   15/5, alignment  3/ 3, fail:	164.375	164.391	259.609
Length   15/5, alignment  3/ 9, found:	346.672	359.703	264.484
Length   15/5, alignment  3/ 9, fail:	163.578	162.766	274.25
Length   15/5, alignment  3/15, found:	346.688	374.359	263.672
Length   15/5, alignment  3/15, fail:	165.203	165.203	260.422
Length   15/5, alignment  9/ 0, found:	327.141	343.422	266.938
Length   15/5, alignment  9/ 0, fail:	167.641	169.281	265.297
Length   15/5, alignment  9/ 3, found:	332.844	355.625	267.734
Length   15/5, alignment  9/ 3, fail:	168.453	169.266	262.031
Length   15/5, alignment  9/ 9, found:	340.172	340.969	269.359
Length   15/5, alignment  9/ 9, fail:	169.266	180.656	263.672
Length   15/5, alignment  9/15, found:	332.031	362.141	270.188
Length   15/5, alignment  9/15, fail:	168.453	169.266	268.547
Length   15/5, alignment 15/ 0, found:	351.562	359.703	233.562
Length   15/5, alignment 15/ 0, fail:	158.688	158.688	228.688
Length   15/5, alignment 15/ 3, found:	359.703	375.969	227.047
Length   15/5, alignment 15/ 3, fail:	160.312	158.703	227.859
Length   15/5, alignment 15/ 9, found:	349.938	371.906	227.047
Length   15/5, alignment 15/ 9, fail:	158.688	159.5	246.578
Length   15/5, alignment 15/15, found:	351.562	375.156	227.047
Length   15/5, alignment 15/15, fail:	158.688	157.875	226.234
Length   20/5, alignment  0/ 0, found:	363.766	364.578	300.297
Length   20/5, alignment  0/ 0, fail:	349.125	349.938	305.984
Length   20/5, alignment  0/ 3, found:	362.141	378.422	304.375
Length   20/5, alignment  0/ 3, fail:	350.75	365.391	307.625
Length   20/5, alignment  0/ 9, found:	367.031	365.406	304.375
Length   20/5, alignment  0/ 9, fail:	338.547	349.922	310.062
Length   20/5, alignment  0/15, found:	354	380.047	312.5
Length   20/5, alignment  0/15, fail:	341.797	365.406	305.984
Length   20/5, alignment  3/ 0, found:	380.859	388.188	306.797
Length   20/5, alignment  3/ 0, fail:	332.844	345.062	299.484
Length   20/5, alignment  3/ 3, found:	376.781	405.266	304.359
Length   20/5, alignment  3/ 3, fail:	332.031	367.016	301.922
Length   20/5, alignment  3/ 9, found:	376.797	396.312	306.812
Length   20/5, alignment  3/ 9, fail:	331.219	354	299.484
Length   20/5, alignment  3/15, found:	377.609	415.859	306.797
Length   20/5, alignment  3/15, fail:	331.219	371.906	300.297
Length   20/5, alignment  9/ 0, found:	377.609	406.078	309.25
Length   20/5, alignment  9/ 0, fail:	332.844	360.516	305.172
Length   20/5, alignment  9/ 3, found:	386.547	424	310.062
Length   20/5, alignment  9/ 3, fail:	334.469	373.547	303.547
Length   20/5, alignment  9/ 9, found:	378.422	402.828	310.875
Length   20/5, alignment  9/ 9, fail:	336.922	356.438	307.625
Length   20/5, alignment  9/15, found:	389.812	416.656	311.688
Length   20/5, alignment  9/15, fail:	337.734	375.172	306.797
Length   20/5, alignment 15/ 0, found:	371.094	387.359	279.141
Length   20/5, alignment 15/ 0, fail:	328.781	339.359	271.797
Length   20/5, alignment 15/ 3, found:	367.031	396.312	278.312
Length   20/5, alignment 15/ 3, fail:	323.891	354.828	279.141
Length   20/5, alignment 15/ 9, found:	368.641	378.422	280.766
Length   20/5, alignment 15/ 9, fail:	327.969	339.344	279.953
Length   20/5, alignment 15/15, found:	371.094	397.141	279.953
Length   20/5, alignment 15/15, fail:	328.781	354.812	271
Length   25/5, alignment  0/ 0, found:	386.562	395.516	349.938
Length   25/5, alignment  0/ 0, fail:	393.062	403.641	393.891
Length   25/5, alignment  0/ 3, found:	384.922	410.969	358.078
Length   25/5, alignment  0/ 3, fail:	393.875	418.297	401.203
Length   25/5, alignment  0/ 9, found:	384.109	398.766	354.828
Length   25/5, alignment  0/ 9, fail:	392.25	402.016	389.812
Length   25/5, alignment  0/15, found:	384.922	421.562	349.125
Length   25/5, alignment  0/15, fail:	393.062	427.25	385.75
Length   25/5, alignment  3/ 0, found:	358.078	378.422	343.422
Length   25/5, alignment  3/ 0, fail:	366.203	388.172	384.109
Length   25/5, alignment  3/ 3, found:	358.891	387.375	346.688
Length   25/5, alignment  3/ 3, fail:	364.578	395.516	582.672
Length   25/5, alignment  3/ 9, found:	365.391	376.781	342.609
Length   25/5, alignment  3/ 9, fail:	371.094	388.188	384.125
Length   25/5, alignment  3/15, found:	355.625	389.812	345.859
Length   25/5, alignment  3/15, fail:	360.516	397.141	384.109
Length   25/5, alignment  9/ 0, found:	379.234	398.766	347.5
Length   25/5, alignment  9/ 0, fail:	387.375	408.531	384.109
Length   25/5, alignment  9/ 3, found:	378.406	413.406	348.297
Length   25/5, alignment  9/ 3, fail:	389.812	420.734	395.516
Length   25/5, alignment  9/ 9, found:	381.672	393.062	356.438
Length   25/5, alignment  9/ 9, fail:	388.188	399.578	394.703
Length   25/5, alignment  9/15, found:	377.609	410.969	356.438
Length   25/5, alignment  9/15, fail:	387.359	415.859	388.984
Length   25/5, alignment 15/ 0, found:	366.219	382.484	319.016
