                                	wcscspn	simple_wcscspn	stupid_wcscspn
Length   15, alignment  0, rej len  6:	664.875	556.641	728.344
Length   16, alignment  0, rej len  6:	700.688	585.938	770.672
Length   17, alignment  0, rej len  6:	730.797	612.797	760.078
Length   18, alignment  0, rej len  6:	779.625	650.234	835.766
Length   19, alignment  0, rej len  6:	822.75	687.672	887.859
Length   20, alignment  0, rej len  6:	856.938	711.266	935.062
Length   21, alignment  0, rej len  6:	904.938	758.453	972.5
Length   22, alignment  0, rej len  6:	934.25	779.625	997.719
Length   23, alignment  0, rej len  6:	986.328	829.266	1044.92
Length   24, alignment  0, rej len  6:	1027.02	860.188	1102.7
Length   25, alignment  0, rej len  6:	1053.88	878.094	1100.25
Length   26, alignment  0, rej len  6:	1097.83	917.969	1148.27
Length   27, alignment  0, rej len  6:	1133.62	945.641	1193.86
Length   28, alignment  0, rej len  6:	1165.38	975.75	1195.47
Length   29, alignment  0, rej len  6:	1215.83	1016.44	1271.16
Length   30, alignment  0, rej len  6:	1262.2	1058.75	1319.98
Length   31, alignment  0, rej len  6:	1305.33	1092.94	1366.38
Length   32, alignment  0, rej len  6:	1324.06	1110.03	1355.8
Length   33, alignment  0, rej len  6:	1387.53	1168.61	1455.08
Length   34, alignment  0, rej len  6:	1428.22	1202.8	1482.75
Length   35, alignment  0, rej len  6:	1465.66	1236.98	1528.31
Length   36, alignment  0, rej len  6:	1499.84	1258.14	1564.94
Length   37, alignment  0, rej len  6:	1521.81	1273.59	1542.16
Length   38, alignment  0, rej len  6:	1574.7	1318.36	1627.61
Length   39, alignment  0, rej len  6:	1613.77	1350.91	1668.3
Length   40, alignment  0, rej len  6:	1652.02	1381.03	1704.92
Length   41, alignment  0, rej len  6:	1695.16	1419.28	1731.77
Length   42, alignment  0, rej len  6:	1741.53	1463.22	1780.59
Length   43, alignment  0, rej len  6:	1774.91	1483.56	1818.03
Length   44, alignment  0, rej len  6:	1799.31	1505.53	1821.3
Length   45, alignment  0, rej len  6:	1856.28	1721.19	1914.88
Length   46, alignment  0, rej len  6:	1903.48	1597.48	1958.02
Length   47, alignment  0, rej len  6:	1930.34	1614.59	1976.72
Length   48, alignment  0, rej len  6:	1959.64	1644.69	1972.66
Length   49, alignment  0, rej len  6:	2010.09	1683.77	2054.84
Length   50, alignment  0, rej len  6:	2044.27	1708.17	2084.95
Length   51, alignment  0, rej len  6:	2090.67	1748.86	2133.8
Length   52, alignment  0, rej len  6:	2130.53	1783.05	2189.94
Length   53, alignment  0, rej len  6:	2164.72	1808.27	2189.94
Length   54, alignment  0, rej len  6:	2206.22	1846.52	2240.39
Length   55, alignment  0, rej len  6:	2249.34	1883.95	2291.67
Length   56, alignment  0, rej len  6:	2292.47	1918.95	2347.02
Length   57, alignment  0, rej len  6:	2325.84	1948.25	2363.28
Length   58, alignment  0, rej len  6:	2374.67	1988.94	2436.53
Length   59, alignment  0, rej len  6:	2395.03	2003.58	2403.97
Length   60, alignment  0, rej len  6:	2444.66	2045.91	2490.23
Length   61, alignment  0, rej len  6:	2483.72	2080.08	2507.33
Length   62, alignment  0, rej len  6:	2513.83	2102.86	2545.56
Length   63, alignment  0, rej len  6:	2560.22	2138.67	2592.78
