                    	memrchr	simple_memrchr
Length   27, position    2, alignment  0:	119.625	131.016
Length   28, position   27, alignment  0:	54.5156	42.3125
Length   28, position   27, alignment  0:	54.5156	40.6875
Length   28, position   27, alignment  3:	46.3906	41.5
Length   28, position   27, alignment  3:	44.7656	41.5
Length   28, position    1, alignment  0:	112.297	138.344
Length   28, position    2, alignment  0:	109.062	134.281
Length   29, position   28, alignment  0:	43.9531	41.5156
Length   29, position   28, alignment  0:	45.5781	42.3125
Length   29, position   28, alignment  4:	44.7656	40.6875
Length   29, position   28, alignment  4:	45.5781	41.5
Length   29, position    1, alignment  0:	121.25	141.594
Length   29, position    2, alignment  0:	117.188	139.156
Length   30, position   29, alignment  0:	44.7656	40.7031
Length   30, position   29, alignment  0:	44.7656	40.6875
Length   30, position   29, alignment  5:	45.5781	41.5
Length   30, position   29, alignment  5:	45.5781	41.5
Length   30, position    1, alignment  0:	125.328	144.859
Length   30, position    2, alignment  0:	122.062	140.781
Length   31, position   30, alignment  0:	44.7656	41.5
Length   31, position   30, alignment  0:	44.7656	42.3125
Length   31, position   30, alignment  6:	44.7656	41.5
Length   31, position   30, alignment  6:	45.5781	41.5156
Length   31, position    1, alignment  0:	131.031	148.125
Length   31, position    2, alignment  0:	126.953	144.844
Length   32, position   31, alignment  0:	55.3438	41.5
Length   32, position   31, alignment  0:	54.5312	41.5
Length   32, position   31, alignment  7:	44.7656	40.6875
Length   32, position   31, alignment  7:	44.75	41.5
Length   32, position    1, alignment  0:	118	151.375
Length   32, position    2, alignment  0:	116.375	148.938
