                       	oldstrsep	strsep	simple_strsep
Length   42/7, alignment  9/15, found:	366.219	356.438	882.156
Length   42/7, alignment  9/15, fail:	421.547	409.328	1675.62
Length   42/7, alignment 15/ 0, found:	374.359	364.578	882.156
Length   42/7, alignment 15/ 0, fail:	432.125	419.922	1675.61
Length   42/7, alignment 15/ 3, found:	374.344	364.594	881.344
Length   42/7, alignment 15/ 3, fail:	432.938	419.922	1675.62
Length   42/7, alignment 15/ 9, found:	375.172	364.578	882.984
Length   42/7, alignment 15/ 9, fail:	432.953	419.922	1675.62
Length   42/7, alignment 15/15, found:	375.172	364.594	882.172
Length   42/7, alignment 15/15, fail:	432.125	419.922	1676.44
Length   49/7, alignment  0/ 0, found:	375.156	365.391	996.906
Length   49/7, alignment  0/ 0, fail:	441.078	428.062	1941.73
Length   49/7, alignment  0/ 3, found:	375.156	364.578	997.734
Length   49/7, alignment  0/ 3, fail:	441.891	428.875	1942.55
Length   49/7, alignment  0/ 9, found:	375.156	364.578	996.094
Length   49/7, alignment  0/ 9, fail:	441.078	428.875	1941.73
Length   49/7, alignment  0/15, found:	373.531	364.578	996.906
Length   49/7, alignment  0/15, fail:	441.094	428.875	1942.55
Length   49/7, alignment  3/ 0, found:	374.344	363.781	997.719
Length   49/7, alignment  3/ 0, fail:	450.031	437.016	1942.55
Length   49/7, alignment  3/ 3, found:	375.172	364.594	997.719
Length   49/7, alignment  3/ 3, fail:	451.656	438.641	1941.73
Length   49/7, alignment  3/ 9, found:	375.172	363.766	997.734
Length   49/7, alignment  3/ 9, fail:	452.469	438.641	1943.36
Length   49/7, alignment  3/15, found:	374.344	364.594	997.734
Length   49/7, alignment  3/15, fail:	450.844	437.812	1941.73
Length   49/7, alignment  9/ 0, found:	373.531	364.578	997.734
Length   49/7, alignment  9/ 0, fail:	441.891	429.688	1942.55
Length   49/7, alignment  9/ 3, found:	375.156	365.406	997.734
Length   49/7, alignment  9/ 3, fail:	441.891	428.875	1942.55
Length   49/7, alignment  9/ 9, found:	375.172	363.781	996.906
Length   49/7, alignment  9/ 9, fail:	442.703	429.688	1942.55
Length   49/7, alignment  9/15, found:	375.172	363.766	997.719
Length   49/7, alignment  9/15, fail:	441.078	428.875	1942.53
Length   49/7, alignment 15/ 0, found:	373.531	364.594	998.531
Length   49/7, alignment 15/ 0, fail:	450.859	438.641	1942.53
Length   49/7, alignment 15/ 3, found:	374.344	364.578	997.719
Length   49/7, alignment 15/ 3, fail:	451.656	437.828	1942.55
Length   49/7, alignment 15/ 9, found:	375.156	363.781	997.719
Length   49/7, alignment 15/ 9, fail:	451.672	437.812	1943.36
Length   49/7, alignment 15/15, found:	375.172	364.578	996.906
Length   49/7, alignment 15/15, fail:	451.672	437.812	2129.72
Length   32/8, alignment  0/ 0, found:	362.953	349.922	747.891
Length   32/8, alignment  0/ 0, fail:	399.578	389.812	1401.36
Length   32/8, alignment  0/ 3, found:	360.516	350.75	748.703
Length   32/8, alignment  0/ 3, fail:	398.766	388.984	1401.36
Length   32/8, alignment  0/ 9, found:	361.328	349.938	746.266
Length   32/8, alignment  0/ 9, fail:	398.75	387.375	1401.36
Length   32/8, alignment  0/15, found:	360.516	350.75	747.875
Length   32/8, alignment  0/15, fail:	400.391	389.812	1402.19
Length   32/8, alignment  3/ 0, found:	360.516	349.938	749.5
Length   32/8, alignment  3/ 0, fail:	399.578	387.375	1402.98
Length   32/8, alignment  3/ 3, found:	359.703	350.734	748.688
Length   32/8, alignment  3/ 3, fail:	398.75	388.188	1402.17
Length   32/8, alignment  3/ 9, found:	360.516	349.938	747.891
Length   32/8, alignment  3/ 9, fail:	398.766	388.172	1402.17
Length   32/8, alignment  3/15, found:	360.516	351.562	746.25
Length   32/8, alignment  3/15, fail:	398.766	388.188	1400.55
Length   32/8, alignment  9/ 0, found:	360.516	350.75	747.891
Length   32/8, alignment  9/ 0, fail:	399.578	389	1401.38
Length   32/8, alignment  9/ 3, found:	360.516	351.562	747.891
Length   32/8, alignment  9/ 3, fail:	399.578	389	1401.36
Length   32/8, alignment  9/ 9, found:	360.516	350.734	747.062
Length   32/8, alignment  9/ 9, fail:	398.75	389.812	1403
Length   32/8, alignment  9/15, found:	360.516	350.75	746.25
Length   32/8, alignment  9/15, fail:	401.203	389	1402.19
Length   32/8, alignment 15/ 0, found:	359.688	350.75	747.875
Length   32/8, alignment 15/ 0, fail:	398.75	388.188	1401.36
Length   32/8, alignment 15/ 3, found:	360.516	349.938	747.891
Length   32/8, alignment 15/ 3, fail:	398.766	388.188	1401.38
Length   32/8, alignment 15/ 9, found:	359.703	350.75	747.062
Length   32/8, alignment 15/ 9, fail:	398.766	389	1401.36
Length   32/8, alignment 15/15, found:	360.516	350.75	746.25
Length   32/8, alignment 15/15, fail:	398.766	388.188	1402.19
Length   40/8, alignment  0/ 0, found:	370.281	358.891	912.266
Length   40/8, alignment  0/ 0, fail:	426.438	414.234	1732.59
Length   40/8, alignment  0/ 3, found:	370.281	358.875	913.078
Length   40/8, alignment  0/ 3, fail:	425.625	413.422	1732.59
Length   40/8, alignment  0/ 9, found:	370.281	359.703	912.281
Length   40/8, alignment  0/ 9, fail:	424.812	412.609	1731.77
Length   40/8, alignment  0/15, found:	371.094	358.891	911.453
Length   40/8, alignment  0/15, fail:	428.062	415.031	1731.78
Length   40/8, alignment  3/ 0, found:	369.453	358.891	911.453
Length   40/8, alignment  3/ 0, fail:	425.609	413.406	1732.59
Length   40/8, alignment  3/ 3, found:	369.469	359.703	923.656
Length   40/8, alignment  3/ 3, fail:	425.609	415.031	1731.78
Length   40/8, alignment  3/ 9, found:	370.281	359.703	911.453
Length   40/8, alignment  3/ 9, fail:	426.422	414.234	1731.77
Length   40/8, alignment  3/15, found:	369.469	358.891	912.281
Length   40/8, alignment  3/15, fail:	425.609	414.219	1731.77
Length   40/8, alignment  9/ 0, found:	369.469	357.266	911.453
Length   40/8, alignment  9/ 0, fail:	428.875	412.594	1731.77
Length   40/8, alignment  9/ 3, found:	370.281	358.875	912.281
Length   40/8, alignment  9/ 3, fail:	426.422	412.594	1730.97
Length   40/8, alignment  9/ 9, found:	369.469	360.516	912.266
Length   40/8, alignment  9/ 9, fail:	426.438	412.594	1731.77
Length   40/8, alignment  9/15, found:	369.469	358.891	911.453
Length   40/8, alignment  9/15, fail:	424.797	413.406	1935.22
Length   40/8, alignment 15/ 0, found:	370.281	359.703	913.094
Length   40/8, alignment 15/ 0, fail:	424.812	414.234	1732.59
Length   40/8, alignment 15/ 3, found:	370.281	358.078	913.094
Length   40/8, alignment 15/ 3, fail:	425.625	413.406	1732.58
Length   40/8, alignment 15/ 9, found:	370.266	359.703	913.094
Length   40/8, alignment 15/ 9, fail:	425.625	414.219	1730.97
Length   40/8, alignment 15/15, found:	370.266	359.703	913.094
Length   40/8, alignment 15/15, fail:	424.812	415.047	1732.59
Length   48/8, alignment  0/ 0, found:	379.234	369.469	1076.66
Length   48/8, alignment  0/ 0, fail:	446.766	432.141	2062.17
Length   48/8, alignment  0/ 3, found:	379.234	368.641	1079.09
Length   48/8, alignment  0/ 3, fail:	445.969	433.766	2062.17
Length   48/8, alignment  0/ 9, found:	380.047	368.656	1076.67
Length   48/8, alignment  0/ 9, fail:	445.141	432.125	2062.19
Length   48/8, alignment  0/15, found:	379.234	368.656	1076.66
Length   48/8, alignment  0/15, fail:	445.141	432.953	2062.98
Length   48/8, alignment  3/ 0, found:	377.609	368.656	1077.47
Length   48/8, alignment  3/ 0, fail:	445.969	432.938	2063
Length   48/8, alignment  3/ 3, found:	379.234	369.453	1077.48
Length   48/8, alignment  3/ 3, fail:	446.781	433.766	2062.98
Length   48/8, alignment  3/ 9, found:	377.594	367.828	1078.28
Length   48/8, alignment  3/ 9, fail:	445.156	432.938	2062.98
Length   48/8, alignment  3/15, found:	379.234	367.828	1077.48
Length   48/8, alignment  3/15, fail:	445.969	432.938	2062.19
Length   48/8, alignment  9/ 0, found:	379.234	368.656	1077.47
Length   48/8, alignment  9/ 0, fail:	446.781	433.75	2062.17
Length   48/8, alignment  9/ 3, found:	379.219	368.656	1077.48
Length   48/8, alignment  9/ 3, fail:	445.969	433.75	2062.17
Length   48/8, alignment  9/ 9, found:	379.219	368.656	1075.84
Length   48/8, alignment  9/ 9, fail:	446.766	432.141	2061.36
Length   48/8, alignment  9/15, found:	378.422	368.656	1077.48
Length   48/8, alignment  9/15, fail:	445.953	433.766	2062.98
Length   48/8, alignment 15/ 0, found:	379.234	368.656	1076.66
Length   48/8, alignment 15/ 0, fail:	446.781	432.141	2062.17
Length   48/8, alignment 15/ 3, found:	379.234	367.844	1076.66
Length   48/8, alignment 15/ 3, fail:	445.156	432.125	2062.98
Length   48/8, alignment 15/ 9, found:	378.406	368.656	1076.66
Length   48/8, alignment 15/ 9, fail:	445.156	433.75	2062.17
Length   48/8, alignment 15/15, found:	379.219	368.656	1076.67
Length   48/8, alignment 15/15, fail:	446.781	432.938	2062.17
Length   56/8, alignment  0/ 0, found:	389	377.609	1243.48
Length   56/8, alignment  0/ 0, fail:	463.859	451.656	2390.95
Length   56/8, alignment  0/ 3, found:	388.188	377.609	1242.67
Length   56/8, alignment  0/ 3, fail:	464.672	450.844	2394.2
Length   56/8, alignment  0/ 9, found:	390.625	385.734	1242.67
Length   56/8, alignment  0/ 9, fail:	464.688	450.844	2391.77
Length   56/8, alignment  0/15, found:	389.812	377.609	1241.86
Length   56/8, alignment  0/15, fail:	465.484	453.297	2853.19
Length   56/8, alignment  3/ 0, found:	389.812	378.422	1244.3
Length   56/8, alignment  3/ 0, fail:	464.688	450.844	2393.39
Length   56/8, alignment  3/ 3, found:	397.141	385.75	1243.48
Length   56/8, alignment  3/ 3, fail:	463.875	451.672	2391.77
Length   56/8, alignment  3/ 9, found:	396.312	384.922	1244.3
Length   56/8, alignment  3/ 9, fail:	464.688	451.656	2392.58
Length   56/8, alignment  3/15, found:	396.328	385.734	1241.88
Length   56/8, alignment  3/15, fail:	463.859	451.656	2391.77
Length   56/8, alignment  9/ 0, found:	389.812	379.234	1242.67
Length   56/8, alignment  9/ 0, fail:	465.5	451.656	2392.58
Length   56/8, alignment  9/ 3, found:	389.812	377.609	1242.67
Length   56/8, alignment  9/ 3, fail:	464.688	450.844	2393.39
Length   56/8, alignment  9/ 9, found:	388.188	377.594	1243.48
Length   56/8, alignment  9/ 9, fail:	464.688	451.656	2393.39
Length   56/8, alignment  9/15, found:	395.5	385.734	1242.67
Length   56/8, alignment  9/15, fail:	464.672	450.859	2392.58
Length   56/8, alignment 15/ 0, found:	397.141	384.922	1243.5
Length   56/8, alignment 15/ 0, fail:	463.062	451.672	2392.58
Length   56/8, alignment 15/ 3, found:	397.125	387.359	1241.86
Length   56/8, alignment 15/ 3, fail:	463.859	451.656	2392.58
Length   56/8, alignment 15/ 9, found:	396.328	386.562	1241.05
Length   56/8, alignment 15/ 9, fail:	463.047	453.281	2394.2
Length   56/8, alignment 15/15, found:	390.625	378.406	1243.48
Length   56/8, alignment 15/15, fail:	463.875	450.859	2393.39
Length   36/9, alignment  0/ 0, found:	372.719	361.328	894.359
Length   36/9, alignment  0/ 0, fail:	421.547	409.344	1693.52
Length   36/9, alignment  0/ 3, found:	371.094	362.141	894.359
Length   36/9, alignment  0/ 3, fail:	419.109	408.516	1693.52
Length   36/9, alignment  0/ 9, found:	371.906	360.516	893.562
Length   36/9, alignment  0/ 9, fail:	418.297	409.344	1692.72
Length   36/9, alignment  0/15, found:	371.094	362.141	905.766
Length   36/9, alignment  0/15, fail:	418.297	408.531	1704.09
Length   36/9, alignment  3/ 0, found:	380.859	369.469	894.359
Length   36/9, alignment  3/ 0, fail:	417.484	409.344	1692.72
Length   36/9, alignment  3/ 3, found:	379.234	371.094	894.375
Length   36/9, alignment  3/ 3, fail:	419.109	409.344	1691.89
Length   36/9, alignment  3/ 9, found:	380.047	369.469	894.375
Length   36/9, alignment  3/ 9, fail:	420.734	408.516	1692.7
Length   36/9, alignment  3/15, found:	380.047	370.281	906.578
Length   36/9, alignment  3/15, fail:	419.922	409.344	1704.92
Length   36/9, alignment  9/ 0, found:	371.094	360.516	894.375
Length   36/9, alignment  9/ 0, fail:	419.922	409.344	1693.52
Length   36/9, alignment  9/ 3, found:	372.719	360.516	893.547
Length   36/9, alignment  9/ 3, fail:	419.109	409.344	1691.09
Length   36/9, alignment  9/ 9, found:	372.734	360.516	893.562
Length   36/9, alignment  9/ 9, fail:	419.109	407.719	1691.89
Length   36/9, alignment  9/15, found:	370.281	362.141	904.953
Length   36/9, alignment  9/15, fail:	419.922	545.234	1704.11
Length   36/9, alignment 15/ 0, found:	380.859	370.281	893.562
Length   36/9, alignment 15/ 0, fail:	420.734	410.156	1694.34
Length   36/9, alignment 15/ 3, found:	380.047	371.094	893.562
Length   36/9, alignment 15/ 3, fail:	419.922	410.156	1691.08
Length   36/9, alignment 15/ 9, found:	380.859	370.281	894.375
Length   36/9, alignment 15/ 9, fail:	419.922	409.328	1692.72
Length   36/9, alignment 15/15, found:	379.234	371.094	905.766
Length   36/9, alignment 15/15, fail:	420.75	409.344	1704.92
Length   45/9, alignment  0/ 0, found:	381.672	371.906	1073.41
Length   45/9, alignment  0/ 0, fail:	447.594	434.562	2093.91
Length   45/9, alignment  0/ 3, found:	381.672	370.281	1075.03
Length   45/9, alignment  0/ 3, fail:	447.594	436.203	2095.53
Length   45/9, alignment  0/ 9, found:	380.859	370.281	1074.22
Length   45/9, alignment  0/ 9, fail:	447.594	434.578	2095.55
Length   45/9, alignment  0/15, found:	380.047	371.094	1084.8
Length   45/9, alignment  0/15, fail:	452.469	435.375	2106.12
Length   45/9, alignment  3/ 0, found:	391.438	380.031	1075.86
Length   45/9, alignment  3/ 0, fail:	458.172	444.344	2095.55
Length   45/9, alignment  3/ 3, found:	390.625	379.234	1074.22
Length   45/9, alignment  3/ 3, fail:	456.547	444.328	2097.17
Length   45/9, alignment  3/ 9, found:	389.812	379.234	1075.03
Length   45/9, alignment  3/ 9, fail:	455.734	443.531	2097.17
Length   45/9, alignment  3/15, found:	390.625	379.234	1084.8
Length   45/9, alignment  3/15, fail:	457.359	444.328	2105.31
Length   45/9, alignment  9/ 0, found:	380.859	371.094	1072.59
Length   45/9, alignment  9/ 0, fail:	448.406	434.578	2097.98
Length   45/9, alignment  9/ 3, found:	380.859	369.469	1074.22
Length   45/9, alignment  9/ 3, fail:	447.594	436.203	2093.92
Length   45/9, alignment  9/ 9, found:	380.859	370.281	1071.78
Length   45/9, alignment  9/ 9, fail:	446.781	435.375	2096.36
Length   45/9, alignment  9/15, found:	381.672	369.469	1086.44
Length   45/9, alignment  9/15, fail:	447.594	435.375	2106.12
Length   45/9, alignment 15/ 0, found:	389.812	379.234	1075.03
Length   45/9, alignment 15/ 0, fail:	457.359	444.328	2094.73
Length   45/9, alignment 15/ 3, found:	390.625	380.047	1073.41
Length   45/9, alignment 15/ 3, fail:	456.547	444.344	2093.92
Length   45/9, alignment 15/ 9, found:	390.625	378.406	1072.59
Length   45/9, alignment 15/ 9, fail:	456.547	444.328	2094.73
Length   45/9, alignment 15/15, found:	389.812	379.219	1083.98
Length   45/9, alignment 15/15, fail:	456.531	443.516	2105.31
Length   54/9, alignment  0/ 0, found:	389.797	380.047	1296.39
Length   54/9, alignment  0/ 0, fail:	467.109	452.469	2496.73
Length   54/9, alignment  0/ 3, found:	388.188	379.234	1295.58
Length   54/9, alignment  0/ 3, fail:	466.312	454.922	2496.75
Length   54/9, alignment  0/ 9, found:	390.625	380.047	1295.58
Length   54/9, alignment  0/ 9, fail:	466.297	454.094	2495.12
Length   54/9, alignment  0/15, found:	389.812	380.859	1308.59
Length   54/9, alignment  0/15, fail:	566.406	454.922	2508.95
Length   54/9, alignment  3/ 0, found:	401.203	389	1298.83
Length   54/9, alignment  3/ 0, fail:	475.25	463.062	2495.94
Length   54/9, alignment  3/ 3, found:	406.094	389	1295.58
Length   54/9, alignment  3/ 3, fail:	474.438	462.25	2495.94
Length   54/9, alignment  3/ 9, found:	406.078	389.812	1295.56
Length   54/9, alignment  3/ 9, fail:	476.078	463.875	2495.94
Length   54/9, alignment  3/15, found:	406.094	388.188	1307.77
Length   54/9, alignment  3/15, fail:	475.266	463.062	2508.14
Length   54/9, alignment  9/ 0, found:	406.094	387.375	1295.58
Length   54/9, alignment  9/ 0, fail:	465.5	454.109	2496.75
Length   54/9, alignment  9/ 3, found:	407.719	388.188	1296.39
Length   54/9, alignment  9/ 3, fail:	467.125	454.109	2500
Length   54/9, alignment  9/ 9, found:	406.906	395.516	1295.58
Length   54/9, alignment  9/ 9, fail:	465.484	453.297	2495.94
Length   54/9, alignment  9/15, found:	406.906	394.703	1308.59
Length   54/9, alignment  9/15, fail:	466.312	454.109	2506.52
Length   54/9, alignment 15/ 0, found:	400.391	388.188	1297.2
Length   54/9, alignment 15/ 0, fail:	475.266	463.062	2495.94
Length   54/9, alignment 15/ 3, found:	406.094	388.188	1295.56
Length   54/9, alignment 15/ 3, fail:	476.891	463.875	2497.55
Length   54/9, alignment 15/ 9, found:	406.891	395.5	1294.75
Length   54/9, alignment 15/ 9, fail:	474.438	463.875	2495.94
Length   54/9, alignment 15/15, found:	398.766	389.812	1307.78
Length   54/9, alignment 15/15, fail:	475.25	463.047	2508.95
Length   63/9, alignment  0/ 0, found:	406.078	390.625	1486
Length   63/9, alignment  0/ 0, fail:	484.219	472.016	2898.77
Length   63/9, alignment  0/ 3, found:	406.094	389	1473.8
Length   63/9, alignment  0/ 3, fail:	484.219	470.375	2899.58
Length   63/9, alignment  0/ 9, found:	399.578	388.172	1473.8
Length   63/9, alignment  0/ 9, fail:	483.391	471.188	2899.58
Length   63/9, alignment  0/15, found:	399.578	388.188	1491.7
Length   63/9, alignment  0/15, fail:	485.031	472	2910.16
Length   63/9, alignment  3/ 0, found:	409.344	397.125	1485.19
Length   63/9, alignment  3/ 0, fail:	493.969	480.953	2898.77
Length   63/9, alignment  3/ 3, found:	410.156	397.953	1473.8
Length   63/9, alignment  3/ 3, fail:	493.984	480.141	2898.77
Length   63/9, alignment  3/ 9, found:	420.734	397.938	1473.8
Length   63/9, alignment  3/ 9, fail:	493.984	480.141	2898.77
Length   63/9, alignment  3/15, found:	419.922	410.156	1492.52
Length   63/9, alignment  3/15, fail:	493.984	480.953	2910.97
Length   63/9, alignment  9/ 0, found:	420.734	397.938	1774.09
Length   63/9, alignment  9/ 0, fail:	498.859	480.953	2899.58
Length   63/9, alignment  9/ 3, found:	407.703	397.938	1473.8
Length   63/9, alignment  9/ 3, fail:	493.984	481.766	2898.75
Length   63/9, alignment  9/ 9, found:	410.156	397.141	1475.42
Length   63/9, alignment  9/ 9, fail:	493.172	481.766	2898.77
Length   63/9, alignment  9/15, found:	409.344	398.766	1486
Length   63/9, alignment  9/15, fail:	492.359	480.969	2910.16
Length   63/9, alignment 15/ 0, found:	421.547	410.156	1473.8
Length   63/9, alignment 15/ 0, fail:	493.984	480.953	2899.58
Length   63/9, alignment 15/ 3, found:	419.922	408.531	1485.19
Length   63/9, alignment 15/ 3, fail:	494.797	481.766	2900.39
Length   63/9, alignment 15/ 9, found:	421.547	410.969	1474.61
Length   63/9, alignment 15/ 9, fail:	493.984	480.969	2898.77
Length   63/9, alignment 15/15, found:	410.156	397.953	1491.7
Length   63/9, alignment 15/15, fail:	493.969	481.781	2910.97
Length   40/10, alignment  0/ 0, found:	387.375	375.969	1062.83
Length   40/10, alignment  0/ 0, fail:	441.078	428.875	2016.61
Length   40/10, alignment  0/ 3, found:	385.75	374.344	1063.64
Length   40/10, alignment  0/ 3, fail:	440.266	428.875	2017.42
Length   40/10, alignment  0/ 9, found:	384.938	374.359	1063.64
Length   40/10, alignment  0/ 9, fail:	439.453	428.062	2015.8
Length   40/10, alignment  0/15, found:	386.562	374.344	1061.19
Length   40/10, alignment  0/15, fail:	441.906	428.875	2016.61
Length   40/10, alignment  3/ 0, found:	385.75	374.359	1062.83
Length   40/10, alignment  3/ 0, fail:	441.906	430.5	2018.22
Length   40/10, alignment  3/ 3, found:	384.938	375.172	1063.64
Length   40/10, alignment  3/ 3, fail:	439.453	428.875	2017.42
Length   40/10, alignment  3/ 9, found:	385.734	375.984	1062.83
Length   40/10, alignment  3/ 9, fail:	441.078	428.047	2016.59
Length   40/10, alignment  3/15, found:	384.922	375.156	1061.2
Length   40/10, alignment  3/15, fail:	439.453	428.062	2014.97
Length   40/10, alignment  9/ 0, found:	385.734	376.781	1060.39
Length   40/10, alignment  9/ 0, fail:	440.266	430.5	2016.61
Length   40/10, alignment  9/ 3, found:	384.938	375.172	1063.64
Length   40/10, alignment  9/ 3, fail:	441.094	429.688	2016.59
Length   40/10, alignment  9/ 9, found:	386.562	375.156	1062.83
Length   40/10, alignment  9/ 9, fail:	443.531	431.312	2015.8
Length   40/10, alignment  9/15, found:	385.75	375.156	1067.72
Length   40/10, alignment  9/15, fail:	439.453	427.25	2015.78
Length   40/10, alignment 15/ 0, found:	386.547	374.344	1063.64
Length   40/10, alignment 15/ 0, fail:	441.891	429.688	2015.78
Length   40/10, alignment 15/ 3, found:	385.734	374.344	1062.02
Length   40/10, alignment 15/ 3, fail:	439.453	428.062	2015.8
Length   40/10, alignment 15/ 9, found:	385.75	375.969	1062.02
Length   40/10, alignment 15/ 9, fail:	646.984	432.938	2018.23
Length   40/10, alignment 15/15, found:	386.562	374.359	1067.7
Length   40/10, alignment 15/15, fail:	440.266	428.875	2016.61
Length   50/10, alignment  0/ 0, found:	396.328	384.125	1301.27
Length   50/10, alignment  0/ 0, fail:	460.625	449.219	2497.55
Length   50/10, alignment  0/ 3, found:	395.5	383.312	1301.27
Length   50/10, alignment  0/ 3, fail:	462.234	448.406	2496.75
Length   50/10, alignment  0/ 9, found:	394.703	383.297	1301.28
Length   50/10, alignment  0/ 9, fail:	462.234	448.391	2496.75
Length   50/10, alignment  0/15, found:	395.516	383.297	1302.08
Length   50/10, alignment  0/15, fail:	461.422	448.406	2495.12
Length   50/10, alignment  3/ 0, found:	411.781	393.062	1301.28
Length   50/10, alignment  3/ 0, fail:	470.375	456.547	2496.75
Length   50/10, alignment  3/ 3, found:	410.984	399.578	1301.27
Length   50/10, alignment  3/ 3, fail:	470.375	457.359	2496.75
Length   50/10, alignment  3/ 9, found:	404.453	394.703	1301.27
Length   50/10, alignment  3/ 9, fail:	471.203	458.984	2495.94
Length   50/10, alignment  3/15, found:	410.969	393.062	1299.64
Length   50/10, alignment  3/15, fail:	470.375	456.547	2496.73
Length   50/10, alignment  9/ 0, found:	394.688	383.297	1302.91
Length   50/10, alignment  9/ 0, fail:	461.438	448.406	2495.11
Length   50/10, alignment  9/ 3, found:	394.688	384.109	1302.09
Length   50/10, alignment  9/ 3, fail:	460.609	447.594	2496.75
Length   50/10, alignment  9/ 9, found:	395.516	384.922	1303.7
Length   50/10, alignment  9/ 9, fail:	460.609	448.406	2495.94
Length   50/10, alignment  9/15, found:	394.688	384.109	1300.45
Length   50/10, alignment  9/15, fail:	461.438	448.406	2495.12
Length   50/10, alignment 15/ 0, found:	412.594	393.875	1302.09
Length   50/10, alignment 15/ 0, fail:	470.391	457.359	2496.75
Length   50/10, alignment 15/ 3, found:	405.266	393.062	1302.08
Length   50/10, alignment 15/ 3, fail:	471.188	458.172	2496.75
Length   50/10, alignment 15/ 9, found:	410.969	393.891	1302.08
Length   50/10, alignment 15/ 9, fail:	470.375	458.172	2497.56
Length   50/10, alignment 15/15, found:	411.781	399.562	1301.27
Length   50/10, alignment 15/15, fail:	469.562	458.172	2495.94
Length   60/10, alignment  0/ 0, found:	405.281	393.875	1548.67
Length   60/10, alignment  0/ 0, fail:	489.094	476.891	2976.89
Length   60/10, alignment  0/ 3, found:	406.891	392.25	1542.16
Length   60/10, alignment  0/ 3, fail:	489.922	476.078	2976.08
Length   60/10, alignment  0/ 9, found:	413.406	402.016	1548.67
Length   60/10, alignment  0/ 9, fail:	490.734	476.078	2976.89
Length   60/10, alignment  0/15, found:	411.781	399.578	1541.33
Length   60/10, alignment  0/15, fail:	487.469	476.891	3162.44
Length   60/10, alignment  3/ 0, found:	425.625	413.406	1547.84
Length   60/10, alignment  3/ 0, fail:	489.094	475.266	3040.38
Length   60/10, alignment  3/ 3, found:	426.422	415.031	1550.3
Length   60/10, alignment  3/ 3, fail:	489.109	476.078	2977.7
Length   60/10, alignment  3/ 9, found:	425.609	402.828	1548.67
Length   60/10, alignment  3/ 9, fail:	488.281	475.25	2977.7
Length   60/10, alignment  3/15, found:	413.406	402.016	1543.78
Length   60/10, alignment  3/15, fail:	488.281	476.062	2976.08
Length   60/10, alignment  9/ 0, found:	413.406	399.578	1542.16
Length   60/10, alignment  9/ 0, fail:	489.906	476.078	2977.7
Length   60/10, alignment  9/ 3, found:	410.984	393.062	1549.47
Length   60/10, alignment  9/ 3, fail:	490.719	475.266	2979.33
Length   60/10, alignment  9/ 9, found:	405.266	393.078	1548.67
Length   60/10, alignment  9/ 9, fail:	488.281	476.078	2976.89
Length   60/10, alignment  9/15, found:	403.641	392.25	1540.53
Length   60/10, alignment  9/15, fail:	489.094	476.062	2976.88
Length   60/10, alignment 15/ 0, found:	424.797	402.828	1548.66
Length   60/10, alignment 15/ 0, fail:	488.281	476.078	2976.89
Length   60/10, alignment 15/ 3, found:	424.797	402.031	1549.47
Length   60/10, alignment 15/ 3, fail:	488.281	476.891	2978.52
Length   60/10, alignment 15/ 9, found:	424.812	402.828	1549.48
Length   60/10, alignment 15/ 9, fail:	489.094	476.062	2977.7
Length   60/10, alignment 15/15, found:	424.812	402.016	1542.97
Length   60/10, alignment 15/15, fail:	488.281	476.062	2976.08
Length   70/10, alignment  0/ 0, found:	425.625	414.219	1781.41
Length   70/10, alignment  0/ 0, fail:	507.812	495.609	3455.41
Length   70/10, alignment  0/ 3, found:	417.469	402.031	1780.59
Length   70/10, alignment  0/ 3, fail:	507.812	494.797	3455.41
Length   70/10, alignment  0/ 9, found:	413.406	401.219	1781.41
Length   70/10, alignment  0/ 9, fail:	507	494.781	3454.59
Length   70/10, alignment  0/15, found:	413.406	402.828	1781.41
Length   70/10, alignment  0/15, fail:	506.188	494.797	3457.86
Length   70/10, alignment  3/ 0, found:	433.75	412.609	1783.03
Length   70/10, alignment  3/ 0, fail:	515.938	504.547	3454.58
Length   70/10, alignment  3/ 3, found:	421.547	411.797	1781.41
Length   70/10, alignment  3/ 3, fail:	516.766	503.75	3453.77
Length   70/10, alignment  3/ 9, found:	422.359	410.156	1783.05
Length   70/10, alignment  3/ 9, fail:	516.766	504.547	3453.78
Length   70/10, alignment  3/15, found:	432.938	421.547	1783.84
Length   70/10, alignment  3/15, fail:	516.766	503.75	3457.03
Length   70/10, alignment  9/ 0, found:	422.375	411.781	1782.23
Length   70/10, alignment  9/ 0, fail:	506.188	494.781	3453.77
Length   70/10, alignment  9/ 3, found:	422.359	411.781	1780.59
Length   70/10, alignment  9/ 3, fail:	507	494.797	3454.59
Length   70/10, alignment  9/ 9, found:	423.984	411.781	1780.59
Length   70/10, alignment  9/ 9, fail:	506.984	493.984	3453.78
Length   70/10, alignment  9/15, found:	433.766	421.547	1782.22
Length   70/10, alignment  9/15, fail:	506.984	495.609	3457.84
Length   70/10, alignment 15/ 0, found:	424.812	412.594	1781.42
Length   70/10, alignment 15/ 0, fail:	515.141	503.75	3456.22
Length   70/10, alignment 15/ 3, found:	433.75	410.969	1781.42
Length   70/10, alignment 15/ 3, fail:	516.766	503.75	3455.41
Length   70/10, alignment 15/ 9, found:	426.438	412.594	1782.22
Length   70/10, alignment 15/ 9, fail:	515.953	503.734	3456.2
Length   70/10, alignment 15/15, found:	432.953	422.359	1781.41
Length   70/10, alignment 15/15, fail:	515.938	503.75	3457.03
