                       	wcsncmp	simple_wcsncmp	stupid_wcsncmp
Length    8/   6, alignment  6/ 6:	89.5156	91.9531	153.797
Length    8/   6, alignment  6/ 4:	83.8125	88.7031	149.75
Length    8/   6, alignment 12/ 6:	85.4531	90.3438	150.547
Length    8/   6, alignment  6/ 2:	90.3281	91.9531	152.188
Length    8/   6, alignment  0/ 0:	83	87.0781	151.359
Length    8/   6, alignment  0/ 0:	86.25	86.2656	152.188
Length    8/   6, alignment  0/ 0:	84.6406	88.7031	149.75
Length    8/   6, alignment  6/ 6:	85.4375	91.9531	152.188
Length    8/   6, alignment  6/ 6:	86.25	94.4062	151.375
Length    8/   6, alignment  6/ 6:	86.2656	92.7656	152.172
Length    8/   6, alignment  6/ 4:	84.6406	88.7031	148.922
Length    8/   6, alignment 12/ 6:	85.4531	91.1406	150.562
Length    8/   6, alignment  6/ 2:	90.3281	91.9531	153
Length    8/   7, alignment  0/ 0:	88.7031	85.4531	166.016
Length    8/   7, alignment  0/ 0:	92.7656	93.5781	166.016
Length    8/   7, alignment  0/ 0:	90.3281	95.2031	165.188
Length    8/   7, alignment  7/ 7:	93.5938	100.094	177.406
Length    8/   7, alignment  7/ 7:	93.5938	101.719	175.781
Length    8/   7, alignment  7/ 7:	94.4062	99.2969	177.422
Length    8/   7, alignment  7/ 6:	93.5938	100.094	176.594
Length    8/   7, alignment 14/ 7:	94.4062	103.344	174.953
Length    8/   7, alignment  7/ 5:	94.3906	101.719	178.219
Length    8/   7, alignment  0/ 0:	88.7031	83.8281	165.203
Length    8/   7, alignment  0/ 0:	92.7812	94.3906	165.203
Length    8/   7, alignment  0/ 0:	90.3438	95.2188	164.391
Length    8/   7, alignment  7/ 7:	93.5781	100.094	177.406
Length    8/   7, alignment  7/ 7:	93.5938	102.531	174.969
Length    8/   7, alignment  7/ 7:	95.2031	100.922	177.406
Length    8/   7, alignment  7/ 6:	92.7812	99.2812	177.422
Length    8/   7, alignment 14/ 7:	92.7656	103.359	177.406
Length    8/   7, alignment  7/ 5:	94.4062	100.906	178.234
Length    8/   8, alignment  0/ 0:	102.547	100.109	188.797
Length    8/   8, alignment  0/ 0:	91.1562	100.094	189.625
Length    8/   8, alignment  0/ 0:	91.1406	101.734	187.984
Length    8/   8, alignment  8/ 0:	103.359	100.906	187.172
Length    8/   8, alignment  8/ 0:	91.9531	101.719	188
Length    8/   8, alignment  8/ 0:	88.7031	100.906	187.984
Length    8/   8, alignment  8/ 0:	102.547	100.094	187.984
Length    8/   8, alignment 16/ 0:	91.9531	101.719	188
Length    8/   8, alignment  8/ 0:	89.5312	100.109	188.797
Length    8/   8, alignment  0/ 0:	104.156	100.094	188.797
Length    8/   8, alignment  0/ 0:	89.5312	100.922	188.797
Length    8/   8, alignment  0/ 0:	92.7812	101.719	187.188
Length    8/   8, alignment  8/ 0:	103.359	101.734	188
Length    8/   8, alignment  8/ 0:	93.5938	104.172	188
Length    8/   8, alignment  8/ 0:	89.5156	100.094	189.625
Length    8/   8, alignment  8/ 0:	103.344	100.094	188.797
Length    8/   8, alignment 16/ 0:	91.9688	102.531	187.172
Length    8/   8, alignment  8/ 0:	89.5312	100.922	189.609
Length    8/   9, alignment  0/ 0:	113.938	107.422	201.828
Length    8/   9, alignment  0/ 0:	112.312	106.609	202.641
Length    8/   9, alignment  0/ 0:	111.484	108.234	200.188
Length    8/   9, alignment  9/ 1:	120.438	114.75	212.406
Length    8/   9, alignment  9/ 1:	117.188	117.188	213.219
Length    8/   9, alignment  9/ 1:	119.625	113.125	217.281
Length    8/   9, alignment  9/ 2:	118.812	113.125	212.391
Length    8/   9, alignment 18/ 1:	117.188	116.375	214.031
Length    8/   9, alignment  9/ 3:	118.812	114.75	216.469
Length    8/   9, alignment  0/ 0:	112.312	105.797	201.828
Length    8/   9, alignment  0/ 0:	112.312	106.609	203.453
Length    8/   9, alignment  0/ 0:	109.875	108.234	201.016
Length    8/   9, alignment  9/ 1:	119.625	113.938	212.406
Length    8/   9, alignment  9/ 1:	117.188	116.375	212.406
Length    8/   9, alignment  9/ 1:	119.641	113.938	325.516
Length    8/   9, alignment  9/ 2:	122.078	114.75	213.219
Length    8/   9, alignment 18/ 1:	228.672	117.188	388.172
Length    8/   9, alignment  9/ 3:	112.312	113.938	216.469
Length    8/  10, alignment  0/ 0:	103.344	106.609	202.641
Length    8/  10, alignment  0/ 0:	103.359	107.422	209.953
Length    8/  10, alignment  0/ 0:	100.906	108.234	209.156
Length    8/  10, alignment 10/ 2:	110.672	114.75	211.594
Length    8/  10, alignment 10/ 2:	109.047	115.547	222.156
Length    8/  10, alignment 10/ 2:	110.672	113.922	222.156
Length    8/  10, alignment 10/ 4:	107.422	109.859	208.328
Length    8/  10, alignment 20/ 2:	104.969	111.484	215.656
Length    8/  10, alignment 10/ 6:	109.047	114.75	222.172
Length    8/  10, alignment  0/ 0:	104.156	106.609	201.828
Length    8/  10, alignment  0/ 0:	103.359	106.609	209.953
Length    8/  10, alignment  0/ 0:	101.734	109.047	209.141
Length    8/  10, alignment 10/ 2:	110.688	113.938	214.844
Length    8/  10, alignment 10/ 2:	108.234	116.375	222.172
Length    8/  10, alignment 10/ 2:	110.672	113.938	222.984
Length    8/  10, alignment 10/ 4:	107.422	109.859	206.719
Length    8/  10, alignment 20/ 2:	104.984	113.125	214.844
Length    8/  10, alignment 10/ 6:	109.875	114.734	220.547
Length    8/  11, alignment  0/ 0:	104.172	107.422	202.641
Length    8/  11, alignment  0/ 0:	103.359	107.422	210.781
Length    8/  11, alignment  0/ 0:	101.719	108.234	206.703
Length    8/  11, alignment 11/ 3:	109.859	113.938	214.031
Length    8/  11, alignment 11/ 3:	108.234	115.562	222.172
Length    8/  11, alignment 11/ 3:	110.672	113.938	222.969
Length    8/  11, alignment 11/ 6:	110.672	114.75	213.219
Length    8/  11, alignment 22/ 3:	108.234	117.188	220.547
Length    8/  11, alignment 11/ 1:	110.672	113.922	222.969
Length    8/  11, alignment  0/ 0:	104.172	107.422	203.453
Length    8/  11, alignment  0/ 0:	104.172	107.422	209.969
Length    8/  11, alignment  0/ 0:	101.719	109.875	208.328
Length    8/  11, alignment 11/ 3:	110.688	112.312	213.219
Length    8/  11, alignment 11/ 3:	108.234	115.562	221.359
Length    8/  11, alignment 11/ 3:	109.859	114.75	223.781
Length    8/  11, alignment 11/ 6:	110.672	113.922	213.203
Length    8/  11, alignment 22/ 3:	108.234	116.375	221.344
Length    8/  11, alignment 11/ 1:	110.688	114.734	222.984
Length    8/  12, alignment  0/ 0:	108.234	106.609	201.828
Length    8/  12, alignment  0/ 0:	105.797	107.422	214.031
Length    8/  12, alignment  0/ 0:	108.234	108.234	210.781
Length    8/  12, alignment 12/ 4:	108.234	107.422	201.828
Length    8/  12, alignment 12/ 4:	109.047	108.234	211.578
Length    8/  12, alignment 12/ 4:	107.422	107.422	214.031
Length    8/  12, alignment 12/ 0:	107.422	106.609	202.625
Length    8/  12, alignment 24/ 4:	108.234	107.422	212.406
Length    8/  12, alignment 12/ 4:	106.609	107.422	214.031
Length    8/  12, alignment  0/ 0:	107.422	106.609	203.453
Length    8/  12, alignment  0/ 0:	105.781	108.234	214.844
Length    8/  12, alignment  0/ 0:	107.422	109.859	211.594
Length    8/  12, alignment 12/ 4:	106.609	107.422	202.641
Length    8/  12, alignment 12/ 4:	108.234	109.047	209.953
Length    8/  12, alignment 12/ 4:	106.609	106.609	212.406
Length    8/  12, alignment 12/ 0:	107.422	107.422	201.812
Length    8/  12, alignment 24/ 4:	107.422	109.859	213.203
Length    8/  12, alignment 12/ 4:	104.984	108.234	214.844
Length    8/  13, alignment  0/ 0:	106.594	106.609	202.625
Length    8/  13, alignment  0/ 0:	106.609	106.609	218.109
Length    8/  13, alignment  0/ 0:	107.422	109.047	214.031
Length    8/  13, alignment 13/ 5:	112.297	116.375	214.016
Length    8/  13, alignment 13/ 5:	104.172	117.188	231.109
Length    8/  13, alignment 13/ 5:	104.172	116.375	234.375
Length    8/  13, alignment 13/ 2:	104.156	113.922	213.219
Length    8/  13, alignment 26/ 5:	105.797	117.188	231.125
Length    8/  13, alignment 13/ 7:	103.359	115.562	232.75
Length    8/  13, alignment  0/ 0:	96.0312	106.609	202.641
Length    8/  13, alignment  0/ 0:	96.8438	108.234	216.469
Length    8/  13, alignment  0/ 0:	99.2812	109.047	215.656
Length    8/  13, alignment 13/ 5:	104.984	115.562	214.031
Length    8/  13, alignment 13/ 5:	104.172	118	231.125
