                                	strspn	simple_strspn	stupid_strspn
Length   15, alignment  0, acc len  6:	310.875	453.281	620.938
Length   16, alignment  0, acc len  6:	319.812	467.938	618.484
Length   17, alignment  0, acc len  6:	319	471.203	629.875
Length   18, alignment  0, acc len  6:	319.828	547.688	721.031
Length   19, alignment  0, acc len  6:	319.016	497.234	686.031
Length   20, alignment  0, acc len  6:	328.766	558.266	777.188
Length   21, alignment  0, acc len  6:	327.969	605.469	785.328
Length   22, alignment  0, acc len  6:	327.156	527.344	733.234
Length   23, alignment  0, acc len  6:	327.953	535.484	792.641
Length   24, alignment  0, acc len  6:	337.734	630.688	861.828
Length   25, alignment  0, acc len  6:	336.906	638.016	843.094
Length   26, alignment  0, acc len  6:	336.922	749.516	965.172
Length   27, alignment  0, acc len  6:	336.906	752.766	957.031
Length   28, alignment  0, acc len  6:	355.641	780.438	1015.62
Length   29, alignment  0, acc len  6:	345.875	763.344	942.391
Length   30, alignment  0, acc len  6:	346.672	795.906	1034.34
Length   31, alignment  0, acc len  6:	345.859	861	1061.2
Length   32, alignment  0, acc len  6:	355.625	812.172	1095.38
Length   33, alignment  0, acc len  6:	355.641	808.922	1096.2
Length   34, alignment  0, acc len  6:	355.641	891.109	1129.55
Length   35, alignment  0, acc len  6:	354.812	930.172	1192.22
Length   36, alignment  0, acc len  6:	376.797	903.312	1170.25
Length   37, alignment  0, acc len  6:	375.969	1000.17	1227.2
Length   38, alignment  0, acc len  6:	365.406	973.312	1254.06
Length   39, alignment  0, acc len  6:	364.594	961.109	1228.03
Length   40, alignment  0, acc len  6:	385.75	957.844	1234.53
Length   41, alignment  0, acc len  6:	385.734	1075.84	1350.92
Length   42, alignment  0, acc len  6:	384.922	1110.03	1341.16
Length   43, alignment  0, acc len  6:	383.297	1114.91	1366.38
Length   44, alignment  0, acc len  6:	396.328	1118.98	1407.06
Length   45, alignment  0, acc len  6:	395.516	1101.08	1384.28
Length   46, alignment  0, acc len  6:	395.5	1162.11	1455.89
Length   47, alignment  0, acc len  6:	395.516	1201.98	1507.17
Length   48, alignment  0, acc len  6:	403.641	1243.5	1520.19
Length   49, alignment  0, acc len  6:	405.266	1381.02	1524.25
Length   50, alignment  0, acc len  6:	404.453	1255.7	1603.19
Length   51, alignment  0, acc len  6:	404.453	1345.22	1586.09
Length   52, alignment  0, acc len  6:	412.594	1264.64	1599.94
Length   53, alignment  0, acc len  6:	414.234	1374.5	1715.5
Length   54, alignment  0, acc len  6:	414.219	1289.06	1704.09
Length   55, alignment  0, acc len  6:	413.406	1388.34	1739.09
Length   56, alignment  0, acc len  6:	421.547	1408.69	1772.45
Length   57, alignment  0, acc len  6:	422.375	1302.08	1695.95
Length   58, alignment  0, acc len  6:	421.547	1499.84	1857.11
Length   59, alignment  0, acc len  6:	423.984	1486.81	1844.08
Length   60, alignment  0, acc len  6:	432.125	1488.45	1845.7
Length   61, alignment  0, acc len  6:	432.125	1516.11	1844.08
Length   62, alignment  0, acc len  6:	432.125	1476.23	1957.19
Length   63, alignment  0, acc len  6:	432.141	1567.38	1974.3
