                                	strpbrk	simple_strpbrk	stupid_strpbrk
Length   14, alignment  0, rej len  6:	324.703	604.641	673.828
Length   15, alignment  0, rej len  6:	325.516	602.219	663.25
Length   16, alignment  0, rej len  6:	333.656	649.422	727.547
Length   17, alignment  0, rej len  6:	343.422	699.062	813.797
Length   18, alignment  0, rej len  6:	334.484	721.031	777.172
Length   19, alignment  0, rej len  6:	334.469	756.844	854.5
Length   20, alignment  0, rej len  6:	344.234	800.781	887.859
Length   21, alignment  0, rej len  6:	353.203	831.703	898.438
Length   22, alignment  0, rej len  6:	343.422	872.406	903.328
Length   23, alignment  0, rej len  6:	352.375	910.641	968.422
Length   24, alignment  0, rej len  6:	352.375	952.953	1009.12
Length   25, alignment  0, rej len  6:	353.203	981.453	1017.25
Length   26, alignment  0, rej len  6:	359.703	1030.27	1097
Length   27, alignment  0, rej len  6:	353.188	1115.73	1121.42
Length   28, alignment  0, rej len  6:	372.719	1092.12	1128.75
Length   29, alignment  0, rej len  6:	371.906	1133.62	1173.5
Length   30, alignment  0, rej len  6:	372.719	1167.81	1203.61
Length   31, alignment  0, rej len  6:	371.906	1209.31	1249.19
Length   32, alignment  0, rej len  6:	387.359	1250.81	1288.25
Length   33, alignment  0, rej len  6:	384.922	1283.36	1318.36
Length   34, alignment  0, rej len  6:	384.922	1327.31	1351.72
Length   35, alignment  0, rej len  6:	385.75	1374.52	1396.48
Length   36, alignment  0, rej len  6:	380.031	1419.27	1453.45
Length   37, alignment  0, rej len  6:	380.047	1442.06	1487.62
Length   38, alignment  0, rej len  6:	380.047	1486.81	1535.66
Length   39, alignment  0, rej len  6:	380.047	1497.39	1542.97
Length   40, alignment  0, rej len  6:	398.766	1536.47	1564.94
Length   41, alignment  0, rej len  6:	400.391	1602.38	1625.17
Length   42, alignment  0, rej len  6:	399.578	1614.58	1621.91
Length   43, alignment  0, rej len  6:	402.016	1653.64	1677.23
Length   44, alignment  0, rej len  6:	422.359	1710.62	1726.08
Length   45, alignment  0, rej len  6:	412.594	1733.41	1757.81
Length   46, alignment  0, rej len  6:	420.734	1760.27	1770.84
