                       	strcasestr	simple_strcasestr	stupid_strcasestr
Length   24/6, alignment  9/ 0, found:	583.484	822.75	907.391
Length   24/6, alignment  9/ 0, fail:	542.812	778.812	963.547
Length   24/6, alignment  9/ 3, found:	585.125	823.578	906.578
Length   24/6, alignment  9/ 3, fail:	534.672	780.438	962.734
Length   24/6, alignment  9/ 9, found:	575.344	822.766	906.578
Length   24/6, alignment  9/ 9, fail:	544.438	777.984	963.531
Length   24/6, alignment  9/15, found:	584.297	831.703	903.312
Length   24/6, alignment  9/15, fail:	543.625	781.25	965.172
Length   24/6, alignment 15/ 0, found:	584.312	822.766	865.891
Length   24/6, alignment 15/ 0, fail:	535.484	787.75	926.109
Length   24/6, alignment 15/ 3, found:	583.484	825.203	866.703
Length   24/6, alignment 15/ 3, fail:	544.438	787.75	925.297
Length   24/6, alignment 15/ 9, found:	584.312	825.188	865.078
Length   24/6, alignment 15/ 9, fail:	543.625	781.25	923.672
Length   24/6, alignment 15/15, found:	583.484	823.578	866.703
Length   24/6, alignment 15/15, fail:	543.625	779.625	926.109
Length   30/6, alignment  0/ 0, found:	633.953	874.016	1127.12
Length   30/6, alignment  0/ 0, fail:	594.078	829.266	1185.7
Length   30/6, alignment  0/ 3, found:	633.141	874.016	1305.33
Length   30/6, alignment  0/ 3, fail:	596.516	839.031	1185.72
Length   30/6, alignment  0/ 9, found:	633.141	872.391	1129.56
Length   30/6, alignment  0/ 9, fail:	594.891	830.891	1185.7
Length   30/6, alignment  0/15, found:	625	872.391	1128.73
Length   30/6, alignment  0/15, fail:	584.312	828.453	1186.53
Length   30/6, alignment  3/ 0, found:	624.188	872.406	1123.86
Length   30/6, alignment  3/ 0, fail:	594.891	829.25	1177.56
Length   30/6, alignment  3/ 3, found:	633.953	880.531	1119.8
Length   30/6, alignment  3/ 3, fail:	594.891	837.391	1183.27
Length   30/6, alignment  3/ 9, found:	633.953	872.406	1125.48
Length   30/6, alignment  3/ 9, fail:	594.891	828.453	1182.45
Length   30/6, alignment  3/15, found:	634.766	881.359	1126.3
Length   30/6, alignment  3/15, fail:	594.078	830.078	1183.28
Length   30/6, alignment  9/ 0, found:	633.953	873.219	1125.5
Length   30/6, alignment  9/ 0, fail:	594.891	839.031	1176.77
Length   30/6, alignment  9/ 3, found:	625.812	872.391	1127.92
Length   30/6, alignment  9/ 3, fail:	586.766	830.078	1183.27
Length   30/6, alignment  9/ 9, found:	633.141	872.406	1127.12
Length   30/6, alignment  9/ 9, fail:	594.062	830.891	1184.89
Length   30/6, alignment  9/15, found:	634.766	872.391	1127.11
Length   30/6, alignment  9/15, fail:	594.875	830.891	1178.39
Length   30/6, alignment 15/ 0, found:	634.766	873.203	1091.31
Length   30/6, alignment 15/ 0, fail:	595.703	828.453	1149.91
Length   30/6, alignment 15/ 3, found:	635.578	872.391	1090.5
Length   30/6, alignment 15/ 3, fail:	594.891	829.266	1149.91
Length   30/6, alignment 15/ 9, found:	633.953	870.766	1090.5
Length   30/6, alignment 15/ 9, fail:	594.891	830.078	1149.91
Length   30/6, alignment 15/15, found:	634.766	870.766	1091.3
Length   30/6, alignment 15/15, fail:	594.078	831.703	1149.91
Length   36/6, alignment  0/ 0, found:	674.641	922.859	1352.55
Length   36/6, alignment  0/ 0, fail:	635.578	878.906	1412.77
Length   36/6, alignment  0/ 3, found:	673.828	922.031	1352.53
Length   36/6, alignment  0/ 3, fail:	634.766	878.094	1413.58
Length   36/6, alignment  0/ 9, found:	673.828	923.672	1353.34
Length   36/6, alignment  0/ 9, fail:	643.719	880.547	1410.31
Length   36/6, alignment  0/15, found:	683.594	921.234	1353.36
Length   36/6, alignment  0/15, fail:	646.156	878.906	1409.52
Length   36/6, alignment  3/ 0, found:	684.406	923.672	1345.22
Length   36/6, alignment  3/ 0, fail:	633.953	880.531	1402.17
Length   36/6, alignment  3/ 3, found:	684.406	922.047	1342.78
Length   36/6, alignment  3/ 3, fail:	643.719	878.906	1402.19
Length   36/6, alignment  3/ 9, found:	684.406	922.031	1346.03
Length   36/6, alignment  3/ 9, fail:	643.719	887.859	1403.81
Length   36/6, alignment  3/15, found:	852.875	924.469	1346.84
Length   36/6, alignment  3/15, fail:	645.344	879.719	1402.17
Length   36/6, alignment  9/ 0, found:	673.828	922.047	1350.09
Length   36/6, alignment  9/ 0, fail:	642.891	881.344	1407.88
Length   36/6, alignment  9/ 3, found:	674.641	921.234	1350.09
Length   36/6, alignment  9/ 3, fail:	644.531	879.719	1407.06
Length   36/6, alignment  9/ 9, found:	674.641	924.484	1350.11
Length   36/6, alignment  9/ 9, fail:	635.578	881.344	1407.88
Length   36/6, alignment  9/15, found:	675.453	923.672	1350.11
Length   36/6, alignment  9/15, fail:	635.578	878.094	1407.06
Length   36/6, alignment 15/ 0, found:	673.828	922.047	1315.92
Length   36/6, alignment 15/ 0, fail:	634.766	879.719	1376.14
Length   36/6, alignment 15/ 3, found:	674.641	922.844	1315.09
Length   36/6, alignment 15/ 3, fail:	644.531	880.531	1376.14
Length   36/6, alignment 15/ 9, found:	674.641	924.484	1324.06
Length   36/6, alignment 15/ 9, fail:	634.766	880.547	1376.95
Length   36/6, alignment 15/15, found:	674.641	923.672	1313.48
Length   36/6, alignment 15/15, fail:	633.953	878.906	1373.69
Length   42/6, alignment  0/ 0, found:	723.469	973.297	1576.33
Length   42/6, alignment  0/ 0, fail:	684.406	930.188	1704.11
Length   42/6, alignment  0/ 3, found:	734.047	971.688	1573.08
Length   42/6, alignment  0/ 3, fail:	694.172	930.984	1712.25
Length   42/6, alignment  0/ 9, found:	723.469	974.938	1577.95
Length   42/6, alignment  0/ 9, fail:	684.406	931.812	1712.23
Length   42/6, alignment  0/15, found:	725.094	974.125	1577.16
Length   42/6, alignment  0/15, fail:	694.984	931	1712.23
Length   42/6, alignment  3/ 0, found:	734.047	971.672	1569.81
Length   42/6, alignment  3/ 0, fail:	694.984	929.359	1705.72
Length   42/6, alignment  3/ 3, found:	722.656	971.688	1567.39
Length   42/6, alignment  3/ 3, fail:	693.359	930.172	1705.73
Length   42/6, alignment  3/ 9, found:	723.469	972.484	1569.83
Length   42/6, alignment  3/ 9, fail:	694.172	938.312	1708.98
Length   42/6, alignment  3/15, found:	725.094	973.312	1569.83
Length   42/6, alignment  3/15, fail:	684.406	929.359	1694.33
Length   42/6, alignment  9/ 0, found:	734.047	972.5	1574.7
Length   42/6, alignment  9/ 0, fail:	683.594	928.547	1703.3
Length   42/6, alignment  9/ 3, found:	724.281	972.5	1572.27
Length   42/6, alignment  9/ 3, fail:	684.406	927.734	1717.12
Length   42/6, alignment  9/ 9, found:	724.281	973.312	1574.7
Length   42/6, alignment  9/ 9, fail:	859.375	939.125	1707.34
Length   42/6, alignment  9/15, found:	725.094	972.5	1575.52
Length   42/6, alignment  9/15, fail:	686.031	931.797	1716.31
Length   42/6, alignment 15/ 0, found:	734.047	973.312	1538.91
Length   42/6, alignment 15/ 0, fail:	685.219	928.547	1660.16
Length   42/6, alignment 15/ 3, found:	723.469	973.297	1538.89
Length   42/6, alignment 15/ 3, fail:	684.406	930.984	1662.61
Length   42/6, alignment 15/ 9, found:	724.281	974.109	1539.7
Length   42/6, alignment 15/ 9, fail:	683.594	929.375	1660.16
Length   42/6, alignment 15/15, found:	734.859	975.75	1539.72
Length   42/6, alignment 15/15, fail:	684.406	929.359	1664.22
Length   48/6, alignment  0/ 0, found:	773.922	1022.95	1801.75
Length   48/6, alignment  0/ 0, fail:	735.672	980.641	1923.83
Length   48/6, alignment  0/ 3, found:	774.75	1024.58	1800.94
Length   48/6, alignment  0/ 3, fail:	734.859	979.812	1936.03
Length   48/6, alignment  0/ 9, found:	774.734	1022.94	1799.31
Length   48/6, alignment  0/ 9, fail:	734.047	978.188	1922.2
Length   48/6, alignment  0/15, found:	783.688	1022.95	1802.58
Length   48/6, alignment  0/15, fail:	734.859	978.188	1935.22
Length   48/6, alignment  3/ 0, found:	774.734	1022.94	1793.62
Length   48/6, alignment  3/ 0, fail:	734.859	979.828	1932.78
Length   48/6, alignment  3/ 3, found:	773.109	1024.58	1795.25
Length   48/6, alignment  3/ 3, fail:	734.047	979	1922.2
Length   48/6, alignment  3/ 9, found:	783.703	1022.95	1793.62
Length   48/6, alignment  3/ 9, fail:	744.625	979	1927.08
Length   48/6, alignment  3/15, found:	774.75	1023.77	1794.42
Length   48/6, alignment  3/15, fail:	734.859	979.828	1927.91
Length   48/6, alignment  9/ 0, found:	774.734	1022.94	1800.12
Length   48/6, alignment  9/ 0, fail:	734.047	979.812	1923.02
Length   48/6, alignment  9/ 3, found:	775.547	1031.09	1798.5
Length   48/6, alignment  9/ 3, fail:	734.047	981.438	1940.09
Length   48/6, alignment  9/ 9, found:	784.516	1022.94	1799.31
Length   48/6, alignment  9/ 9, fail:	734.047	980.625	1923.83
Length   48/6, alignment  9/15, found:	773.922	1031.09	1799.31
Length   48/6, alignment  9/15, fail:	745.438	987.141	1923
Length   48/6, alignment 15/ 0, found:	774.734	1022.12	1896.16
Length   48/6, alignment 15/ 0, fail:	745.438	982.25	1883.12
Length   48/6, alignment 15/ 3, found:	775.562	1022.94	1757.81
Length   48/6, alignment 15/ 3, fail:	744.625	987.953	1883.14
Length   48/6, alignment 15/ 9, found:	775.562	1030.27	1759.44
Length   48/6, alignment 15/ 9, fail:	743.812	978.188	1881.5
Length   48/6, alignment 15/15, found:	773.922	1021.31	1758.62
Length   48/6, alignment 15/15, fail:	744.625	980.625	1882.33
Length   54/6, alignment  0/ 0, found:	826.016	1071.77	2022.3
Length   54/6, alignment  0/ 0, fail:	795.078	1027.84	2191.58
Length   54/6, alignment  0/ 3, found:	824.375	1072.59	2021.48
Length   54/6, alignment  0/ 3, fail:	784.516	1029.47	2195.64
Length   54/6, alignment  0/ 9, found:	824.375	1072.58	2019.05
Length   54/6, alignment  0/ 9, fail:	795.078	1029.45	2174.48
Length   54/6, alignment  0/15, found:	825.203	1071.78	2020.67
Length   54/6, alignment  0/15, fail:	784.5	1030.28	2190.75
Length   54/6, alignment  3/ 0, found:	825.188	1070.97	2019.84
Length   54/6, alignment  3/ 0, fail:	795.078	1036.78	2170.41
Length   54/6, alignment  3/ 3, found:	824.375	1072.59	2014.16
Length   54/6, alignment  3/ 3, fail:	794.281	1030.28	2189.12
Length   54/6, alignment  3/ 9, found:	825.188	1082.34	2016.59
Length   54/6, alignment  3/ 9, fail:	784.5	1030.27	2168.78
Length   54/6, alignment  3/15, found:	822.75	1070.16	2015.78
Length   54/6, alignment  3/15, fail:	787.766	1031.08	2188.31
Length   54/6, alignment  9/ 0, found:	823.562	1074.22	2019.05
Length   54/6, alignment  9/ 0, fail:	785.328	1029.47	2169.61
Length   54/6, alignment  9/ 3, found:	825.188	1072.59	2017.41
Length   54/6, alignment  9/ 3, fail:	783.688	1031.08	2188.31
Length   54/6, alignment  9/ 9, found:	824.375	1073.41	2019.03
Length   54/6, alignment  9/ 9, fail:	784.516	1029.47	2189.94
Length   54/6, alignment  9/15, found:	825.203	1073.41	2015.78
Length   54/6, alignment  9/15, fail:	786.141	1029.45	2170.41
Length   54/6, alignment 15/ 0, found:	834.156	1072.59	2073.56
Length   54/6, alignment 15/ 0, fail:	791.828	1040.03	2198.89
Length   54/6, alignment 15/ 3, found:	834.953	1072.59	2000.33
Length   54/6, alignment 15/ 3, fail:	792.641	1028.64	2186.69
Length   54/6, alignment 15/ 9, found:	834.141	1079.92	1998.69
Length   54/6, alignment 15/ 9, fail:	794.266	1030.28	2195.64
Length   54/6, alignment 15/15, found:	834.141	1072.59	1999.5
Length   54/6, alignment 15/15, fail:	795.078	1029.45	2195.64
Length   60/6, alignment  0/ 0, found:	873.203	1123.05	2246.09
Length   60/6, alignment  0/ 0, fail:	844.719	1079.91	2418.62
Length   60/6, alignment  0/ 3, found:	884.594	1120.61	2246.91
Length   60/6, alignment  0/ 3, fail:	845.547	1079.91	2400.72
Length   60/6, alignment  0/ 9, found:	883.781	1122.23	2246.09
Length   60/6, alignment  0/ 9, fail:	843.906	1078.28	2421.05
Length   60/6, alignment  0/15, found:	883.781	1123.86	2246.09
Length   60/6, alignment  0/15, fail:	844.734	1088.05	2422.69
Length   60/6, alignment  3/ 0, found:	884.609	1123.86	2237.95
Length   60/6, alignment  3/ 0, fail:	835.781	1079.11	2413.73
Length   60/6, alignment  3/ 3, found:	874.828	1123.05	2238.77
Length   60/6, alignment  3/ 3, fail:	834.953	1077.47	2412.11
Length   60/6, alignment  3/ 9, found:	885.422	1123.05	2239.59
Length   60/6, alignment  3/ 9, fail:	844.734	1078.28	2411.3
Length   60/6, alignment  3/15, found:	884.609	1120.61	2237.95
Length   60/6, alignment  3/15, fail:	844.734	1079.09	2412.94
Length   60/6, alignment  9/ 0, found:	884.609	1123.05	2242.02
Length   60/6, alignment  9/ 0, fail:	845.547	1078.28	2396.66
Length   60/6, alignment  9/ 3, found:	883.781	1121.42	2242.84
Length   60/6, alignment  9/ 3, fail:	844.719	1078.3	2397.47
Length   60/6, alignment  9/ 9, found:	883.797	1123.05	2243.66
Length   60/6, alignment  9/ 9, fail:	835.781	1079.09	2417.81
Length   60/6, alignment  9/15, found:	874.016	1125.5	2243.66
Length   60/6, alignment  9/15, fail:	844.719	1079.91	2626.14
Length   60/6, alignment 15/ 0, found:	874.844	1131.98	2224.11
Length   60/6, alignment 15/ 0, fail:	834.141	1080.72	2399.91
Length   60/6, alignment 15/ 3, found:	874.031	1123.05	2223.3
Length   60/6, alignment 15/ 3, fail:	843.922	1079.09	2380.38
Length   60/6, alignment 15/ 9, found:	883.781	1122.23	2207.84
Length   60/6, alignment 15/ 9, fail:	834.156	1077.48	2399.91
Length   60/6, alignment 15/15, found:	874.031	1123.05	2210.3
Length   60/6, alignment 15/15, fail:	834.156	1078.3	2382
Length   66/6, alignment  0/ 0, found:	932.609	1171.88	2469.88
Length   66/6, alignment  0/ 0, fail:	894.375	1128.73	2640.78
Length   66/6, alignment  0/ 3, found:	924.469	1172.69	2467.44
Length   66/6, alignment  0/ 3, fail:	885.422	1131.19	2642.42
Length   66/6, alignment  0/ 9, found:	933.422	1174.31	2468.27
Length   66/6, alignment  0/ 9, fail:	895.172	1140.14	2642.42
Length   66/6, alignment  0/15, found:	933.422	1173.5	2464.2
Length   66/6, alignment  0/15, fail:	894.375	1129.56	2647.31
Length   66/6, alignment  3/ 0, found:	925.281	1171.88	2455.23
Length   66/6, alignment  3/ 0, fail:	884.609	1129.56	2616.38
Length   66/6, alignment  3/ 3, found:	924.469	1171.88	2462.56
Length   66/6, alignment  3/ 3, fail:	894.375	1129.56	2635.91
Length   66/6, alignment  3/ 9, found:	933.438	1174.31	2455.25
Length   66/6, alignment  3/ 9, fail:	896	1129.56	2638.34
Length   66/6, alignment  3/15, found:	934.25	1174.33	2461.75
Length   66/6, alignment  3/15, fail:	894.375	1129.56	2635.91
Length   66/6, alignment  9/ 0, found:	933.438	1180	2468.27
Length   66/6, alignment  9/ 0, fail:	884.609	1132	2640.78
Length   66/6, alignment  9/ 3, found:	934.25	1172.69	2465.81
Length   66/6, alignment  9/ 3, fail:	885.406	1129.56	2622.89
Length   66/6, alignment  9/ 9, found:	924.484	1171.06	2653.8
Length   66/6, alignment  9/ 9, fail:	886.234	1129.56	2642.42
Length   66/6, alignment  9/15, found:	924.469	1172.69	2468.27
Length   66/6, alignment  9/15, fail:	886.234	1129.55	2644.05
Length   66/6, alignment 15/ 0, found:	924.484	1171.88	2449.55
Length   66/6, alignment 15/ 0, fail:	884.594	1131.19	2605.8
Length   66/6, alignment 15/ 3, found:	934.234	1171.88	2429.2
Length   66/6, alignment 15/ 3, fail:	896	1130.36	2604.17
Length   66/6, alignment 15/ 9, found:	925.297	1171.88	2430.81
Length   66/6, alignment 15/ 9, fail:	885.422	1130.36	2606.61
Length   66/6, alignment 15/15, found:	923.656	1172.69	2432.47
Length   66/6, alignment 15/15, fail:	893.547	1130.38	2604.98
Length   72/6, alignment  0/ 0, found:	984.703	1223.14	2694.48
Length   72/6, alignment  0/ 0, fail:	944.812	1180.02	2906.91
Length   72/6, alignment  0/ 3, found:	984.703	1222.33	2693.69
Length   72/6, alignment  0/ 3, fail:	944	1180.02	2906.91
Length   72/6, alignment  0/ 9, found:	975.75	1222.34	2695.31
Length   72/6, alignment  0/ 9, fail:	945.641	1179.2	2907.7
Length   72/6, alignment  0/15, found:	974.109	1222.33	2692.88
Length   72/6, alignment  0/15, fail:	935.875	1178.39	2906.09
Length   72/6, alignment  3/ 0, found:	974.109	1222.33	2687.17
Length   72/6, alignment  3/ 0, fail:	935.047	1180.83	2899.58
Length   72/6, alignment  3/ 3, found:	975.75	1222.33	2687.17
Length   72/6, alignment  3/ 3, fail:	933.438	1181.64	2898.77
Length   72/6, alignment  3/ 9, found:	984.703	1221.52	2686.36
Length   72/6, alignment  3/ 9, fail:	944.828	1180	2897.12
Length   72/6, alignment  3/15, found:	984.703	1222.33	2686.36
Length   72/6, alignment  3/15, fail:	944.812	1188.16	2898.77
Length   72/6, alignment  9/ 0, found:	976.562	1222.33	2691.25
Length   72/6, alignment  9/ 0, fail:	935.875	1188.16	2902.84
Length   72/6, alignment  9/ 3, found:	975.75	1221.52	2691.25
Length   72/6, alignment  9/ 3, fail:	935.047	1180.83	2904.47
Length   72/6, alignment  9/ 9, found:	973.312	1221.53	2691.25
Length   72/6, alignment  9/ 9, fail:	944.828	1179.19	2906.09
Length   72/6, alignment  9/15, found:	983.891	1221.52	2691.25
Length   72/6, alignment  9/15, fail:	944.812	1179.2	2903.64
Length   72/6, alignment 15/ 0, found:	984.703	1221.52	2651.38
Length   72/6, alignment 15/ 0, fail:	944	1179.2	3073.72
Length   72/6, alignment 15/ 3, found:	976.562	1223.14	2651.38
Length   72/6, alignment 15/ 3, fail:	935.875	1180.83	2898.77
Length   72/6, alignment 15/ 9, found:	974.938	1230.47	2670.08
Length   72/6, alignment 15/ 9, fail:	944.812	1179.2	2890.62
Length   72/6, alignment 15/15, found:	983.062	1223.14	2652.19
Length   72/6, alignment 15/15, fail:	934.234	1180.83	2887.38
Length   78/6, alignment  0/ 0, found:	1023.75	1272.78	2913.41
Length   78/6, alignment  0/ 0, fail:	985.516	1230.47	3125.81
Length   78/6, alignment  0/ 3, found:	1024.58	1271.16	2912.59
Length   78/6, alignment  0/ 3, fail:	984.703	1229.66	3129.06
Length   78/6, alignment  0/ 9, found:	1025.39	1271.16	2914.22
Length   78/6, alignment  0/ 9, fail:	983.891	1231.28	3131.5
Length   78/6, alignment  0/15, found:	1025.39	1272.78	2914.22
Length   78/6, alignment  0/15, fail:	983.875	1228.03	3127.45
Length   78/6, alignment  3/ 0, found:	1023.75	1271.97	2911.78
Length   78/6, alignment  3/ 0, fail:	993.656	1230.47	3125
Length   78/6, alignment  3/ 3, found:	1025.39	1282.55	2912.59
Length   78/6, alignment  3/ 3, fail:	996.094	1228.84	3123.38
Length   78/6, alignment  3/ 9, found:	1035.97	1273.59	2909.34
Length   78/6, alignment  3/ 9, fail:	993.656	1229.66	3124.17
Length   78/6, alignment  3/15, found:	1034.34	1272.78	2908.52
Length   78/6, alignment  3/15, fail:	992.844	1228.84	3121.75
Length   78/6, alignment  9/ 0, found:	1034.34	1272.78	2910.97
Length   78/6, alignment  9/ 0, fail:	996.094	1239.41	3125
Length   78/6, alignment  9/ 3, found:	1024.58	1280.12	2912.61
Length   78/6, alignment  9/ 3, fail:	985.516	1229.66	3124.19
Length   78/6, alignment  9/ 9, found:	1023.77	1270.34	2910.97
Length   78/6, alignment  9/ 9, fail:	983.891	1228.84	3125.81
Length   78/6, alignment  9/15, found:	1023.77	1271.17	2910.16
Length   78/6, alignment  9/15, fail:	994.469	1229.66	3124.19
Length   78/6, alignment 15/ 0, found:	1035.16	1272.8	2875.98
Length   78/6, alignment 15/ 0, fail:	994.453	1228.03	3113.61
Length   78/6, alignment 15/ 3, found:	1025.39	1271.97	2875.97
Length   78/6, alignment 15/ 3, fail:	984.703	1228.84	3116.06
Length   78/6, alignment 15/ 9, found:	1034.33	1271.98	2875.17
Length   78/6, alignment 15/ 9, fail:	995.281	1229.66	3116.05
Length   78/6, alignment 15/15, found:	1032.72	1273.59	2875.16
Length   78/6, alignment 15/15, fail:	984.703	1230.47	3111.17
Length   84/6, alignment  0/ 0, found:	1074.22	1322.44	3139.66
Length   84/6, alignment  0/ 0, fail:	1034.34	1277.67	3355.31
Length   84/6, alignment  0/ 3, found:	1075.03	1322.44	3144.53
Length   84/6, alignment  0/ 3, fail:	1035.97	1281.75	3369.95
Length   84/6, alignment  0/ 9, found:	1084.8	1321.62	3143.72
Length   84/6, alignment  0/ 9, fail:	1035.97	1280.11	3392.75
Length   84/6, alignment  0/15, found:	1073.41	1322.42	3137.2
Length   84/6, alignment  0/15, fail:	1044.11	1278.48	3351.25
Length   84/6, alignment  3/ 0, found:	1083.98	1320.81	3130.7
Length   84/6, alignment  3/ 0, fail:	1044.11	1280.92	3343.92
Length   84/6, alignment  3/ 3, found:	1083.98	1321.62	3130.7
Length   84/6, alignment  3/ 3, fail:	1035.16	1279.3	3343.91
Length   84/6, alignment  3/ 9, found:	1075.03	1322.44	3133.95
Length   84/6, alignment  3/ 9, fail:	1035.16	1279.3	3387.05
Length   84/6, alignment  3/15, found:	1074.22	1323.23	3136.39
Length   84/6, alignment  3/15, fail:	1033.53	1279.3	3386.23
Length   84/6, alignment  9/ 0, found:	1074.22	1324.88	3135.58
Length   84/6, alignment  9/ 0, fail:	1044.11	1280.92	3343.91
Length   84/6, alignment  9/ 3, found:	1077.47	1324.86	3136.39
Length   84/6, alignment  9/ 3, fail:	1044.92	1289.06	3347.98
Length   84/6, alignment  9/ 9, found:	1085.61	1328.94	3134.77
Length   84/6, alignment  9/ 9, fail:	1044.92	1280.11	3348.8
Length   84/6, alignment  9/15, found:	1083.98	1323.25	3133.14
Length   84/6, alignment  9/15, fail:	1035.16	1279.3	3348.8
Length   84/6, alignment 15/ 0, found:	1084.8	1322.42	3116.05
Length   84/6, alignment 15/ 0, fail:	1044.92	1279.3	3343.09
Length   84/6, alignment 15/ 3, found:	1083.17	1322.42	3114.42
Length   84/6, alignment 15/ 3, fail:	1044.92	1459.95	3343.11
Length   84/6, alignment 15/ 9, found:	1084.8	1323.23	3115.23
Length   84/6, alignment 15/ 9, fail:	1044.92	1278.48	3339.03
Length   84/6, alignment 15/15, found:	1084.8	1321.61	3116.05
Length   84/6, alignment 15/15, fail:	1044.92	1281.73	3349.61
Length   90/6, alignment  0/ 0, found:	1134.44	1372.89	3361.81
Length   90/6, alignment  0/ 0, fail:	1084.8	1328.94	3666.19
Length   90/6, alignment  0/ 3, found:	1123.86	1373.7	3367.52
Length   90/6, alignment  0/ 3, fail:	1083.98	1328.94	3658.84
Length   90/6, alignment  0/ 9, found:	1123.86	1373.69	3359.38
Length   90/6, alignment  0/ 9, fail:	1095.38	1328.94	3658.03
Length   90/6, alignment  0/15, found:	1123.86	1371.27	3360.19
Length   90/6, alignment  0/15, fail:	1084.8	1328.94	3660.48
Length   90/6, alignment  3/ 0, found:	1123.86	1370.45	3356.94
Length   90/6, alignment  3/ 0, fail:	1094.56	1329.75	3649.89
Length   90/6, alignment  3/ 3, found:	1133.62	1371.25	3348.8
Length   90/6, alignment  3/ 3, fail:	1095.38	1337.89	3658.84
Length   90/6, alignment  3/ 9, found:	1134.44	1374.52	3350.42
Length   90/6, alignment  3/ 9, fail:	1094.56	1328.12	3651.53
Length   90/6, alignment  3/15, found:	1125.48	1372.06	3357.75
Length   90/6, alignment  3/15, fail:	1084.8	1328.12	3651.53
Length   90/6, alignment  9/ 0, found:	1125.48	1379.39	3365.88
Length   90/6, alignment  9/ 0, fail:	1083.98	1338.7	3657.22
Length   90/6, alignment  9/ 3, found:	1124.67	1512.86	3367.52
Length   90/6, alignment  9/ 3, fail:	1086.44	1328.95	3657.23
Length   90/6, alignment  9/ 9, found:	1124.67	1372.89	3362.64
Length   90/6, alignment  9/ 9, fail:	1093.75	1328.94	3655.59
Length   90/6, alignment  9/15, found:	1134.44	1372.88	3365.89
Length   90/6, alignment  9/15, fail:	1093.75	1330.56	3657.23
Length   90/6, alignment 15/ 0, found:	1133.62	1372.88	3338.22
Length   90/6, alignment 15/ 0, fail:	1095.38	1328.94	3623.86
Length   90/6, alignment 15/ 3, found:	1133.62	1373.7	3338.22
Length   90/6, alignment 15/ 3, fail:	1093.75	1328.94	3623.86
Length   90/6, alignment 15/ 9, found:	1133.62	1373.69	3339.03
Length   90/6, alignment 15/ 9, fail:	1094.56	1328.12	3624.69
Length   90/6, alignment 15/15, found:	1133.62	1372.89	3337.41
Length   90/6, alignment 15/15, fail:	1085.61	1329.75	3623.86
Length   14/7, alignment  0/ 0, found:	540.359	829.266	499.672
Length   14/7, alignment  0/ 0, fail:	483.406	769.047	509.438
Length   14/7, alignment  0/ 3, found:	539.562	826.828	499.672
Length   14/7, alignment  0/ 3, fail:	480.969	770.672	508.625
Length   14/7, alignment  0/ 9, found:	542	828.453	500.5
Length   14/7, alignment  0/ 9, fail:	481.781	769.047	509.438
Length   14/7, alignment  0/15, found:	538.734	829.266	499.672
Length   14/7, alignment  0/15, fail:	482.594	769.859	509.453
Length   14/7, alignment  3/ 0, found:	539.547	828.438	505.375
Length   14/7, alignment  3/ 0, fail:	483.391	769.844	501.297
Length   14/7, alignment  3/ 3, found:	540.359	827.641	503.734
Length   14/7, alignment  3/ 3, fail:	482.578	770.672	505.359
Length   14/7, alignment  3/ 9, found:	540.375	829.266	502.922
Length   14/7, alignment  3/ 9, fail:	483.406	768.219	505.375
Length   14/7, alignment  3/15, found:	540.359	829.266	503.75
Length   14/7, alignment  3/15, fail:	481.766	768.234	505.375
Length   14/7, alignment  9/ 0, found:	552.562	838.219	499.672
Length   14/7, alignment  9/ 0, fail:	494.797	778.797	509.438
Length   14/7, alignment  9/ 3, found:	550.938	838.219	500.484
Length   14/7, alignment  9/ 3, fail:	495.609	776.359	508.625
Length   14/7, alignment  9/ 9, found:	551.766	836.594	500.5
Length   14/7, alignment  9/ 9, fail:	493.984	778.812	508.625
Length   14/7, alignment  9/15, found:	551.75	837.406	499.672
Length   14/7, alignment  9/15, fail:	593.266	781.25	507.812
Length   14/7, alignment 15/ 0, found:	538.734	827.641	467.938
Length   14/7, alignment 15/ 0, fail:	482.578	767.406	470.375
Length   14/7, alignment 15/ 3, found:	540.359	827.625	467.938
Length   14/7, alignment 15/ 3, fail:	480.953	770.672	471.188
Length   14/7, alignment 15/ 9, found:	538.734	830.078	467.938
Length   14/7, alignment 15/ 9, fail:	482.578	767.422	470.375
Length   14/7, alignment 15/15, found:	540.359	826.828	467.938
Length   14/7, alignment 15/15, fail:	482.578	769.859	472.812
Length   21/7, alignment  0/ 0, found:	598.953	884.594	769.031
Length   21/7, alignment  0/ 0, fail:	540.375	828.453	769.859
Length   21/7, alignment  0/ 3, found:	598.141	887.859	767.422
Length   21/7, alignment  0/ 3, fail:	540.359	830.078	769.844
Length   21/7, alignment  0/ 9, found:	598.141	885.406	766.609
Length   21/7, alignment  0/ 9, fail:	540.359	828.453	769.859
Length   21/7, alignment  0/15, found:	598.141	886.234	768.234
Length   21/7, alignment  0/15, fail:	539.562	826.828	769.859
Length   21/7, alignment  3/ 0, found:	598.141	884.609	766.609
Length   21/7, alignment  3/ 0, fail:	540.359	826.812	767.406
Length   21/7, alignment  3/ 3, found:	598.969	887.031	763.344
Length   21/7, alignment  3/ 3, fail:	542	826.828	765.797
Length   21/7, alignment  3/ 9, found:	597.328	887.047	764.969
Length   21/7, alignment  3/ 9, fail:	540.375	826.828	767.422
Length   21/7, alignment  3/15, found:	600.578	885.406	764.984
Length   21/7, alignment  3/15, fail:	540.359	827.641	767.406
