                       	strncmp	simple_strncmp	stupid_strncmp
Length    8/  10, alignment  0/ 0:	104.969	95.2188	181.484
Length    8/  10, alignment  0/ 0:	104.969	92.7656	202.625
Length    8/  10, alignment  0/ 0:	105.797	93.5781	205.891
Length    8/  10, alignment 10/ 2:	105.797	94.3906	176.594
Length    8/  10, alignment 10/ 2:	104.984	91.9688	192.875
Length    8/  10, alignment 10/ 2:	105.781	92.7656	192.859
Length    8/  10, alignment 10/ 4:	106.609	94.4062	191.234
Length    8/  10, alignment 20/ 2:	106.609	93.5938	205.891
Length    8/  10, alignment 10/ 6:	104.984	92.7812	195.312
Length    8/  11, alignment  0/ 0:	105.797	95.2188	170.891
Length    8/  11, alignment  0/ 0:	106.609	93.5781	180.656
Length    8/  11, alignment  0/ 0:	105.797	92.7812	168.453
Length    8/  11, alignment 11/ 3:	105.781	95.2031	170.094
Length    8/  11, alignment 11/ 3:	104.984	92.7812	168.453
Length    8/  11, alignment 11/ 3:	113.125	91.9531	199.375
Length    8/  11, alignment 11/ 6:	113.125	95.2188	187.172
Length    8/  11, alignment 22/ 3:	113.109	93.5781	196.938
Length    8/  11, alignment 11/ 1:	106.609	91.9688	173.344
Length    8/  11, alignment  0/ 0:	105.797	95.2031	183.109
Length    8/  11, alignment  0/ 0:	104.969	93.5938	201.828
Length    8/  11, alignment  0/ 0:	105.797	93.5938	205.078
Length    8/  11, alignment 11/ 3:	105.781	96.0312	170.078
Length    8/  11, alignment 11/ 3:	104.984	93.5938	213.203
Length    8/  11, alignment 11/ 3:	105.797	92.7656	201
Length    8/  11, alignment 11/ 6:	114.734	93.5781	186.359
Length    8/  11, alignment 22/ 3:	113.125	92.7656	209.156
Length    8/  11, alignment 11/ 1:	113.109	91.9688	205.891
Length    8/  12, alignment  0/ 0:	97.6562	95.2188	172.531
Length    8/  12, alignment  0/ 0:	96.0312	91.9688	179.031
Length    8/  12, alignment  0/ 0:	96.8281	92.7812	168.453
Length    8/  12, alignment 12/ 4:	96.8438	96.0312	170.094
Length    8/  12, alignment 12/ 4:	95.2188	92.7656	167.641
Length    8/  12, alignment 12/ 4:	96.8438	93.5938	179.047
Length    8/  12, alignment 12/ 0:	96.0312	95.2188	168.469
Length    8/  12, alignment 24/ 4:	96.8438	92.7812	167.641
Length    8/  12, alignment 12/ 4:	96.0312	93.5938	182.297
Length    8/  12, alignment  0/ 0:	96.8438	95.2188	183.109
Length    8/  12, alignment  0/ 0:	96.8438	95.2188	201.828
Length    8/  12, alignment  0/ 0:	96.8438	92.7656	206.703
Length    8/  12, alignment 12/ 4:	96.0156	95.2188	181.484
Length    8/  12, alignment 12/ 4:	96.0312	91.9688	219.734
Length    8/  12, alignment 12/ 4:	97.6562	93.5938	199.391
Length    8/  12, alignment 12/ 0:	96.0156	95.2188	181.484
Length    8/  12, alignment 24/ 4:	97.6562	91.9531	218.922
Length    8/  12, alignment 12/ 4:	96.0312	93.5781	202.641
Length    8/  13, alignment  0/ 0:	96.0312	95.2188	170.078
Length    8/  13, alignment  0/ 0:	96.8438	92.7812	194.5
Length    8/  13, alignment  0/ 0:	96.8438	93.5781	174.969
Length    8/  13, alignment 13/ 5:	96.8438	95.2188	184.734
Length    8/  13, alignment 13/ 5:	96.8438	91.9531	195.312
Length    8/  13, alignment 13/ 5:	96.8438	92.7812	193.688
Length    8/  13, alignment 13/ 2:	96.8438	95.2188	196.938
Length    8/  13, alignment 26/ 5:	96.8438	92.7812	188.812
Length    8/  13, alignment 13/ 7:	96.0312	92.7656	175.781
Length    8/  13, alignment  0/ 0:	96.8438	95.2031	183.109
Length    8/  13, alignment  0/ 0:	96.0312	92.7812	205.078
Length    8/  13, alignment  0/ 0:	96.8438	92.7656	210.766
Length    8/  13, alignment 13/ 5:	96.8438	95.2188	200.203
Length    8/  13, alignment 13/ 5:	96.0312	92.7812	246.578
Length    8/  13, alignment 13/ 5:	96.0312	91.9531	244.953
Length    8/  13, alignment 13/ 2:	96.0312	96.0156	195.312
Length    8/  13, alignment 26/ 5:	96.0312	91.1406	233.562
Length    8/  13, alignment 13/ 7:	96.0312	91.9531	225.422
Length    8/  14, alignment  0/ 0:	95.2188	95.2188	169.266
Length    8/  14, alignment  0/ 0:	95.2031	93.5938	183.922
Length    8/  14, alignment  0/ 0:	96.0156	91.9531	175.781
Length    8/  14, alignment 14/ 6:	96.8438	95.2188	179.031
Length    8/  14, alignment 14/ 6:	96.8438	92.7656	187.172
Length    8/  14, alignment 14/ 6:	96.0156	92.7812	185.547
Length    8/  14, alignment 14/ 4:	96.8438	95.2188	174.156
Length    8/  14, alignment 28/ 6:	96.8438	92.7812	196.125
Length    8/  14, alignment 14/ 2:	96.8438	93.5938	187.172
Length    8/  14, alignment  0/ 0:	96.0156	94.4062	182.297
Length    8/  14, alignment  0/ 0:	97.6562	93.5781	205.891
Length    8/  14, alignment  0/ 0:	96.0312	91.9688	209.953
Length    8/  14, alignment 14/ 6:	96.0312	95.2188	177.406
Length    8/  14, alignment 14/ 6:	96.8438	92.7812	218.094
Length    8/  14, alignment 14/ 6:	96.8438	93.5938	209.969
Length    8/  14, alignment 14/ 4:	95.2188	94.4062	192.062
Length    8/  14, alignment 28/ 6:	96.0312	92.7812	219.719
Length    8/  14, alignment 14/ 2:	96.8438	91.9531	220.531
Length    8/  15, alignment  0/ 0:	96.8438	95.2188	170.078
Length    8/  15, alignment  0/ 0:	96.8438	92.7812	193.688
Length    8/  15, alignment  0/ 0:	96.8438	91.9688	187.172
Length    8/  15, alignment 15/ 7:	95.2188	95.2031	169.266
Length    8/  15, alignment 15/ 7:	95.2188	93.5938	186.375
Length    8/  15, alignment 15/ 7:	96.0312	93.5938	187.984
Length    8/  15, alignment 15/ 6:	96.8438	94.4062	174.156
Length    8/  15, alignment 30/ 7:	96.0312	91.9688	205.078
Length    8/  15, alignment 15/ 5:	96.8438	91.9531	181.469
Length    8/  15, alignment  0/ 0:	96.0312	95.2188	181.469
Length    8/  15, alignment  0/ 0:	96.0156	91.9688	205.891
Length    8/  15, alignment  0/ 0:	96.0312	91.9531	210.781
Length    8/  15, alignment 15/ 7:	96.0312	95.2188	170.906
Length    8/  15, alignment 15/ 7:	96.8281	91.9688	210.781
Length    8/  15, alignment 15/ 7:	96.0312	91.9688	207.531
Length    8/  15, alignment 15/ 6:	96.0156	96.0156	185.547
Length    8/  15, alignment 30/ 7:	96.0156	93.5781	235.188
Length    8/  15, alignment 15/ 5:	96.0312	93.5938	231.938
Length   16/  32, alignment  0/ 0:	157.875	135.094	227.859
Length   16/  32, alignment  0/ 0:	158.688	133.469	262.859
Length   16/  32, alignment  0/ 0:	157.875	132.641	262.859
Length   16/  32, alignment  0/ 0:	157.875	135.094	276.703
Length   16/  32, alignment  0/ 0:	158.688	132.656	328.781
Length   16/  32, alignment  0/ 0:	158.688	133.453	330.391
Length   16/  32, alignment  7/ 2:	157.875	135.094	246.594
Length   16/  32, alignment  7/ 2:	159.516	131.844	267.75
Length   16/  32, alignment  2/ 1:	159.516	135.906	317.375
Length   16/  32, alignment  2/ 1:	158.688	132.656	375.156
Length   32/  64, alignment  0/ 0:	255.531	215.656	358.891
Length   32/  64, alignment  0/ 0:	254.719	214.031	398.75
Length   32/  64, alignment  0/ 0:	255.531	212.406	398.766
Length   32/  64, alignment  0/ 0:	254.719	216.484	456.531
Length   32/  64, alignment  0/ 0:	255.547	213.219	587.562
Length   32/  64, alignment  0/ 0:	254.719	214.031	586.75
Length   32/  64, alignment  6/ 4:	255.531	214.844	372.719
Length   32/  64, alignment  6/ 4:	254.719	213.219	418.281
Length   32/  64, alignment  4/ 2:	255.531	214.844	496.422
Length   32/  64, alignment  4/ 2:	254.719	213.219	610.359
Length   64/ 128, alignment  0/ 0:	448.406	375.984	586.75
Length   64/ 128, alignment  0/ 0:	447.594	373.531	672.203
Length   64/ 128, alignment  0/ 0:	447.578	372.719	673.016
Length   64/ 128, alignment  0/ 0:	448.406	375.984	886.219
Length   64/ 128, alignment  0/ 0:	448.406	373.531	1106.77
Length   64/ 128, alignment  0/ 0:	448.406	373.547	1104.33
Length   64/ 128, alignment  5/ 6:	447.578	375.156	620.109
Length   64/ 128, alignment  5/ 6:	447.594	373.531	703.125
Length   64/ 128, alignment  6/ 3:	447.594	375.984	887.859
Length   64/ 128, alignment  6/ 3:	447.594	372.719	1138.52
Length  128/ 256, alignment  0/ 0:	835.781	697.438	1040.86
Length  128/ 256, alignment  0/ 0:	835.781	694.172	1218.27
Length  128/ 256, alignment  0/ 0:	834.953	694.984	1219.08
Length  128/ 256, alignment  0/ 0:	835.766	697.422	1598.31
Length  128/ 256, alignment  0/ 0:	834.969	694.188	2108.56
Length  128/ 256, alignment  0/ 0:	834.969	694.172	2106.92
Length  128/ 256, alignment  4/ 0:	834.953	696.609	1040.86
Length  128/ 256, alignment  4/ 0:	835.766	695	1219.89
Length  128/ 256, alignment  8/ 4:	834.953	696.609	1598.31
Length  128/ 256, alignment  8/ 4:	835.781	692.531	2118.33
Length  256/ 512, alignment  0/ 0:	1608.08	1338.7	1945.8
Length  256/ 512, alignment  0/ 0:	1608.08	1336.27	2312.02
Length  256/ 512, alignment  0/ 0:	1608.08	1336.27	2312.83
Length  256/ 512, alignment  0/ 0:	1607.27	1338.7	3176.27
Length  256/ 512, alignment  0/ 0:	1607.25	1337.06	4108.08
Length  256/ 512, alignment  0/ 0:	1608.08	1336.27	4110.52
Length  256/ 512, alignment  3/ 2:	1608.08	1337.89	1964.52
Length  256/ 512, alignment  3/ 2:	1607.27	1335.44	2316.89
Length  256/ 512, alignment 10/ 5:	1608.89	1338.7	3155.92
Length  256/ 512, alignment 10/ 5:	1609.69	1336.27	4281.41
Length  512/1024, alignment  0/ 0:	3155.11	2616.38	3760.58
Length  512/1024, alignment  0/ 0:	3155.11	2618.81	4498.7
Length  512/1024, alignment  0/ 0:	3154.3	2613.92	4500.33
Length  512/1024, alignment  0/ 0:	3155.94	2622.06	6223.14
Length  512/1024, alignment  0/ 0:	3156.75	2618.81	8113.61
Length  512/1024, alignment  0/ 0:	3155.11	2620.44	8112.8
Length  512/1024, alignment  2/ 4:	3155.92	2622.89	3771.98
Length  512/1024, alignment  2/ 4:	3155.11	2619.62	4519.03
Length  512/1024, alignment 12/ 6:	3155.11	2622.08	6164.55
Length  512/1024, alignment 12/ 6:	3154.3	2618.81	8112.8
Length 1024/2048, alignment  0/ 0:	6249.19	5188.8	7387.69
Length 1024/2048, alignment  0/ 0:	6399.75	5187.17	8874.52
Length 1024/2048, alignment  0/ 0:	6249.19	5186.36	8874.52
Length 1024/2048, alignment  0/ 0:	6248.36	5190.42	12299.8
Length 1024/2048, alignment  0/ 0:	6250	5185.55	16280.9
Length 1024/2048, alignment  0/ 0:	6249.19	5187.19	16281.7
Length 1024/2048, alignment  1/ 6:	6248.38	5189.61	7418.62
Length 1024/2048, alignment  1/ 6:	6435.55	5174.97	8905.44
Length 1024/2048, alignment 14/ 7:	6249.19	5187.98	12348.6
Length 1024/2048, alignment 14/ 7:	6249.19	5187.19	16289.9
Length    0/   0:	48.0156	37.4375	65.9219
Length   21/  20, alignment  4/ 0:	184.734	152.188	237.625
Length   21/  20, alignment  0/ 4:	184.719	153	235.188
Length   25/  24, alignment  8/ 0:	207.531	172.531	285.641
Length   25/  24, alignment  0/ 8:	207.516	172.516	286.453
Length   17/  16, alignment  0/ 0:	159.5	132.656	228.672
Length   17/  16, alignment  0/ 0:	158.688	131.828	241.703
Length   15/  16, alignment  0/ 0:	151.375	131.031	226.25
Length   15/  16, alignment  0/ 0:	153	128.594	236
Length   15/  16, alignment  0/ 0:	150.562	127.766	227.859
Length   15/  16, alignment  0/ 0:	151.375	129.391	289.719
Length   15/  16, alignment  0/ 0:	151.375	127.766	274.25
Length   15/  16, alignment  0/ 0:	152.172	128.578	275.062
Length   16/  15, alignment  0/ 0:	156.25	126.953	225.422
Length   16/  15, alignment  0/ 0:	153.797	126.953	271.812
Length   14/  15, alignment  0/ 0:	155.438	125.312	221.344
Length   14/  15, alignment  0/ 0:	156.25	122.891	231.125
Length   14/  15, alignment  0/ 0:	155.438	122.078	222.172
Length   14/  15, alignment  0/ 0:	157.062	125.328	278.328
Length   14/  15, alignment  0/ 0:	156.25	122.078	281.578
Length   14/  15, alignment  0/ 0:	155.438	122.875	271
Length   15/  14, alignment  0/ 0:	146.484	122.891	220.531
Length   15/  14, alignment  0/ 0:	146.484	122.078	268.562
Length   13/  14, alignment  0/ 0:	149.734	119.625	214.031
Length   13/  14, alignment  0/ 0:	148.109	117.188	222.969
Length   13/  14, alignment  0/ 0:	148.938	118	217.281
Length   13/  14, alignment  0/ 0:	148.109	121.266	270.188
Length   13/  14, alignment  0/ 0:	148.109	118	274.25
Length   13/  14, alignment  0/ 0:	148.922	117.188	265.297
Length   14/  13, alignment  0/ 0:	139.969	116.375	214.844
Length   14/  13, alignment  0/ 0:	140.781	116.375	258.797
Length   12/  13, alignment  0/ 0:	140.781	115.562	201.016
Length   12/  13, alignment  0/ 0:	139.984	113.109	212.406
Length   12/  13, alignment  0/ 0:	139.969	113.125	209.141
Length   12/  13, alignment  0/ 0:	140.781	115.562	255.531
Length   12/  13, alignment  0/ 0:	140.781	112.297	259.609
Length   12/  13, alignment  0/ 0:	139.156	111.484	254.719
Length   13/  12, alignment  0/ 0:	135.906	112.297	178.219
Length   13/  12, alignment  0/ 0:	135.906	112.297	237.641
Length   11/  12, alignment  0/ 0:	123.703	110.688	197.75
Length   11/  12, alignment  0/ 0:	123.703	108.234	187.984
Length   11/  12, alignment  0/ 0:	122.875	109.047	201.828
Length   11/  12, alignment  0/ 0:	123.703	109.859	240.078
Length   11/  12, alignment  0/ 0:	124.516	107.422	240.875
Length   11/  12, alignment  0/ 0:	122.875	106.594	240.062
Length   12/  11, alignment  0/ 0:	128.578	107.422	196.125
Length   12/  11, alignment  0/ 0:	127.766	106.609	236
Length   10/  11, alignment  0/ 0:	127.766	104.969	188.812
Length   10/  11, alignment  0/ 0:	127.766	103.344	204.25
Length   10/  11, alignment  0/ 0:	119.625	101.719	193.688
Length   10/  11, alignment  0/ 0:	119.625	104.984	202.641
Length   10/  11, alignment  0/ 0:	118.812	104.156	235.188
Length   10/  11, alignment  0/ 0:	119.625	103.359	219.719
Length   11/  10, alignment  0/ 0:	113.125	102.531	191.25
Length   11/  10, alignment  0/ 0:	112.297	103.344	218.094
Length    9/  10, alignment  0/ 0:	113.922	100.906	179.031
Length    9/  10, alignment  0/ 0:	114.734	97.6562	193.688
Length    9/  10, alignment  0/ 0:	113.938	96.8438	189.609
Length    9/  10, alignment  0/ 0:	114.734	100.906	194.5
Length    9/  10, alignment  0/ 0:	113.938	97.6562	212.406
Length    9/  10, alignment  0/ 0:	113.938	97.6562	226.234
Length   10/   9, alignment  0/ 0:	105.797	97.6562	183.922
Length   10/   9, alignment  0/ 0:	107.422	96.8438	218.109
Length    8/   9, alignment  0/ 0:	114.75	96.0312	170.094
Length    8/   9, alignment  0/ 0:	113.125	92.7812	185.547
Length    8/   9, alignment  0/ 0:	114.75	92.7812	179.844
Length    8/   9, alignment  0/ 0:	113.938	94.4062	182.281
Length    8/   9, alignment  0/ 0:	113.938	92.7656	201.812
Length    8/   9, alignment  0/ 0:	113.938	92.7656	195.312
